ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
PRGO,Long,T2-LONG,70,PULLBACK,10.15,9.7485,12.21,10.52,11.195,10.455,2865144,3.65,NO_FILL,0.0,True,2026-07-08_1720,2026-07-08_0456_ranked
GPUS,Long,T2-LONG,69,BOUNCE,0.1345,0.0783,0.2469,0.1317,0.132,0.125,38304063,-2.08,CLOSED_LOSS,-0.05,False,2026-07-08_1720,2026-07-08_0456_ranked
STGW,Long,T1-STRONG_LONG,100,BOUNCE,7.7,7.3526,8.3948,7.67,7.87,7.49,1465474,-0.39,TARGET_HIT,1.5,True,2026-07-08_1720,2026-07-08_0456_ranked
