ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
HCWB,Long,BREAKOUT,T3-LONG_WATCH,84,1.22,1.16,1.96,,12.3,0.06,False,1.22,0.0,INSIDE,1,1,HIGHWAY,EXCITED,16.8,True,LOW,64.19,0.7235,0.337,1.11,229.4,PREMIUM,PREMIUM,501,10,64,60.7,A,,,,,,,,,,,,,True,0.12217842857142856,0.49,N/A,
SNAL,Long,PULLBACK,T1-STRONG_LONG,100,1.05,0.3238,2.5023,1.1325,2.0,0.7262,,1.16,9.5,WAITING,1,1,OPEN_ROAD,EXCITED,,,LOW,4.4,1.1325,1.08,1.185,9.7,PREMIUM,DISCOUNT,227,5,52,11.6,A,1d,1.05,0.5659,13316737735.0,2.8,6.4,1104282.0,2.0,270.3,31.0,8.0,12.19,True,0.15633571428571427,4.65,N/A,
ALP,Long,PULLBACK,T2-LONG,100,0.313,0.2179,0.5032,0.3371,2.0,0.0951,,0.33,5.2,APPROACH,3,3,HIGHWAY,EXCITED,,,LOW,9.79,0.3371,0.33,0.3442,4.3,DISCOUNT,DISCOUNT,16,4,0,3.1,D,"1d,1h,4h",0.313,0.2679,2079573756.0,1.6,3.0,8022080.0,2.0,107.4,20.0,8.0,7.74,False,0.043435714285714286,2.19,N/A,
NVDA,Long,BOUNCE,T2-LONG,70,225.32,214.1566,247.6468,232.75,2.0,11.1634,,225.32,0.2,CLOSE,1,1,OPEN_ROAD,EXCITED,,,MEGA,0.01,232.75,235.74,229.76,-2.5,DISCOUNT,DISCOUNT,5696,13,4255,2.1,C,1d,224.93,220.78,66066669482.0,1.2,1.1,3610037.0,0.0,10.6,43.0,8.0,23318.28,False,8.21137142857143,1.36,N/A,
ONDS,Long,PULLBACK,T1-STRONG_LONG,97,9.6,8.67,11.46,11.06,2.0,0.93,,10.62,9.6,WAITING,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.3,11.06,11.21,10.91,-2.7,DISCOUNT,DISCOUNT,474,9,155,99.9,A,"1d,30m",9.6,8.98,12727914072.0,2.1,2.2,1530273.0,2.0,39.8,21.0,8.0,463.86,True,0.9221428571428572,1.01,N/A,
GDC,Long,PULLBACK,T3-LONG_WATCH,55,0.1474,0.0909,0.3298,,3.2,0.0565,,0.1474,3.7,APPROACH,2,1,HIGHWAY,EXCITED,,,HIGH,0.82,0.1403,0.142,0.1386,-2.4,PREMIUM,PREMIUM,0,2,0,123.7,D,1m,0.1419,0.1409,0.0,0.8,1.1,9537028.0,0.0,46.6,26.0,8.0,51.69,False,1.0041499999999999,0.06,N/A,
SRXH,Long,BREAKOUT,T2-LONG,64,0.1254,0.0726,0.231,0.139,2.0,0.0528,False,0.125,0.0,INSIDE,1,1,OPEN_ROAD,EXCITED,1.4,True,MEGA,0.08,0.139,0.138,0.14,1.4,DISCOUNT,DISCOUNT,0,2,0,4.9,D,,,,,,,,,,,,,False,0.011207071428571429,4.71,N/A,
AMZE,Long,BOUNCE,T2-LONG,63,0.1682,0.1108,0.283,0.2062,2.0,0.0574,,0.1682,2.6,CLOSE,1,1,OPEN_ROAD,EXCITED,,,HIGH,0.45,0.2062,0.2115,0.201,-5.0,DISCOUNT,DISCOUNT,0,6,0,5.6,D,1m,0.1639,0.1608,0.0,2.1,1.6,2005720.0,1.0,103.3,41.0,8.0,56.06,False,0.03492135714285714,1.64,N/A,
KEEL,Long,PULLBACK,T2-LONG,71,4.39,4.0255,5.119,4.495,2.0,0.3645,,4.39,4.6,APPROACH,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.06,4.495,4.61,4.38,-5.0,DISCOUNT,DISCOUNT,269,9,109,2.3,C,"1h,4h",4.19,4.15,91801784.0,0.9,1.1,1369725.0,0.0,30.9,43.0,8.0,577.52,True,0.41142857142857153,0.89,N/A,
SIDU,Long,PULLBACK,T3-LONG_WATCH,80,3.72,3.5599,4.47,,4.7,0.1601,,4.01,7.2,WAITING,2,2,HIGHWAY,EXCITED,,,HIGH,0.54,3.525,3.66,3.39,-7.4,PREMIUM,PREMIUM,115,9,35,11.5,B,"1h,4h",3.72,3.67,114145200.0,1.7,1.2,2107405.0,0.0,35.0,20.0,8.0,66.42,True,0.4346428571428572,0.37,N/A,
