ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
NNBR,13.9,2,Momentum#1;Consumption#122,LONG,LONG,100.0,1,61.5,9.6,0.0,9.6,1.03,NEUTRAL
SRFM,11.0,2,Momentum#2;Consumption#172,LONG,LONG,100.0,2,87.0,6.9,0.0,6.9,1.138,HOT
ABSI,10.6,2,Consumption#3;Analyst#5,"LONG,NA",LONG,100.0,3,4.0,4.0,0.0,6.7,1.126,HOT
ACHV,9.2,2,Consumption#5;Analyst#5,"LONG,NA",LONG,100.0,5,5.0,3.1,0.0,5.8,1.126,HOT
LRMR,8.9,3,Short#1;Momentum#4;Consumption#102,"LONG,SHORT",SHORT,63.0,1,35.7,5.2,9.0,14.2,0.874,HOT
IBRX,8.7,2,Short#2;Consumption#87,"LONG,SHORT",SHORT,89.0,2,44.5,0.8,6.4,7.1,0.874,HOT
CMCSA,8.4,2,Momentum#3;Consumption#41,LONG,LONG,100.0,3,22.0,6.3,0.0,6.3,0.958,NEUTRAL
SLS,7.2,2,Momentum#5;Consumption#167,LONG,LONG,100.0,5,86.0,4.6,0.0,4.6,1.126,HOT
BATL,7.0,2,Momentum#6;Consumption#29,LONG,LONG,100.0,6,17.5,5.0,0.0,5.0,1.006,NEUTRAL
ARWR,6.6,2,Analyst#5;Consumption#21,"LONG,NA",LONG,100.0,5,13.0,1.5,0.0,4.2,1.126,HOT
ALGM,6.0,2,Analyst#5;Consumption#10,"LONG,NA",LONG,100.0,5,7.5,2.2,0.0,4.9,0.874,COLD
DFTX,5.7,2,Analyst#5;Consumption#56,"LONG,NA",LONG,100.0,5,30.5,0.9,0.0,3.6,1.126,HOT
AMAT,5.6,2,Analyst#5;Consumption#14,"LONG,NA",LONG,100.0,5,9.5,1.9,0.0,4.6,0.874,COLD
GH,5.5,2,Analyst#5;Consumption#71,"LONG,NA",LONG,100.0,5,38.0,0.8,0.0,3.5,1.114,STRONG
AMD,5.4,2,Analyst#5;Consumption#16,"LONG,NA",LONG,100.0,5,10.5,1.8,0.0,4.4,0.874,COLD
HIMS,5.4,2,Analyst#5;Consumption#77,"LONG,NA",LONG,100.0,5,41.0,0.8,0.0,3.5,1.114,STRONG
CLSK,5.3,2,Analyst#5;Consumption#40,"LONG,NA",LONG,100.0,5,22.5,1.1,0.0,3.8,0.994,NEUTRAL
MRNA,5.3,2,Analyst#5;Consumption#110,"LONG,NA",LONG,100.0,5,57.5,0.7,0.0,3.4,1.126,HOT
BB,5.2,2,Analyst#5;Consumption#30,"LONG,NA",LONG,100.0,5,17.5,1.3,0.0,4.0,0.946,NEUTRAL
BTDR,5.2,2,Analyst#5;Consumption#32,"LONG,NA",LONG,100.0,5,18.5,1.2,0.0,3.9,0.946,NEUTRAL
