ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
YMAT,264.67,179.0,1.66,0.438,0.446,1.27,38778527,109893,352.87,0.68,True,0.4552,1.27,1.251,1.3081,5249,99.99,2004.3119,0.934,NEUTRAL,GENESIS,GENESIS
UZX,160.03,78.21,1.16,0.432,0.4442,0.795,82309553,98910,832.16,0.5,False,0.4461,0.795,0.7831,0.8189,8385,99.99,1286.2336,1.042,NEUTRAL,GENESIS,GENESIS
MNTS,87.53,62.33,13.84,8.7,8.7,11.98,18494486,123485,149.77,0.64,True,7.38,11.98,11.8003,12.3394,556,99.91,566.33,0.946,NEUTRAL,GENESIS,GENESIS
ARTL,106.72,55.46,2.46,1.74,2.14,1.85,11488998,100469,114.35,0.15,False,1.19,1.85,1.8223,1.9055,3603,99.98,435.8199,1.09,STRONG,GENESIS,GENESIS
QTEX,120.08,91.2,1.6,0.875,0.9,1.39,85668723,39253640,2.18,0.71,True,0.727,1.39,1.3691,1.4317,4796,100.0,258.7719,1.0,,GENESIS,GENESIS
MDAI,33.96,11.94,3.59,2.87,2.97,3.0,1610877,18604,86.59,0.18,False,2.68,3.0,2.955,3.09,2222,99.99,134.5273,1.066,NEUTRAL,GENESIS,GENESIS
HLIT,30.33,19.08,19.81,17.7,19.03,18.1,899285,38369,23.44,0.19,False,15.2,18.1,17.8285,18.643,368,99.91,92.6182,1.066,NEUTRAL,GENESIS,GENESIS
AIIO,36.43,20.91,3.5199,2.59,2.72,3.1194,6199372,2150639,2.88,0.57,True,2.58,3.1194,3.0726,3.213,2137,99.99,83.5646,1.042,NEUTRAL,GENESIS,GENESIS
AEHL,41.06,7.95,2.13,1.5,1.61,1.63,1448104,217450,6.66,0.21,False,1.51,1.63,1.6055,1.6789,4089,99.98,79.4566,0.946,NEUTRAL,GENESIS,GENESIS
ORBS,21.73,14.32,1.15,1.01,1.04,1.08,5595305,952793,5.87,0.5,True,0.9447,1.08,1.0638,1.1124,6172,99.99,55.5073,0.922,WEAK,GENESIS,GENESIS
FJET,13.89,10.42,8.2,7.26,7.63,7.95,546081,58672,9.31,0.73,True,7.2,7.95,7.8308,8.1885,838,99.93,52.384,0.946,NEUTRAL,GENESIS,GENESIS
BB,12.77,8.28,8.92,8.28,8.7,8.565,4114725,303762,13.55,0.45,False,7.91,8.565,8.4365,8.8219,778,99.95,46.3995,1.066,NEUTRAL,GENESIS,GENESIS
RDW,19.95,13.38,20.98,18.89,19.04,19.8301,6746954,2667816,2.53,0.45,False,17.49,19.8301,19.5326,20.425,336,99.94,34.5646,0.946,NEUTRAL,GENESIS,GENESIS
SIDU,9.37,6.45,5.6,5.0,5.27,5.45,2969885,1110550,2.67,0.75,True,5.12,5.45,5.3682,5.6135,1223,99.98,20.875,0.898,WEAK,GENESIS,GENESIS
SMR,9.12,5.53,12.44,11.55,11.7,12.03,6500764,1834220,3.54,0.54,True,11.4,12.03,11.8495,12.3909,554,99.97,20.3188,0.946,NEUTRAL,GENESIS,GENESIS
SPCE,7.1,4.94,3.47,3.32,3.42,3.4,1016796,237156,4.29,0.53,True,3.24,3.4,3.349,3.502,1960,99.96,17.0407,0.946,NEUTRAL,GENESIS,GENESIS
HYLN,6.68,3.17,6.39,5.9,6.15,6.18,324812,110628,2.94,0.57,True,5.99,6.18,6.0873,6.3654,1078,99.93,14.0585,0.946,NEUTRAL,GENESIS,GENESIS
SOFI,5.31,4.42,16.45,15.89,15.95,16.3102,3523842,1503327,2.34,0.75,True,15.62,16.3102,16.0655,16.7995,408,99.82,11.3442,0.922,WEAK,GENESIS,GENESIS
DELL,5.6,2.98,311.7225,303.4,305.51,303.9873,368990,74882,4.93,0.07,False,295.19,303.9873,299.4275,313.1069,21,95.76,7.8442,0.946,NEUTRAL,GENESIS,GENESIS
NOK,3.3,1.68,15.98,15.24,15.38,15.7295,18888010,6003116,3.15,0.66,True,15.47,15.7295,15.4936,16.2014,423,99.8,7.3799,0.898,WEAK,GENESIS,GENESIS
