ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AAL,13.92,BASING,0.0,0,5,5,14.64,14.34,31,daily,3.02,28 bear-built-above · rel-vol 1.9x · regime HOSTILE,False,6,13.92,13.7112,14.64,478,5.17,3.45,False
AAOI,166.0539,BASING,0.0,0,5,5,179.0,178.87,13,15m,7.72,11 bear-built-above · rel-vol 2.0x · regime HOSTILE,False,5,166.0539,163.5631,179.0,40,7.8,5.2,False
ACLS,161.67,BASING,0.0,0,5,5,171.515,171.17,35,15m,5.88,18 bear-built-above · rel-vol 2.3x · regime HOSTILE,True,5,161.67,159.2449,171.515,41,6.09,4.06,False
ADUR,16.55,BASING,0.0,0,4,4,17.1814,16.98,21,15m,2.6,4 bear-built-above · rel-vol 2.9x · regime HOSTILE,True,4,16.55,16.3018,17.1814,402,3.82,2.54,False
AHMA,1.32,BASING,0.0,0,5,5,1.37,1.34,4,1m,1.52,9 bear-built-above · rel-vol 19.3x · regime HOSTILE,False,5,1.32,1.3002,1.37,5050,3.79,2.53,False
AIIO,2.67,BASING,0.0,0,5,5,2.94,2.83,11,weekly,5.99,16 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,2.67,2.63,2.94,2496,10.11,6.74,False
AIM,0.389,BASING,0.0,0,5,5,0.42,0.418,1,5m,7.46,13 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,0.389,0.3832,0.42,17137,7.97,5.31,False
ALGT,86.69,BASING,0.0,0,5,5,102.15,96.98,518,weekly,11.87,20 bear-built-above · rel-vol 1.0x · regime HOSTILE,False,5,86.69,85.3897,102.15,76,17.83,11.89,False
ALHC,19.14,BASING,0.0,0,5,5,23.46,20.96,250,daily,9.51,rel-vol 2.2x · regime HOSTILE,True,5,19.14,18.8529,23.46,348,22.57,15.05,False
ALK,44.31,BASING,0.0,0,5,5,51.6,50.0,161,weekly,12.84,10 bear-built-above · rel-vol 1.8x · regime HOSTILE,False,6,44.31,43.6454,51.6,150,16.45,10.97,False
ALP,0.258,BASING,0.0,0,5,5,0.3091,0.2844,3,daily,10.23,22 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,0.258,0.2541,0.3091,25839,19.81,13.2,False
AMAT,486.6036,BASING,0.0,0,4,4,498.25,493.8,445,15m,1.48,23 bear-built-above · rel-vol 1.4x · regime HOSTILE,False,5,486.6036,479.3045,498.25,13,2.39,1.6,False
AMKR,68.02,BASING,0.0,0,4,4,72.0505,70.79,127,1h,4.07,19 bear-built-above · rel-vol 1.6x · regime HOSTILE,False,4,68.02,66.9997,72.0505,98,5.93,3.95,False
AMPG,6.6695,BASING,0.0,0,5,5,7.03,6.9469,9,15m,4.16,9 bear-built-above · rel-vol 2.1x · regime HOSTILE,True,5,6.6695,6.5695,7.03,999,5.41,3.6,False
AMZE,0.1305,BASING,0.0,0,5,5,0.1375,0.1322,1,weekly,1.3,12 bear-built-above · rel-vol 0.5x · regime HOSTILE,False,5,0.1305,0.1285,0.1375,51085,5.36,3.58,False
ANRO,20.4,BASING,0.0,0,5,5,22.98,22.7,29,weekly,11.27,5 bear-built-above · rel-vol 1.7x · regime HOSTILE,False,5,20.4,20.094,22.98,326,12.65,8.43,False
ASAN,7.51,BASING,0.0,0,3,3,7.84,7.8,5,weekly,3.86,12 bear-built-above · rel-vol 0.9x · regime HOSTILE,False,3,7.51,7.3973,7.84,887,4.39,2.93,False
ATPC,3.05,BASING,0.0,0,4,4,3.3,3.25,5,1m,6.56,3 bear-built-above · rel-vol 0.2x · regime HOSTILE,True,4,3.05,3.0042,3.3,2185,8.2,5.46,False
ATRO,84.59,BASING,0.0,0,5,5,85.225,84.97,26,1h,0.45,27 bear-built-above · rel-vol 2.2x · regime HOSTILE,True,5,84.59,83.3212,85.225,78,0.75,0.5,False
AVTR,9.96,BASING,0.0,0,4,4,10.0484,10.0,5,1h,0.4,4 bear-built-above · rel-vol 1.3x · regime HOSTILE,False,4,9.96,9.8106,10.0484,669,0.89,0.59,False
AXGN,42.79,BASING,0.0,0,3,3,43.655,43.505,15,5m,1.67,3 bear-built-above · rel-vol 1.4x · regime HOSTILE,True,3,42.79,42.1482,43.655,155,2.02,1.35,False
AXTI,75.17,BASING,0.0,0,5,5,81.8,80.0,180,1h,6.43,16 bear-built-above · rel-vol 1.2x · regime HOSTILE,False,5,75.17,74.0425,81.8,88,8.82,5.88,False
BAP,349.4,BASING,0.0,0,5,5,357.765,357.03,74,5m,2.18,8 bear-built-above · regime HOSTILE,True,5,349.4,344.159,357.765,19,2.39,1.6,False
BATL,1.32,BASING,0.0,0,5,5,1.51,1.45,7,daily,9.85,7 bear-built-above · rel-vol 1.9x · regime HOSTILE,False,5,1.32,1.3002,1.51,5050,14.39,9.6,False
BBNX,14.43,BASING,0.0,0,5,5,15.96,15.87,10,weekly,9.98,9 bear-built-above · rel-vol 1.1x · regime HOSTILE,True,5,14.43,14.2135,15.96,462,10.6,7.07,False
BFLY,4.98,BASING,0.0,0,5,5,5.14,5.1,5,5m,2.41,7 bear-built-above · rel-vol 1.3x · regime HOSTILE,False,7,4.98,4.9053,5.14,1338,3.21,2.14,False
BGLC,2.1,BASING,0.0,0,1,1,2.32,2.24,8,daily,6.67,1 bear-built-above · rel-vol 0.3x · regime HOSTILE,False,1,2.1,2.0685,2.32,3174,10.48,6.98,False
BLDR,77.2,BASING,0.0,0,4,4,88.12,87.307,82,1h,13.09,3 bear-built-above · regime HOSTILE,False,4,77.2,76.042,88.12,86,14.15,9.43,False
BMA,88.0,BASING,0.0,0,5,5,92.9,92.15,75,weekly,4.72,10 bear-built-above · rel-vol 1.3x · regime HOSTILE,False,5,88.0,86.68,92.9,75,5.57,3.71,False
BNRG,1.1924,BASING,0.0,0,5,5,1.34,1.3151,3,1h,10.29,5 bear-built-above · rel-vol 2.9x · regime HOSTILE,False,5,1.1924,1.1745,1.34,5590,12.38,8.25,False
BURU,0.1531,BASING,0.0,0,3,3,0.17,0.1691,1,daily,10.45,1 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,3,0.1531,0.1508,0.17,43544,11.04,7.36,False
CAI,17.0,BASING,0.0,0,5,5,18.47,18.34,13,weekly,7.88,12 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,5,17.0,16.745,18.47,392,8.65,5.76,False
CBRL,39.49,BASING,0.0,0,5,5,40.29,39.89,40,daily,1.01,9 bear-built-above · rel-vol 2.7x · regime HOSTILE,False,5,39.49,38.8976,40.29,168,2.03,1.35,False
CBRS,221.0,BASING,0.0,0,5,5,233.5,233.4427,6,1h,5.63,23 bear-built-above · rel-vol 0.6x · regime HOSTILE,False,5,221.0,217.685,233.5,30,5.66,3.77,False
CCHH,0.3691,BASING,0.0,0,3,3,0.383,0.3818,1,daily,3.44,3 bear-built-above · rel-vol 4.8x · regime HOSTILE,False,4,0.3691,0.3636,0.383,18061,3.77,2.51,False
CDNL,61.68,BASING,0.0,0,5,5,62.335,62.12,22,1h,0.71,9 bear-built-above · regime HOSTILE,False,5,61.68,60.7548,62.335,108,1.06,0.71,False
CDTG,2.63,BASING,0.0,0,2,2,2.95,2.9489,1,15m,12.13,rel-vol 2.2x · regime HOSTILE,False,2,2.63,2.5905,2.95,2534,12.17,8.11,False
CECO,95.6,BASING,0,0,0,0,,,,,0,rel-vol 1.6x · regime HOSTILE,False,0,95.6,94.166,105.16,69,10.0,6.67,False
CHAI,1.5,BASING,0.0,0,5,5,1.655,1.6501,1,15m,10.01,7 bear-built-above · rel-vol 14.6x · regime HOSTILE,False,5,1.5,1.4775,1.655,4444,10.33,6.89,False
CHR,1.88,BASING,0.0,0,1,1,2.06,2.01,6,daily,6.91,1 bear-built-above · rel-vol 0.9x · regime HOSTILE,False,1,1.88,1.8518,2.06,3546,9.57,6.38,False
CHWY,20.6,BASING,0.0,0,5,5,22.97,22.7,27,weekly,10.19,13 bear-built-above · rel-vol 1.5x · regime HOSTILE,False,5,20.6,20.291,22.97,323,11.5,7.67,False
CIIT,5.2,BASING,0,0,0,0,,,,,0,rel-vol 5.2x · regime HOSTILE,False,0,5.2,5.122,5.72,1282,10.0,6.67,False
CLOV,4.3,BASING,0.0,0,2,2,4.38,4.375,1,5m,1.74,2 bear-built-above · rel-vol 1.8x · regime HOSTILE,False,5,4.3,4.2355,4.38,1550,1.86,1.24,False
CLWT,1.09,BASING,0.0,0,2,2,1.17,1.1695,1,1m,7.29,2 bear-built-above · rel-vol 6.6x · regime HOSTILE,False,2,1.09,1.0736,1.17,6116,7.34,4.89,False
CLYM,11.04,BASING,0.0,0,5,5,12.0,11.75,25,1h,6.43,10 bear-built-above · rel-vol 3.5x · regime HOSTILE,False,5,11.04,10.8744,12.0,603,8.7,5.8,False
CPSH,6.41,BASING,0.0,0,5,5,7.32,7.3,3,5m,13.88,15 bear-built-above · rel-vol 1.5x · regime HOSTILE,False,5,6.41,6.3139,7.32,1040,14.2,9.46,False
CRDO,228.14,BASING,0.0,0,5,5,241.6,241.23,38,15m,5.74,17 bear-built-above · rel-vol 1.8x · regime HOSTILE,True,5,228.14,224.7179,241.6,29,5.9,3.93,False
CREG,0.217,BASING,0.0,0,5,5,0.234,0.2316,1,15m,6.75,20 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,0.217,0.2137,0.234,30721,7.83,5.22,False
CSW,278.21,BASING,0.0,0,5,5,284.28,279.68,460,daily,0.53,rel-vol 1.1x · regime HOSTILE,False,5,278.21,274.0368,284.28,23,2.18,1.45,False
CXAI,0.2203,BASING,0.0,0,5,5,0.228,0.2242,1,weekly,1.77,8 bear-built-above · rel-vol 0.3x · regime HOSTILE,False,5,0.2203,0.217,0.228,30261,3.5,2.33,False
CYPH,0.728,BASING,0.0,0,3,3,0.7442,0.7385,1,15m,1.44,3 bear-built-above · rel-vol 0.7x · regime HOSTILE,False,3,0.728,0.7171,0.7442,9157,2.23,1.48,False
DEVS,0.3376,BASING,0.0,0,5,5,0.3435,0.3434,1,15m,1.72,12 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,0.3376,0.3325,0.3435,19747,1.75,1.17,False
DGXX,5.76,BASING,0.0,0,4,4,6.36,6.34,3,daily,10.07,11 bear-built-above · rel-vol 0.7x · regime HOSTILE,False,4,5.76,5.6736,6.36,1157,10.42,6.94,False
DKNG,27.69,BASING,0.0,0,5,5,29.94,29.01,93,daily,4.77,8 bear-built-above · rel-vol 1.7x · regime HOSTILE,True,5,27.69,27.2747,29.94,240,8.13,5.42,False
DOGZ,1.45,BASING,0,0,0,0,,,,,0,rel-vol 0.7x · regime HOSTILE,False,0,1.45,1.4283,1.595,4597,10.0,6.67,False
DSY,1.93,BASING,0.0,0,2,2,1.9387,1.9383,1,5m,0.43,2 bear-built-above · rel-vol 2.7x · regime HOSTILE,False,2,1.93,1.901,1.9387,3454,0.45,0.3,False
DV,10.44,BASING,0.0,0,2,2,11.84,11.7,15,daily,12.07,1 bear-built-above · rel-vol 1.0x · regime HOSTILE,True,2,10.44,10.2834,11.84,638,13.41,8.94,False
DXYZ,33.74,BASING,0.0,0,5,5,39.23,38.375,86,daily,13.74,11 bear-built-above · rel-vol 1.0x · regime HOSTILE,False,5,33.74,33.2339,39.23,197,16.27,10.85,False
EH,6.86,BASING,0.0,0,5,5,7.1086,7.105,1,15m,3.57,19 bear-built-above · rel-vol 4.7x · regime HOSTILE,False,5,6.86,6.7571,7.1086,971,3.62,2.42,False
ELAB,1.4397,BASING,0.0,0,5,5,1.59,1.54,6,daily,6.97,18 bear-built-above · rel-vol 0.6x · regime HOSTILE,False,5,1.4397,1.4181,1.59,4630,10.44,6.96,False
ELF,55.25,BASING,0.0,0,5,5,60.86,60.0,86,daily,8.6,9 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,5,55.25,54.4213,60.86,120,10.15,6.77,False
ESTA,79.82,BASING,0.0,0,2,2,80.61,80.49,13,1h,0.84,1 bear-built-above · rel-vol 1.9x · regime HOSTILE,True,2,79.82,78.6227,80.61,83,0.99,0.66,False
EVER,19.39,BASING,0.0,0,5,5,20.34,20.06,29,daily,3.46,13 bear-built-above · rel-vol 1.2x · regime HOSTILE,False,5,19.39,19.0992,20.34,343,4.9,3.27,False
FCEL,17.17,BASING,0.0,0,3,3,17.5789,17.49,9,15m,1.86,18 bear-built-above · rel-vol 1.7x · regime HOSTILE,False,3,17.17,16.9124,17.5789,388,2.38,1.59,False
FCHL,1.19,BASING,0.0,0,1,1,1.21,1.2,2,1m,0.84,1 bear-built-above · rel-vol 0.6x · regime HOSTILE,True,1,1.19,1.1722,1.21,5602,1.68,1.12,False
FLY,34.4,BASING,0.0,0,5,5,39.6399,39.53,11,1h,14.91,6 bear-built-above · rel-vol 0.7x · regime HOSTILE,False,5,34.4,33.884,39.6399,193,15.23,10.15,False
FND,50.46,BASING,0.0,0,5,5,51.4,50.63,77,daily,0.34,6 bear-built-above · rel-vol 1.4x · regime HOSTILE,False,5,50.46,49.7031,51.4,132,1.86,1.24,False
FOXF,18.13,BASING,0.0,0,5,5,18.28,18.24,5,1m,0.61,5 bear-built-above · rel-vol 1.3x · regime HOSTILE,False,5,18.13,17.858,18.28,367,0.83,0.55,False
FWRD,11.6,BASING,0.0,0,2,2,11.7275,11.68,5,5m,0.69,2 bear-built-above · rel-vol 0.9x · regime HOSTILE,True,2,11.6,11.426,11.7275,574,1.1,0.73,False
GCDT,0.6698,BASING,0.0,0,5,5,0.7475,0.7165,4,15m,6.97,7 bear-built-above · rel-vol 1.8x · regime HOSTILE,False,5,0.6698,0.6598,0.7475,9953,11.6,7.73,False
GCTS,2.5,BASING,0.0,0,5,5,2.705,2.7,1,1h,8.0,20 bear-built-above · rel-vol 0.5x · regime HOSTILE,False,5,2.5,2.4625,2.705,2666,8.2,5.47,False
GDC,0.1011,BASING,0.0,0,5,5,0.1154,0.1153,1,5m,14.05,4 bear-built-above · rel-vol 1.8x · regime HOSTILE,False,5,0.1011,0.0996,0.1154,65941,14.14,9.43,False
GENI,6.78,BASING,0.0,0,5,5,7.22,7.21,1,1h,6.34,4 bear-built-above · rel-vol 1.6x · regime HOSTILE,True,5,6.78,6.6783,7.22,983,6.49,4.33,False
GLXY,31.8,BASING,0.0,0,5,5,34.88,32.95,193,daily,3.62,13 bear-built-above · rel-vol 2.0x · regime HOSTILE,False,5,31.8,31.323,34.88,209,9.69,6.46,False
GMEX,0.96,BASING,0.0,0,1,1,0.9832,0.9827,1,1m,2.36,1 bear-built-above · rel-vol 6.4x · regime HOSTILE,False,2,0.96,0.9456,0.9832,6944,2.42,1.61,False
GPCR,39.78,BASING,0.0,0,5,5,42.21,42.15,7,weekly,5.96,3 bear-built-above · rel-vol 2.7x · regime HOSTILE,False,5,39.78,39.1833,42.21,167,6.11,4.07,False
GPUS,0.1667,BASING,0.0,0,5,5,0.1802,0.1725,1,daily,3.48,10 bear-built-above · rel-vol 0.5x · regime HOSTILE,False,5,0.1667,0.1642,0.1802,39992,8.1,5.4,False
HIMS,27.9055,BASING,0.0,0,5,5,32.2,32.03,18,daily,14.78,19 bear-built-above · rel-vol 1.2x · regime HOSTILE,True,6,27.9055,27.4869,32.2,238,15.39,10.26,False
HKIT,0.4353,BASING,0.0,0,2,2,0.4702,0.47,1,15m,7.97,2 bear-built-above · rel-vol 1.7x · regime HOSTILE,False,2,0.4353,0.4288,0.4702,15315,8.02,5.34,False
HKPD,0.37,BASING,0.0,0,5,5,0.3978,0.3888,1,15m,5.08,5 bear-built-above · rel-vol 4.3x · regime HOSTILE,False,5,0.37,0.3644,0.3978,18018,7.51,5.01,False
HOV,113.7,BASING,0.0,0,5,5,125.62,121.71,392,weekly,7.04,21 bear-built-above · rel-vol 0.9x · regime HOSTILE,False,5,113.7,111.9945,125.62,58,10.48,6.99,False
HPP,15.5,BASING,0.0,0,1,1,17.08,16.87,21,weekly,8.84,rel-vol 1.3x · regime HOSTILE,False,1,15.5,15.2675,17.08,430,10.19,6.8,False
HRI,149.92,BASING,0.0,0,5,5,173.12,158.0,1513,weekly,5.39,2 bear-built-above · rel-vol 1.4x · regime HOSTILE,False,5,149.92,147.6712,173.12,44,15.47,10.32,False
HUBC,1.44,BASING,0.0,0,4,4,1.76,1.59,17,daily,10.42,rel-vol 0.4x · regime HOSTILE,False,4,1.44,1.4184,1.76,4629,22.22,14.81,False
HWH,2.34,BASING,0.0,0,2,2,2.9199,2.63,29,1h,12.39,rel-vol 18.7x · regime HOSTILE,False,5,2.34,2.3049,2.9199,2849,24.78,16.52,False
ICHR,70.36,BASING,0.0,0,5,5,77.22,74.0,322,1h,5.17,15 bear-built-above · rel-vol 1.1x · regime HOSTILE,True,5,70.36,69.3046,77.22,94,9.75,6.5,False
IFNNY,90.0,BASING,0.0,0,5,5,96.77,91.11,566,daily,1.23,20 bear-built-above · rel-vol 2.4x · regime HOSTILE,False,5,90.0,88.65,96.77,74,7.52,5.01,False
INHD,38.63,BASING,0.0,0,1,1,38.94,38.75,19,1h,0.31,1 bear-built-above · rel-vol 19.8x · regime HOSTILE,False,1,38.63,38.0506,38.94,172,0.8,0.53,False
INTC,104.31,BASING,0.0,0,5,5,114.68,109.43,525,weekly,4.91,18 bear-built-above · rel-vol 1.2x · regime HOSTILE,False,5,104.31,102.7454,114.68,63,9.94,6.63,False
JMIA,7.01,BASING,0.0,0,5,5,7.69,7.59,11,daily,8.27,9 bear-built-above · rel-vol 1.7x · regime HOSTILE,False,5,7.01,6.9048,7.69,951,9.7,6.47,False
JZXN,1.3,BASING,0.0,0,5,5,1.3703,1.34,4,1h,3.08,3 bear-built-above · rel-vol 11.4x · regime HOSTILE,False,5,1.3,1.2805,1.3703,5128,5.41,3.61,False
KIDZ,2.4,BASING,0.0,0,4,4,3.374,2.703,68,daily,12.62,2 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,4,2.4,2.364,3.374,2777,40.58,27.06,False
KLAC,2088.84,BASING,0.0,0,4,4,2237.305,2236.02,129,15m,7.05,27 bear-built-above · rel-vol 1.6x · regime HOSTILE,False,4,2088.84,2057.5074,2237.305,3,7.11,4.74,False
LASE,2.34,BASING,0.0,0,5,5,2.69,2.675,2,1m,14.32,11 bear-built-above · rel-vol 0.5x · regime HOSTILE,False,5,2.34,2.3049,2.69,2849,14.96,9.97,False
