ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
DGXX,Long,PULLBACK,T1-STRONG_LONG,82,9.8,3.67,3.5502,4.85,7.1,HIGH,62.53,0.08,2.1,1.0,44.1,22.8,A,103,,1.6083,1.0,1.0,0.083,0.833,3.66,3.67,3.7067,910,834,638,10.84,9.85,7.31,3.5502,4.85,10:30
FNMA,Long,BOUNCE,T1-STRONG_LONG,100,2.6,8.68,7.89,10.75,0.1,MEGA,233.7,0.04,1.6,0.0,26.5,23.8,A,256,,1.1,0.917,0.0,0.75,0.458,8.15,8.68,8.7668,384,126,114,10.0,2.62,2.26,7.89,10.75,10:30
MLYS,Long,PULLBACK,T1-STRONG_LONG,93,2.0,27.575,25.8505,31.024,7.0,HIGH,60.27,0.02,1.2,0.0,18.2,2.0,C,1235,,1.0583,0.417,0.917,0.417,0.042,26.65,27.575,27.8507,125,57,49,5.47,2.0,1.59,25.8505,31.024,10:30
OLED,Long,PULLBACK,T2-LONG,85,2.0,96.56,87.3,115.08,3.3,MED,42.92,0.04,1.6,2.0,18.4,7.0,D,205,,0.925,0.417,0.5,0.167,0.458,90.0,96.56,97.5256,37,10,9,9.29,2.0,1.72,87.3,115.08,10:30
LNAI,Long,PULLBACK,T2-LONG,62,2.0,0.3246,0.2601,0.4536,3.8,MED,17.86,5.62,5.9,1.0,38.4,2.0,D,0,,0.9167,0.417,0.667,0.0,1.0,0.3101,0.3246,0.3446,2000,1550,1183,2.87,2.0,1.29,0.2601,0.4536,10:30
TPG,Long,BOUNCE,T2-LONG,89,2.0,45.03,42.3114,50.4672,1.4,HIGH,113.73,0.03,1.1,0.0,12.7,7.3,B,628,,0.85,0.417,0.167,0.25,0.208,43.62,45.03,45.4803,76,36,31,5.23,2.0,1.57,42.3114,50.4672,10:30
CIFR,Long,BOUNCE,T1-STRONG_LONG,91,2.0,17.89,16.5288,20.6124,2.8,MEGA,329.94,0.07,1.0,0.0,11.9,99.9,A,301,,0.8,0.417,0.417,0.333,0.708,17.04,17.89,18.0689,195,73,64,6.99,2.0,1.65,16.5288,20.6124,10:30
PINS,Long,PULLBACK,T1-STRONG_LONG,100,2.0,20.85,19.0702,24.4096,4.2,MEGA,566.52,0.07,2.7,1.0,9.0,4.6,B,160,,0.775,0.417,0.75,0.75,0.708,19.66,20.85,21.0585,169,56,50,8.05,2.0,1.69,19.0702,24.4096,10:30
PAR,Long,PULLBACK,T1-STRONG_LONG,100,2.0,14.33,13.0368,16.9164,3.7,MED,35.55,0.04,0.9,0.0,16.9,2.4,C,151,,0.775,0.417,0.583,0.75,0.458,13.44,14.33,14.4733,248,77,69,8.62,2.0,1.7,13.0368,16.9164,10:30
BLZE,Long,PULLBACK,T1-STRONG_LONG,100,2.0,4.35,4.0546,4.9408,6.3,HIGH,54.65,0.1,7.5,1.0,14.9,15.9,B,80,,0.7583,0.417,0.833,0.75,0.917,4.18,4.35,4.3935,797,338,295,6.07,2.0,1.61,4.0546,4.9408,10:30
CYTK,Long,BOUNCE,T1-STRONG_LONG,100,2.0,66.05,61.4495,75.251,1.6,HIGH,122.53,0.02,1.4,0.0,14.3,99.9,A,1451,,0.7583,0.417,0.25,0.75,0.042,63.35,66.05,66.7105,52,21,19,6.26,2.0,1.62,61.4495,75.251,10:30
FMCC,Long,BOUNCE,T1-STRONG_LONG,100,2.0,7.73,7.0616,9.0668,1.7,HIGH,131.18,0.04,1.9,0.0,29.3,99.9,A,453,,0.7,0.417,0.333,0.75,0.458,7.28,7.73,7.8073,457,149,134,8.18,2.0,1.69,7.0616,9.0668,10:30
NOK,Long,BOUNCE,T1-STRONG_LONG,100,2.0,13.14,12.5227,14.3746,0.7,MEGA,4443.63,0.03,1.1,0.0,32.8,99.9,A,452,,0.675,0.417,0.083,0.75,0.208,12.91,13.14,13.2714,258,161,133,3.78,2.0,1.47,12.5227,14.3746,10:30
