ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
WAY,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,22.88,1h,log_regression,MID,0.355,19,19.9,20.0,weekly,12.59,94.81,nearest_support_gap_hi,22.77,True,True,0.48,0.48,18.76,18.76,2.19,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 18.76% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
LILAK,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,7.559,daily,gap_topology,AT_LOWER,0.004,2,5.88,6.15,daily,18.64,97.56,lower,7.46,True,True,1.31,1.33,7.76,7.76,2.35,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | some bullish shelf support | high-genesis parent shelf | controlled pullback 7.76% from recent high | pre-trigger coil near reload/reclaim level,overhead_gap_too_close | early_positive_momentum
WIX,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,54.16,1h,log_regression,MID,0.537,25,51.41,52.92,weekly,2.29,97.94,nearest_support_gap_hi,53.72,True,True,0.81,0.82,70.79,70.79,3.18,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
