ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
FCEL,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,14.9,daily,log_regression,AT_LOWER,0.204,5,10.24,11.395,daily,23.52,96.2,nearest_support_gap_hi,14.88,True,False,0.13,0.13,154.23,154.23,2.68,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
ASTS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,62.6,weekly,log_regression,OUTSIDE_DOWN,-0.053,13,45.1,46.765,weekly,25.3,98.15,nearest_support_gap_hi,62.5792,True,False,0.03,0.03,113.83,113.83,3.87,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
SAIL,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,18.61,daily,log_regression,AT_LOWER,0.241,20,13.18,13.57,weekly,27.08,100.0,nearest_support_gap_hi,18.48,True,True,0.7,0.7,14.8,14.8,2.85,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.8% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
KURA,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,13.3,1h,log_regression,AT_LOWER,0.281,11,11.28,11.985,daily,9.89,97.53,nearest_support_gap_hi,13.25,True,True,0.38,0.38,5.94,5.94,2.48,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.94% from recent high | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,overhead_gap_too_close
VERX,EARLY_RECLAIM_TRIGGER,100.0,99.0,99.0,EARLY_RECLAIM_TRIGGER,13.77,1h,log_regression,AT_LOWER,0.233,12,12.47,12.75,daily,7.41,91.95,nearest_support_gap_hi,13.52,True,True,1.82,1.85,8.93,8.93,2.25,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.93% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase | overhead_gap_too_close
EROC,EARLY_RECLAIM_TRIGGER,100.0,93.0,93.0,EARLY_RECLAIM_TRIGGER,12.41,1h,log_regression,AT_UPPER,0.698,9,10.59,10.73,weekly,13.54,99.0,nearest_support_gap_hi,12.3,True,True,0.89,0.89,66.8,66.8,5.56,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",mid_high_channel_location | deep_damage_pullback | early_trigger_not_chase
BMNR,EARLY_STRUCTURAL_MATCH,100.0,74.0,74.0,TOO_EARLY_OR_LOOSE,24.92,daily,log_regression,MID,0.534,11,16.015,16.705,weekly,32.97,96.04,nearest_support_gap_hi,23.96,True,False,3.85,4.01,7.99,7.99,4.61,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.99% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
DYN,EARLY_STRUCTURAL_MATCH,74.2,71.0,71.0,TOO_EARLY_OR_LOOSE,17.12,daily,log_regression,OUTSIDE_DOWN,-0.078,4,14.86,15.27,weekly,10.81,96.72,lower,17.96,True,False,-4.91,-4.68,60.46,60.46,15.07,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | bullish shelf stack underneath | high-genesis parent shelf | room back to recent high,deep_damage_pullback | too_early_or_loose_for_trigger | near_term_selling_pressure
CRWV,EARLY_RECLAIM_TRIGGER,82.8,68.0,68.0,EARLY_RECLAIM_TRIGGER,90.8,15m,log_regression,MID,0.567,6,66.67,68.3,daily,24.78,96.77,nearest_support_gap_hi,89.38,True,True,1.56,1.59,52.26,52.26,2.43,OPTIONS_NOT_CHECKED,"ascending channel/control | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | overhead_gap_too_close | early_positive_momentum
LPTH,EARLY_RECLAIM_TRIGGER,76.0,68.0,68.0,EARLY_RECLAIM_TRIGGER,9.8,weekly,log_regression,OUTSIDE_DOWN,-0.114,4,9.54,9.64,daily,1.63,91.13,nearest_support_gap_hi,9.69,True,True,1.12,1.14,93.27,93.27,4.8,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",late_or_far_from_channel_envelope | deep_damage_pullback | early_trigger_not_chase
