ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
AVTR,Long,BOUNCE,T1-STRONG_LONG,80,14.58,13.9874,15.7652,,2.0,0.5926,,14.58,0.8,CLOSE,1,1,HIGHWAY,WAITING,0.47,,,MEGA,0.01,14.555,14.61,14.5,-0.8,PREMIUM,DISCOUNT,936,10,294,99.9,A,4h,14.46,14.42,2944532.0,0.8,0.8,0.0,0.0,4.6,43.0,8.0,657.81,True,0.40171428571428575,1.48,N/A,,TECH,,HOT,,0.92,,1.3,0.92,0.5,0.75,0.0,0.5,0.92,1.251,FAVORABLE,14.42,14.58,14.7258,231,168,135,3.11,2.0,1.41,3331.02,2449.44,1987.98,10:30,13.9874,15.7652,PULLBACK_LIMIT,,,,MID,LIMIT
MAT,Long,BOUNCE,T2-LONG,88,15.14,14.4724,16.4752,,2.0,0.6676,,15.14,0.8,CLOSE,3,3,OPEN_ROAD,EXCITED,0.66,,,MEGA,0.01,14.97,14.92,15.02,0.7,PREMIUM,MID,329,3,18,2.4,C,"1h,30m,4h",15.02,14.92,3231332.0,0.5,0.6,0.0,0.0,7.8,18.0,8.0,231.4,True,0.44071428571428584,1.51,N/A,,INDUSTRIAL,,NEUTRAL,,0.4,,-1.73,0.4,0.5,0.75,0.5,0.5,0.4,0.945,FAVORABLE,14.92,15.14,15.2914,223,149,122,3.47,2.0,1.45,3327.16,2255.86,1865.55,10:30,14.4724,16.4752,PULLBACK_LIMIT,,,,MID,LIMIT
CTSH,Long,BOUNCE,T1-STRONG_LONG,100,64.04,60.4019,71.3162,,2.0,3.6381,,64.04,0.2,CLOSE,8,7,HIGHWAY,EXCITED,1.12,,,MEGA,0.01,63.92,63.76,64.08,0.5,PREMIUM,DISCOUNT,2990,11,1858,10.2,A,"10m,15m,1d,1h,30m,4h,5m",63.94,62.27,317202475.0,0.7,0.8,0.0,0.0,7.1,43.0,8.0,449.16,False,2.129642857142857,1.71,N/A,,TECH,,HOT,,0.92,,1.3,0.92,0.5,0.0,1.0,0.5,0.92,0.726,FAVORABLE,62.27,64.04,64.6804,53,27,23,4.84,2.0,1.55,3300.31,1729.08,1487.65,10:30,60.4019,71.3162,PULLBACK_LIMIT,,,,MID,LIMIT
