ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
A,173.0,BASING,0.0,0,3,3,174.01,173.995,2,15m,0.58,3 bear-built-above · rel-vol 1.2x · regime FAVORABLE,True,4,173.0,170.405,174.01,38,0.58,0.39,False
AA,42.7,BASING,0.0,0,15,15,48.26,47.25,101,weekly,10.66,47 bear-built-above · rel-vol 1.2x · regime FAVORABLE,False,15,42.7,42.0595,48.26,156,13.02,8.68,False
AAL,13.5,BASING,0.0,0,14,14,14.83,14.772,6,weekly,9.42,1 bear-built-above · rel-vol 1.2x · regime FAVORABLE,True,14,13.5,13.2975,14.83,493,9.85,6.57,False
AAOI,103.5,BASING,0.0,0,16,16,124.82,109.125,1570,weekly,5.43,7 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,17,103.5,101.9475,124.82,64,20.6,13.73,False
AAON,84.8,BASING,0.0,0,10,10,87.83,86.77,107,daily,2.32,rel-vol 1.2x · regime FAVORABLE,True,10,84.8,83.528,87.83,78,3.57,2.38,False
AAOZ,13.22,BASING,0.0,0,20,20,14.2946,14.065,23,15m,6.39,56 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,20,13.22,13.0217,14.2946,504,8.13,5.42,False
AAP,41.43,BASING,0.0,0,19,19,56.18,46.85,933,daily,13.08,35 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,19,41.43,40.8085,56.18,160,35.6,23.73,False
AAPL,335.9,BASING,0.0,0,16,16,337.02,336.72,30,daily,0.24,14 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,18,335.9,330.8615,337.02,19,0.33,0.22,False
AAPU,45.12,BASING,0.0,0,20,20,45.39,45.21,18,daily,0.2,29 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,23,45.12,44.4432,45.39,147,0.6,0.4,False
ABCL,12.65,BASING,0.0,0,19,19,12.83,12.825,1,30m,1.38,19 bear-built-above · rel-vol 1.2x · regime FAVORABLE,True,19,12.65,12.4603,12.83,527,1.42,0.95,False
ABM,49.56,BASING,0.0,0,20,20,54.91,50.32,459,daily,1.53,29 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,20,49.56,48.8166,54.91,134,10.79,7.2,False
ABNB,153.0,BASING,0.0,0,19,19,161.81,159.52,229,daily,4.26,56 bear-built-above · rel-vol 1.7x · regime FAVORABLE,False,21,153.0,150.705,161.81,43,5.76,3.84,False
ABSI,10.52,BASING,0.0,0,19,19,10.7497,10.735,2,1h,2.04,16 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,21,10.52,10.3622,10.7497,633,2.18,1.46,False
ABT,101.2,BASING,0.0,0,19,19,120.73,108.61,1213,daily,7.32,26 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,19,101.2,99.682,120.73,65,19.3,12.87,False
ABVX,94.0,BASING,0.0,0,17,17,103.45,102.74,72,daily,9.3,29 bear-built-above · rel-vol 1.3x · regime FAVORABLE,False,17,94.0,92.59,103.45,70,10.05,6.7,False
ACAD,22.2,BASING,0.0,0,20,20,25.43,24.38,106,daily,9.82,29 bear-built-above · rel-vol 3.7x · regime FAVORABLE,False,20,22.2,21.867,25.43,300,14.55,9.7,False
ACHC,27.8,BASING,0.0,0,20,20,29.41,29.37,4,1h,5.65,35 bear-built-above · rel-vol 1.5x · regime FAVORABLE,False,20,27.8,27.383,29.41,239,5.79,3.86,False
ACHR,5.75,BASING,0.0,0,19,19,6.3,6.21,9,weekly,8.0,1 bear-built-above · rel-vol 1.2x · regime FAVORABLE,True,19,5.75,5.6638,6.3,1159,9.57,6.38,False
ACI,11.95,BASING,0.0,0,20,20,14.6,12.5,210,daily,4.6,26 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,20,11.95,11.7707,14.6,557,22.18,14.78,False
ACM,58.56,BASING,0.0,0,20,20,66.04,65.59,46,daily,12.0,59 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,20,58.56,57.6816,66.04,113,12.77,8.52,False
ACMR,78.04,BASING,0.0,0,20,20,85.88,85.0,88,30m,8.92,24 bear-built-above · rel-vol 1.5x · regime FAVORABLE,False,21,78.04,76.8694,85.88,85,10.05,6.7,False
ACN,176.9156,BASING,0.0,0,14,14,181.47,181.24,23,45m,2.44,16 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,14,176.9156,174.2619,181.47,37,2.57,1.72,False
ACVA,10.47,BASING,0.0,0,16,16,13.35,11.295,206,daily,7.88,13 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,17,10.47,10.313,13.35,636,27.51,18.34,False
ADBE,237.91,BASING,0.0,0,18,18,266.51,262.805,371,weekly,10.46,49 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,18,237.91,234.3414,266.51,28,12.02,8.01,False
ADBT,0.1221,BASING,0.0,0,2,2,0.1239,0.1236,1,5m,1.23,2 bear-built-above · rel-vol 0.4x · regime FAVORABLE,True,2,0.1221,0.1203,0.1239,54600,1.47,0.98,False
ADI,385.01,BASING,0.0,0,19,19,417.93,405.43,1250,daily,5.3,12 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,22,385.01,379.2348,417.93,17,8.55,5.7,False
ADM,81.38,BASING,0.0,0,20,20,85.18,85.05,14,weekly,4.51,72 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,20,81.38,80.1593,85.18,81,4.67,3.11,False
ADPT,29.75,BASING,0,0,0,0,,,,,0,rel-vol 1.6x · regime FAVORABLE,True,0,29.75,29.3038,32.725,224,10.0,6.67,False
ADSK,211.98,BASING,0.0,0,17,17,237.52,232.08,544,daily,9.48,66 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,17,211.98,208.8003,237.52,31,12.05,8.03,False
AEHG,9.06,BASING,0.0,0,9,9,9.16,9.08,9,4h,0.22,7 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,9,9.06,8.9241,9.16,735,1.1,0.74,False
AEHL,9.58,BASING,0,0,0,0,,,,,0,rel-vol 0.0x · regime FAVORABLE,False,1,9.58,9.4363,10.538,695,10.0,6.67,False
AEHR,100.0,BASING,0.0,0,9,9,113.76,113.68,8,45m,13.68,6 bear-built-above · rel-vol 0.6x · regime FAVORABLE,True,9,100.0,98.5,113.76,66,13.76,9.17,False
AEIS,280.52,BASING,0.0,0,7,7,302.67,300.02,266,1h,6.95,rel-vol 0.8x · regime FAVORABLE,False,7,280.52,276.3122,302.67,23,7.9,5.26,False
AEM,195.5,BASING,0.0,0,16,16,226.94,222.81,413,daily,13.97,13 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,16,195.5,192.5675,226.94,34,16.08,10.72,False
AEMD,6.6,BASING,0.0,0,5,5,6.77,6.75,2,5m,2.27,5 bear-built-above · rel-vol 0.0x · regime FAVORABLE,True,5,6.6,6.501,6.77,1010,2.58,1.72,False
AENT,4.93,BASING,0.0,0,20,20,5.41,5.35,7,45m,8.52,12 bear-built-above · rel-vol 0.1x · regime FAVORABLE,False,20,4.93,4.856,5.41,1352,9.74,6.49,False
AEO,16.04,BASING,0.0,0,8,8,17.22,17.11,11,daily,6.67,6 bear-built-above · rel-vol 0.5x · regime FAVORABLE,False,8,16.04,15.7994,17.22,415,7.36,4.9,False
AEON,0.2536,BASING,0.0,0,20,20,0.2862,0.278,1,daily,9.62,25 bear-built-above · rel-vol 0.0x · regime FAVORABLE,False,20,0.2536,0.2498,0.2862,26288,12.85,8.57,False
AEVA,15.9,BASING,0.0,0,11,11,18.29,17.72,58,weekly,11.45,rel-vol 1.2x · regime FAVORABLE,False,11,15.9,15.6615,18.29,419,15.03,10.02,False
AG,18.95,BASING,0.0,0,19,19,22.66,21.36,131,daily,12.72,13 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,19,18.95,18.6657,22.66,351,19.58,13.05,False
