ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
SOC,BULL_BOUNCE_CONFIRMED,LONG,68.0,4.15,4.0,4.45,4.58,684,2.05,FAVORABLE,1.39,4.15,DEEP_BELOW,-0.8608,29.81,0.0556,5.6% (normal),FALLING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""obv_falling"": -12.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 15.0}",ASC channel detected on 10m (score 84) | recovered 2.1% from recent low $4.07 | bounce at 10m 5tk @ $4.07 (MINOR) | 5 prior bull-rail touches | OBV falling — distribution; bounce may fail | SPY FAVORABLE | staircase: 3 prior distinct rejection(s) below — prev = 10m 7tk @ $4.06,"Channel: 10m ASC, rails $4.08-$4.12. Recent low $4.07 → now $4.15 (+2.1%)",2026-08-17T05:26:01
TDOC,BULL_BOUNCE,LONG,70.3,6.82,6.29,7.66,,188,1.59,FAVORABLE,0.51,6.82,DEEP_BELOW,-0.3102,9.89,0.0169,1.7% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 1.3, ""multiple_touches"": 16.0, ""flag_compression"": 4.0, ""regime_favorable"": 5.0}",ASC channel detected on 45m (score 78) | price at lower rail ($6.80) | anchor: 15m 9tk @ $6.67 | 5 prior bull-rail touches | flag-period volume compressed (textbook) | SPY FAVORABLE,"Channel: 45m ASC, rails $6.80-$6.88",2026-08-17T05:24:54
RVTY,BULL_BOUNCE_PENDING,LONG,61.0,114.65,113.53,117.04,117.48,89,2.13,FAVORABLE,0.49,116.84,BLUE_SKY,-0.0127,118.34,0.0069,0.7% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $114.65 (5m 74tk MINOR gap body) | only 1.6% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $114.65 on pullback (1.6% below current $116.84). Stop $113.53. Anchor: 5m 74tk.,2026-08-17T05:24:39
SANA,BULL_BOUNCE_CONFIRMED,LONG,66.0,3.61,3.31,3.79,,337,0.61,FAVORABLE,1.52,3.61,DEEP_BELOW,-0.4489,6.55,0.0124,1.2% (normal),RISING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 4.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 5.0}",ASC channel detected on 5m (score 66) | recovered 3.1% from recent low $3.50 | bounce at 1h 17tk @ $3.42 (MINOR) | 2 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 1 prior distinct rejection(s) below — prev = 1h 7tk @ $3.36,"Channel: 5m ASC, rails $3.53-$3.57. Recent low $3.50 → now $3.61 (+3.1%)",2026-08-17T05:25:05
YUM,BULL_BOUNCE_PENDING,LONG,70.5,145.09,138.68,159.2,160.41,15,2.2,FAVORABLE,0.7,148.05,BELOW,-0.1298,170.14,0.0063,0.6% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 8.0, ""high_genesis_rank"": 14.5, ""conviction_tier"": 10.0, ""near_pullback"": -4.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""sector_bottom_quartile"": -3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $142.81 (daily 685tk CONVICTION gap body) | only 1.2% below — shallow entry, historically weak (22% WR) | OBV softer near-term — normal during pullback wait | CONS_DISC WEAK (WEAK) — sector headwind | SPY FAVORABLE",LIMIT BUY @ $145.09 (2% pullback cap; anchor at $142.81 too far). Stop $138.68. Anchor: daily 685tk.,2026-08-17T05:24:38
YUM,BEAR_REJECTION_PENDING,SHORT,60.1,149.6,151.51,146.23,128.85,13,1.76,FAVORABLE,0.7,148.05,BELOW,-0.1298,170.14,0.0063,0.6% (normal),FALLING,False,"{""structural_anchor_above"": 14.0, ""large_anchor"": 10.0, ""high_genesis_rank"": 14.1, ""conviction_tier"": 10.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""bull_gap_magnet_above"": -24.0, ""obv_falling"": 6.0}","PENDING: wait for rally to $149.60 (weekly 116tk CONVICTION bear gap) | only 1.0% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | 2 bull gap magnet(s) above $150.76 — upside pull may breach resistance | OBV falling — distribution confirms short thesis | COUNTER-TREND: opposes dominant LONG read (top score 70) - sized to 1/4 risk",LIMIT SHORT @ $149.60 on rally (1.0% above current $148.05). Stop $151.51. Anchor: weekly 116tk bear.,2026-08-17T05:24:38
DD,BEAR_REJECTION_PENDING,SHORT,73.5,148.68,152.56,142.85,133.35,25,1.5,FAVORABLE,0.63,145.77,NEAR_HIGH,-0.0773,157.98,0.0082,0.8% (normal),FALLING,False,"{""structural_anchor_above"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 13.5, ""vacuum_tier"": 6.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""ascending_channel_headwind"": -10.0, ""obv_falling"": 6.0}","PENDING: wait for rally to $148.68 (daily 313tk VACUUM bear gap) | only 2.0% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | ASC channel active (daily) — short fights rising structure | OBV falling — distribution confirms short thesis",LIMIT SHORT @ $148.68 on rally (2.0% above current $145.77). Stop $152.56. Anchor: daily 313tk bear.,2026-08-17T05:25:04
CLVT,BULL_BOUNCE_PENDING,LONG,67.0,1.87,1.78,2.06,2.08,1095,2.06,FAVORABLE,0.43,1.91,DEEP_BELOW,-0.5807,4.55,0.0038,0.4% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $1.83 (30m 1tk MINOR gap body) | 3.7% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $1.87 (2% pullback cap; anchor at $1.83 too far). Stop $1.78. Anchor: 30m 1tk.,2026-08-17T05:24:57
PTLO,BULL_BOUNCE_PENDING,LONG,73.7,5.25,4.86,5.93,,257,1.75,FAVORABLE,0.94,5.2183,DEEP_BELOW,-0.344,7.95,0.0172,1.7% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 13.7, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_bottom_quartile"": -3.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $4.86 anchor - enter on strength above today's high, no pullback | 5.1% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | CONS_DISC WEAK (WEAK) — sector headwind | SPY FAVORABLE | BREAKOUT_FOLLOW: open $4.99 cleared anchor $4.86, 2/4 strength, regime FAVORABLE — buy-stop $5.25, 1.5xATR stop","BUY-STOP @ $5.25 (above today's high $5.24). Stop $4.86 (1.5xATR). Score 74, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-08-17T05:26:00
BKV,BULL_BOUNCE_PENDING,LONG,62.8,26.19,25.69,28.09,27.79,203,3.88,FAVORABLE,0.64,26.72,BELOW,-0.1856,32.81,0.0053,0.5% (normal),RISING,True,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 11.8, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""exhaustion_warning"": -3.0, ""float_rot_quiet"": -2.0, ""sector_top_quartile"": 3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $26.01 (daily 17tk COMPRESSION gap body) | only 2.4% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | exhaustion: +4.2% over 5d on declining volume (-10.3%/day), no capitulation in last 10d, $1.75 (1.7× ATR) to 45m 80tk bear gap | ENERGY STRONG (STRONG) — sector tailwind | SPY FAVORABLE",LIMIT BUY @ $26.19 (2% pullback cap; anchor at $26.01 too far). Stop $25.69. Anchor: daily 17tk.,2026-08-17T05:25:56
