ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
ABCL,BOUNCED_CLEAN,0,3,120.8,4,1.1,False,2.1,1d,20,21,True,1m,2,False,581,494,828.0,5,10,1d.21t~ | 1d.12t | 1d.8t,2026-05-05T06:30:00.000000000,5.07,2026-05-05T12:15:00.000000000,4.8434,5.155,4.5609,1.1,0,0,False,1.27,6758004,0,15
OSCR,BOUNCED_CLEAN,0,2,123.5,4,0.4,False,1.2,1d,20,80,True,1m,13,False,0,0,0.0,0,0,-,2026-05-06T06:15:00.000000000,20.2271,2026-05-06T10:00:00.000000000,20.525,20.42,18.0339,,0,0,False,1.25,5893205,0,0
FA,BOUNCED_CLEAN,0,6,238.2,5,4.2,False,0,1d,20,21,False,1m,5,False,2720,0,2720.0,11,0,1d.26t | 1d.25t | 1d.21t,2026-05-07T13:15:00.000000000,16.105,2026-05-07T14:00:00.000000000,16.09,17.005,15.978,8.17,0,0,False,2.58,888043,0,11
MIRM,BOUNCED_CLEAN,0,4,221.3,3,2.1,False,0.2,15m,5,158,True,1m,36,True,41,3634,1858.0,1,6,4h.424t | 4h.34t | 4h.22t,2026-05-07T09:30:00.000000000,104.265,2026-05-07T10:15:00.000000000,102.145,108.5,98.4976,1.74,0,0,False,2.41,578625,0,7
BTBT,BOUNCED_CLEAN,0,0,90.7,2,-0.8,False,1.2,1d,20,32,False,1m,2,True,4320,261,4450.5,76,77,1d.32t | 1d.17t | 1d.15t,2026-05-06T09:30:00.000000000,1.87,2026-05-06T10:00:00.000000000,1.795,2.01,1.7665,7.53,0,0,False,0.91,18626738,0,153
GPRE,BOUNCED_WAITING,0,5,168.9,6,2.1,False,0.1,15m,5,85,True,5m,68,False,1166,3087,2709.5,15,17,1d.49t~ | 4h.51t | 4h.40t~,2026-05-06T09:30:00.000000000,17.65,2026-05-07T12:15:00.000000000,16.48,17.75,15.7684,1.78,15,0,False,1.76,1158195,0,32
GPRE,BOUNCED_WAITING,0,5,168.9,6,2.1,False,0.1,15m,5,41,False,5m,68,False,1166,3087,2709.5,15,17,1d.49t~ | 4h.51t | 4h.40t~,2026-05-07T09:15:00.000000000,17.48,2026-05-07T12:15:00.000000000,16.48,17.58,15.7684,1.55,8,0,False,1.76,1158195,0,32
GLUE,BOUNCED_WAITING,0,1,54.8,4,-0.9,False,1.2,1d,20,33,False,1m,53,False,3605,0,3605.0,35,0,1d.33t | 1d.22t | 1d.11t,2026-04-22T09:30:00.000000000,21.27,2026-05-06T09:45:00.000000000,19.47,22.51,18.6726,3.81,7,0,False,0.54,638017,0,35
CLNN,BOUNCED_WAITING,0,1,13.5,4,-0.6,False,3.1,1d,20,40,True,1d,10,False,2033,1524,2795.0,35,34,1d.43t | 1d.40t~ | 1d.17t,2026-05-04T08:30:00.000000000,7.9799,2026-05-04T11:30:00.000000000,7.21,9.01,6.1976,1.78,3,0,False,0.14,1259398,0,69
NG,BOUNCED_CLEAN,0,1,120.1,2,-3.2,False,1.3,15m,5,25,True,1m,10,False,3630,697,3978.5,23,10,1d.72t | 1d.21t~ | 1d.19t,2026-04-22T09:15:00.000000000,9.67,2026-05-06T05:45:00.000000000,8.66,9.7,8.2934,2.84,0,0,False,1.23,2841899,0,33
WGS,BOUNCED_CLEAN,0,7,211.8,7,3.4,False,1.0,1d,20,2766,True,1m,9,False,99455,12879,105894.5,103,30,1d.229t | 1d.188t | 1d.181t,2026-05-05T08:45:00.000000000,37.21,2026-05-06T14:45:00.000000000,39.8,37.46,33.6675,,0,0,False,2.28,1421200,0,133
CAL,BOUNCED_WAITING,0,0,62.6,3,-2.4,False,3.0,1d,20,102,False,1m,3,False,4997,0,4997.0,36,0,1d.102t | 1d.41t | 1d.27t,2026-04-21T09:45:00.000000000,14.505,2026-05-04T13:45:00.000000000,13.055,14.98,12.2754,2.47,7,0,False,0.59,415946,0,36
CAL,BOUNCED_WAITING,0,0,62.6,3,-2.4,False,3.0,1d,20,41,False,1m,3,False,4997,0,4997.0,36,0,1d.102t | 1d.41t | 1d.27t,2026-04-17T10:30:00.000000000,13.925,2026-05-04T13:45:00.000000000,13.055,14.35,12.2754,1.66,6,0,False,0.59,415946,0,36
HNRG,BOUNCED_WAITING,0,2,197.4,3,-0.5,False,0.1,15m,5,34,False,1m,32,False,683,2159,1762.5,11,19,1d.54t | 1d.51t | 1d.34t,2026-05-06T18:30:00.000000000,22.4999,2026-05-07T12:15:00.000000000,19.17,22.64,18.8323,10.27,21,0,False,2.13,989094,0,30
