ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
AKAM,Long,PULLBACK,T2-LONG,94,117.6,111.4239,133.84,125.935,2.6,6.1761,129.52,9.2,WAITING,2,2,"1h,4h",117.6,114.87,HIGHWAY,EXCITED,1.53,527683952.0,1.2,1.3,0.0,0.0,19.2,32.0,8.0,142.06,HIGH,0.03,125.935,126.57,125.3,-1.0,PREMIUM,DISCOUNT,4147,7,2094,3.3,C,,,,False,6.183064285714283,1.0,N/A,,TECH,,STRONG,,0.88,,2.87,0.88,0.919,0.946,0.324,0.716,0.88,1.5762,CHOP,114.87,117.6,118.776,29,16,13,5.5,2.63,2.05,3331.23,1881.6,1544.09,10:30,111.4239,133.84,PULLBACK_LIMIT,,,,MID,LIMIT
PARR,Long,PULLBACK,T2-LONG,100,61.37,58.9178,68.25,68.145,2.8,2.4522,65.54,6.4,APPROACH,2,2,"1d,30m",61.37,60.74,HIGHWAY,EXCITED,3.01,15642626.0,1.3,1.3,0.0,0.0,18.9,43.0,8.0,48.67,MED,0.02,68.145,68.57,67.72,-1.2,DISCOUNT,DISCOUNT,2855,12,2251,4.1,B,,,,False,2.9099999999999993,0.84,N/A,,ENERGY,,HOT,,0.96,,3.49,0.96,0.946,0.865,0.676,0.378,0.96,1.565,CHOP,60.74,61.37,61.9837,54,40,32,4.12,2.81,2.04,3279.96,2454.8,1983.48,10:30,58.9178,68.25,PULLBACK_LIMIT,,,,MID,LIMIT
HELP,Long,PULLBACK,T2-LONG,100,5.9671,5.7763,6.8,6.195,4.4,0.1908,6.63,10.0,WAITING,2,2,"1h,30m",5.9671,5.955,HIGHWAY,EXCITED,0.78,140376.0,1.4,0.9,0.0,0.0,16.6,61.0,8.0,99.77,HIGH,0.02,6.195,6.23,6.16,-1.1,PREMIUM,DISCOUNT,431,8,191,2.6,C,,,,True,0.5079285714285714,0.38,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,NEUTRAL,0.4,0.52,-1.77,0.52,1.0,1.0,0.676,0.378,0.52,1.5276,CHOP,5.955,5.9671,6.0268,559,524,399,4.73,4.37,3.09,3328.85,3126.76,2404.68,10:30,5.7763,6.8,PULLBACK_LIMIT,,,,MID,LIMIT
ALMS,Long,PULLBACK,T2-LONG,100,27.89,26.4519,31.16,29.595,2.3,1.4381,30.3,8.0,WAITING,2,2,"1d,4h",27.89,27.27,HIGHWAY,EXCITED,1.97,159695409.0,1.1,1.4,0.0,0.0,23.0,46.0,8.0,85.84,HIGH,0.02,29.595,29.74,29.45,-1.0,PREMIUM,DISCOUNT,2128,14,1220,2.8,C,,,,False,1.7147428571428562,0.84,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,NEUTRAL,0.4,0.52,-1.77,0.52,0.892,0.919,0.676,0.378,0.52,1.3952,CHOP,27.27,27.89,28.1689,122,69,58,4.75,2.27,1.74,3326.94,1924.41,1633.8,10:30,26.4519,31.16,PULLBACK_LIMIT,,,,MID,LIMIT
VOR,Long,PULLBACK,T1-STRONG_LONG,100,18.72,17.8383,22.0,20.24,3.7,0.8817,19.75,5.2,APPROACH,1,1,1d,18.72,18.39,HIGHWAY,EXCITED,2.6,129072434.0,0.9,0.9,0.0,1.0,19.0,35.0,8.0,40.17,MED,0.04,20.24,20.31,20.17,-0.7,DISCOUNT,DISCOUNT,599,6,360,11.4,A,,,,True,1.501428571428571,0.59,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,NEUTRAL,0.4,0.52,-1.77,0.52,0.973,0.784,0.676,0.865,0.52,1.3384,CHOP,18.39,18.72,18.9072,181,113,93,6.54,3.72,2.89,3328.59,2115.36,1758.37,10:30,17.8383,22.0,PULLBACK_LIMIT,,,,MID,LIMIT
TBLA,Long,PULLBACK,T1-STRONG_LONG,90,5.19,4.9955,5.579,5.4,2.0,0.1945,5.58,7.0,APPROACH,1,1,1d,5.19,5.15,HIGHWAY,EXCITED,1.37,21089131.0,0.7,0.8,0.0,0.0,12.1,34.0,8.0,136.85,HIGH,0.02,5.4,5.43,5.37,-1.1,PREMIUM,DISCOUNT,234,11,195,99.9,A,,,,True,0.25627857142857147,0.76,N/A,,TECH,CHINA_TECH,STRONG,HOT,0.88,1.0,2.87,1.0,0.432,0.892,0.257,0.378,1.0,1.1973,CHOP,5.15,5.19,5.2419,647,514,405,2.78,2.0,1.37,3332.05,2667.66,2122.97,10:30,4.9955,5.579,PULLBACK_LIMIT,,,,MID,LIMIT
NAT,Long,PULLBACK,T2-LONG,69,5.9,5.4369,6.8263,6.04,2.0,0.4631,5.9,3.9,APPROACH,1,1,1d,5.67,5.605,OPEN_ROAD,EXCITED,0.81,25512156.0,0.8,0.6,0.0,0.0,9.4,32.0,8.0,200.0,MEGA,0.02,6.04,6.06,6.02,-0.7,DISCOUNT,DISCOUNT,138,12,33,2.0,C,,,,True,0.34525000000000017,1.34,N/A,,ENERGY,,HOT,,0.96,,3.49,0.96,0.432,0.622,0.014,0.378,0.96,1.1772,CHOP,5.605,5.9,5.959,594,215,191,7.27,2.0,1.66,3329.37,1268.5,1138.17,10:30,5.4369,6.8263,PULLBACK_LIMIT,,,,MID,LIMIT
WRBY,Long,PULLBACK,T1-STRONG_LONG,93,29.32,26.8399,34.2802,,2.0,2.4801,29.32,4.8,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",27.91,27.67,OPEN_ROAD,EXCITED,0.9,30330582.0,0.4,0.5,0.0,0.0,14.9,27.0,8.0,93.5,HIGH,0.02,27.79,27.67,27.91,0.9,PREMIUM,MID,395,4,268,2.3,C,,,,False,1.7342928571428566,1.43,N/A,,TECH,,STRONG,,0.88,,2.87,0.88,0.432,0.703,0.297,0.378,0.88,1.0924,CHOP,27.67,29.32,29.6132,120,40,36,7.96,2.0,1.68,3320.4,1172.8,1066.08,10:30,26.8399,34.2802,PULLBACK_LIMIT,,,,MID,LIMIT
COMP,Long,BOUNCE,T1-STRONG_LONG,88,11.92,10.9804,13.7992,,2.0,0.9396,11.92,1.9,CLOSE,4,4,"15m,1h,30m,4h",11.69,11.32,OPEN_ROAD,EXCITED,0.68,83299389.0,0.6,1.0,0.0,0.0,19.1,46.0,8.0,725.64,MEGA,0.01,11.395,11.32,11.47,1.3,PREMIUM,PREMIUM,713,8,364,5.6,B,,,,True,0.6989571428571428,1.34,N/A,,REAL_EST,,NEUTRAL,,0.68,,-0.51,0.68,0.432,0.405,0.176,0.068,0.68,1.0418,CHOP,11.32,11.92,12.0392,294,106,94,7.3,2.0,1.66,3328.08,1263.52,1131.68,10:30,10.9804,13.7992,PULLBACK_LIMIT,,,,MID,LIMIT
GLUE,Long,PULLBACK,T1-STRONG_LONG,84,24.52,22.8338,27.8924,,2.0,1.6862,24.52,3.8,APPROACH,1,1,1h,23.6,23.54,HIGHWAY,EXCITED,1.2,939003.0,0.7,0.8,0.0,0.0,9.9,38.0,8.0,54.01,HIGH,0.02,23.82,24.06,23.58,-2.0,PREMIUM,DISCOUNT,948,14,405,99.9,A,,,,False,1.616664285714285,1.04,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,NEUTRAL,0.4,0.52,-1.77,0.52,0.432,0.595,0.135,0.378,0.52,1.0006,CHOP,23.54,24.52,24.7652,141,59,51,6.16,2.0,1.62,3319.14,1446.68,1263.03,10:30,22.8338,27.8924,PULLBACK_LIMIT,,,,MID,LIMIT
