ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
SPCX,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,162.275,1h,log_regression,AT_LOWER,0.061,5,23.64,150.0,weekly,7.56,100.0,lower,160.84,True,False,0.88,0.89,39.05,39.05,5.39,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | near_term_selling_pressure
RKT,EARLY_STRUCTURAL_MATCH,96.8,86.0,86.0,TOO_EARLY_OR_LOOSE,16.225,weekly,log_regression,MID,0.49,8,13.07,13.93,weekly,14.14,100.0,nearest_support_gap_hi,15.55,True,True,4.16,4.34,13.96,13.96,4.47,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.96% from recent high | room back to recent high,too_early_or_loose_for_trigger | early_positive_momentum
PATH,EARLY_STRUCTURAL_MATCH,85.1,64.0,64.0,TOO_EARLY_OR_LOOSE,11.48,daily,log_regression,AT_UPPER,0.816,2,10.53,10.85,weekly,5.49,100.0,upper,11.83,True,False,-3.05,-2.96,14.98,14.98,6.79,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | some bullish shelf support | high-genesis parent shelf | controlled pullback 14.98% from recent high | room back to recent high,mid_high_channel_location | too_early_or_loose_for_trigger | early_positive_momentum
