ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
GPUS,Long,T2-LONG,68,BOUNCE,0.13,0.0709,0.2482,0.1277,0.1321,0.1271,44922630,-1.77,CLOSED_LOSS,-0.04,False,2026-07-21_1720,2026-07-21_0638
VIVK,Long,T3-LONG_WATCH,100,PULLBACK,6.5652,6.0917,7.698,2.58,9.63,2.49,141350683,-60.7,TARGET_HIT,1.49,True,2026-07-21_1720,2026-07-21_0638
ACHR,Long,T3-LONG_WATCH,57,PULLBACK,4.8,4.32,5.97,5.28,5.6,5.22,52284817,10.0,NO_FILL,0.0,False,2026-07-21_1720,2026-07-21_0638
SOFI,Long,T1-STRONG_LONG,93,BOUNCE,17.1525,16.5094,18.4387,17.64,17.665,17.06,86400316,2.84,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
BMNR,Long,T1-STRONG_LONG,100,PULLBACK,16.015,15.2193,17.6064,17.23,17.24,16.69,35861052,7.59,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
IREN,Long,T1-STRONG_LONG,100,BOUNCE,41.63,38.994,46.902,41.29,42.68,40.34,51109685,-0.82,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
KEEL,Long,T1-STRONG_LONG,100,PULLBACK,4.15,3.8315,4.787,4.65,4.73,4.48,26064037,12.05,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
NVDA,Long,T1-STRONG_LONG,90,BREAKOUT,207.495,197.298,227.889,207.29,208.65,204.01,108685562,-0.1,CLOSED,0.8,True,2026-07-21_1720,2026-07-21_0638
INTC,Long,T1-STRONG_LONG,100,PULLBACK,97.06,92.1888,106.8024,105.45,106.34,101.22,105429254,8.64,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
MRVL,Long,T1-STRONG_LONG,100,PULLBACK,193.005,183.0196,217.35,207.96,210.6,202.84,22153457,7.75,TARGET_HIT,1.5,True,2026-07-21_1720,2026-07-21_0638
