ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
BYND,Long,PULLBACK,T3-LONG_WATCH,33,1.1,1.005,1.29,,2.0,0.095,1.1,3.7,APPROACH,1,1,1m,1.0598,1.055,OPEN_ROAD,EXCITED,0.0,1.9,3.1,3.0,81.8,42.0,8.0,447.15,MEGA,0.26,1.045,1.045,1.045,0.0,FLAT,FLAT,10,7,1,2.3,D,,,,
ONDS,Long,BOUNCE,T2-LONG,82,11.06,10.4081,12.3638,11.07,2.0,0.6519,11.06,1.7,CLOSE,1,1,1d,10.87,10.73,HIGHWAY,EXCITED,1191341228.0,1.1,1.4,0.0,20.2,15.0,8.0,463.83,MEGA,0.13,11.07,10.87,11.27,3.7,MID,DISCOUNT,76,9,51,99.9,C,,,,
CGC,Long,BOUNCE,T3-LONG_WATCH,76,1.38,1.31,1.52,,2.0,0.07,1.38,0.4,CLOSE,2,2,"15m,30m",1.375,1.36,OPEN_ROAD,EXCITED,0.0,5.3,2.6,1.0,31.2,28.0,8.0,377.58,MEGA,0.15,1.145,1.14,1.15,0.9,PREMIUM,PREMIUM,42,6,12,2.5,C,,,,
MU,Long,PULLBACK,T1-STRONG_LONG,100,461.11,436.3933,510.5434,,2.0,24.7167,487.48,5.4,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",461.11,449.89,HIGHWAY,EXCITED,17641307243.0,1.0,0.8,0.0,12.9,45.0,8.0,1123.56,MEGA,0.03,456.11,449.38,462.84,3.0,PREMIUM,MID,35184,23,5690,99.9,A,,,,
SLNH,Long,BOUNCE,T3-LONG_WATCH,100,1.47,1.4,2.51,,14.9,0.07,1.47,1.0,CLOSE,2,2,"10m,5m",1.455,1.45,HIGHWAY,EXCITED,4214856.0,3.2,4.6,3.0,67.5,75.0,8.0,78.28,HIGH,0.38,1.37,1.31,1.43,9.2,PREMIUM,PREMIUM,139,17,30,70.7,B,,,,
SOUN,Long,PULLBACK,T1-STRONG_LONG,100,8.22,7.6242,9.6,,2.3,0.5958,8.22,3.3,APPROACH,3,3,"10m,15m,5m",7.95,7.86,HIGHWAY,EXCITED,91191582.0,1.4,1.6,1.0,16.4,39.0,8.0,386.93,MEGA,0.08,7.965,7.85,8.08,2.9,PREMIUM,DISCOUNT,307,5,166,16.8,A,,,,
MSTR,Long,BOUNCE,T1-STRONG_LONG,93,179.36,159.7202,223.8,,2.3,19.6398,179.36,3.0,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",174.0,164.66,HIGHWAY,EXCITED,17752304336.0,1.5,1.2,1.0,31.5,45.0,8.0,314.13,MEGA,0.07,169.45,163.97,174.93,6.7,PREMIUM,MID,17363,7,9293,24.8,A,,,,
USAR,Long,PULLBACK,T1-STRONG_LONG,100,25.41,22.1645,35.58,,3.1,3.2455,25.41,4.8,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",24.18,22.85,HIGHWAY,EXCITED,6742989745.0,2.0,2.3,2.0,45.2,43.0,8.0,169.39,HIGH,0.14,23.515,22.85,24.18,5.8,PREMIUM,MID,3340,9,1620,40.0,A,,,,
TE,Long,PULLBACK,T2-LONG,89,5.02,4.8306,6.15,5.165,6.0,0.1894,5.39,6.9,APPROACH,1,1,1d,5.02,4.98,HIGHWAY,EXCITED,57997240.0,1.7,1.1,0.0,22.6,32.0,8.0,168.14,HIGH,0.15,5.165,5.09,5.24,2.9,PREMIUM,DISCOUNT,183,6,43,14.1,B,,,,
BTBT,Long,BOUNCE,T1-STRONG_LONG,95,1.66,1.51,1.96,,2.0,0.15,1.66,1.5,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",1.635,1.56,OPEN_ROAD,EXCITED,142158723.0,1.5,1.2,0.0,18.4,40.0,8.0,320.37,MEGA,0.08,1.595,1.55,1.64,5.8,PREMIUM,MID,72,4,5,3.1,C,,,,
