ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
NOK,Long,BOUNCE,T1-STRONG_LONG,100,10.46,9.5739,12.2322,10.49,2.0,0.8861,10.46,1.3,CLOSE,3,3,"1h,30m,4h",10.32,9.87,HIGHWAY,EXCITED,4077177225.0,0.2,1.2,5707422.0,1.0,11.3,57.0,8.0,4443.8,MEGA,0.0,10.49,10.33,10.65,3.1,MID,DISCOUNT,549,13,341,99.9,A,,,,
QS,Long,BOUNCE,T1-STRONG_LONG,93,7.66,7.1683,9.67,,4.1,0.4917,7.66,2.1,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",7.5,7.39,HIGHWAY,EXCITED,798266774.0,1.4,3.1,1727440.0,1.0,40.8,25.0,8.0,482.0,MEGA,0.04,7.455,7.41,7.5,1.2,PREMIUM,MID,300,6,249,26.2,A,,,,
APLD,Long,PULLBACK,T1-STRONG_LONG,100,34.73,31.385,41.42,36.91,2.0,3.345,36.73,5.4,APPROACH,6,6,"10m,15m,1d,1h,30m,4h",34.73,32.5,HIGHWAY,EXCITED,18195673077.0,0.2,1.0,1001041.0,1.0,27.2,44.0,8.0,253.82,MEGA,0.02,36.91,36.35,37.47,3.1,DISCOUNT,DISCOUNT,3364,14,1409,8.0,A,,,,
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,75.04,70.4511,85.15,78.875,2.2,4.5889,75.04,1.0,CLOSE,2,2,"1d,4h",74.32,72.63,HIGHWAY,EXCITED,4274455538.0,0.4,1.5,1004067.0,1.0,31.0,48.0,8.0,123.73,HIGH,0.03,78.875,76.46,81.29,6.3,DISCOUNT,DISCOUNT,8011,9,2092,13.5,A,,,,
TRT,Long,PULLBACK,T1-STRONG_LONG,100,11.2578,7.325,19.1234,12.825,2.0,3.9328,11.2578,4.4,APPROACH,6,6,"10m,15m,1d,1h,30m,4h",10.76,8.47,OPEN_ROAD,EXCITED,10740556397.0,0.8,6.4,962855.0,1.0,147.7,110.0,8.0,5.02,LOW,0.19,12.825,13.78,11.87,-13.9,DISCOUNT,DISCOUNT,2518,14,339,5.4,B,,,,
SST,Long,BREAKOUT,T1-STRONG_LONG,100,4.25,3.62,5.51,4.265,2.0,0.63,4.25,0.0,INSIDE,3,3,,,,OPEN_ROAD,EXCITED,,,,,,,,,,NANO,0.49,4.265,3.83,4.7,22.7,MID,DISCOUNT,314,13,273,2.4,C,False,0.3,True,
ARM,Long,BOUNCE,T1-STRONG_LONG,100,220.94,197.68,267.46,,2.0,23.26,220.94,0.8,CLOSE,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",219.25,204.87,HIGHWAY,EXCITED,33256835650.0,0.7,1.7,932553.0,1.0,41.3,49.0,8.0,136.56,HIGH,0.03,213.285,204.61,221.96,8.5,PREMIUM,MID,21737,10,7042,99.9,A,,,,
FCEL,Long,BOUNCE,T2-LONG,85,11.24,10.7961,12.1278,,2.0,0.4439,11.24,0.6,CLOSE,1,1,1m,11.17,11.13,HIGHWAY,EXCITED,419648.0,0.3,2.6,126841.0,3.0,76.1,28.0,8.0,52.82,HIGH,0.02,12.265,12.17,12.36,1.6,DISCOUNT,DISCOUNT,501,13,329,6.1,B,,,,
KOPN,Long,PULLBACK,T1-STRONG_LONG,100,3.595,3.4241,3.9368,,2.0,0.1709,3.79,5.1,APPROACH,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",3.595,3.53,HIGHWAY,EXCITED,68557400.0,0.7,1.5,129032.0,1.0,38.8,44.0,8.0,152.4,HIGH,0.02,3.58,3.53,3.63,2.8,PREMIUM,DISCOUNT,167,10,148,99.9,B,,,,
SHLS,Long,PULLBACK,T1-STRONG_LONG,91,7.06,6.7997,8.33,7.84,4.9,0.2603,7.6,7.1,WAITING,2,2,"1h,30m",7.06,7.01,HIGHWAY,EXCITED,6595291.0,0.1,1.2,52367.0,1.0,16.7,23.0,8.0,166.41,HIGH,0.0,7.84,7.78,7.9,1.5,DISCOUNT,DISCOUNT,323,6,95,9.6,A,,,,
