ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
META,Short,T1-CONVICTION,69,583.0,593.4,546.77,628.42,637.5,611.5,12681742.0,-7.79,STOPPED,-1.0,False,2026-04-09_1306,2026-04-07_0000
PEP,Short,T2-STRONG,74,166.69,167.28,153.82,157.42,158.01,153.25,1725810171.0,5.56,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
AXP,Short,T2-STRONG,72,307.21,309.11,279.73,317.93,318.08,312.18,1881719713.0,-3.49,STOPPED,-1.0,True,2026-04-09_1306,2026-04-07_0000
DIS,Short,T2-STRONG,69,104.79,105.76,95.34,100.11,100.22,97.67,474109910.0,4.47,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
TXN,Short,T3-WATCH,79,201.37,202.39,189.35,215.4,215.93,210.88,1392888181.0,-6.97,STOPPED,-1.0,True,2026-04-09_1306,2026-04-07_0000
MSFT,Short,T3-WATCH,74,390.19,391.79,364.41,373.31,373.38,367.05,0.0,4.33,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
MCD,Short,T3-WATCH,72,324.5,326.12,294.7,309.89,311.1,303.99,0.0,4.5,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
TMUS,Short,T3-WATCH,71,226.5,228.48,180.33,197.39,200.32,196.37,1406174755.0,12.85,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
MA,Short,T3-WATCH,69,516.27,519.61,464.0,505.08,506.67,497.76,0.0,2.17,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
CRM,Short,T3-WATCH,68,192.14,195.18,180.1,170.89,174.29,167.12,0.0,11.06,NO_FILL,0.0,False,2026-04-09_1306,2026-04-07_0000
BA,Short,T3-WATCH,67,209.0,210.82,203.5,220.08,221.29,216.0,0.0,-5.3,STOPPED,-1.0,True,2026-04-09_1306,2026-04-07_0000
PG,Short,T3-WATCH,65,162.19,163.45,158.41,146.74,146.94,143.0,695753423.0,9.53,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
ABT,Short,T3-WATCH,60,109.5,110.1,107.7,102.71,103.32,101.92,0.0,6.2,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
HD,Short,T3-WATCH,57,323.93,328.98,308.78,340.12,340.57,328.44,0.0,-5.0,STOPPED,-1.0,False,2026-04-09_1306,2026-04-07_0000
MU,Long,T4-LONG,75,343.0,337.84,370.02,421.64,423.94,398.44,834280854.0,22.93,NO_FILL,0.0,False,2026-04-09_1306,2026-04-07_0000
GEV,Long,T4-LONG,72,824.01,820.33,917.27,966.94,979.43,940.76,0.0,17.35,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
LRCX,Long,T4-LONG,71,203.01,200.7,219.56,258.44,259.0,247.35,0.0,27.3,NO_FILL,0.0,False,2026-04-09_1306,2026-04-07_0000
PLTR,Long,T4-LONG,70,138.97,137.83,153.12,130.58,139.54,128.47,0.0,-6.04,STOPPED,-1.0,True,2026-04-09_1306,2026-04-07_0000
CVX,Long,T4-LONG,69,192.69,191.79,201.99,190.31,196.67,189.27,1369053581.0,-1.24,STOPPED,-1.0,True,2026-04-09_1306,2026-04-07_0000
IBM,Long,T4-LONG,69,233.22,229.32,250.37,236.84,241.74,233.76,0.0,1.55,NO_FILL,0.0,False,2026-04-09_1306,2026-04-07_0000
GOOGL,Long,T4-LONG,68,290.41,288.08,299.92,318.5,319.54,311.06,0.0,9.67,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
XOM,Long,T4-LONG,68,152.27,151.58,165.77,155.04,159.23,154.31,0.0,1.82,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
GS,Long,T4-LONG,68,792.0,789.36,916.25,905.44,909.4,895.29,0.0,14.32,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
AMAT,Long,T4-LONG,67,326.32,324.49,350.85,397.51,398.74,385.13,25491620.0,21.82,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
GOOG,Long,T4-LONG,66,289.47,287.05,297.1,316.41,317.43,309.47,1983112160.0,9.31,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
C,Long,T4-LONG,65,101.72,101.17,103.37,125.04,125.48,122.33,1229069226.0,22.93,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
MS,Long,T4-LONG,64,159.64,158.76,174.13,178.24,179.0,174.8,0.0,11.65,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
LLY,Long,T4-LONG,62,925.99,921.44,945.8,956.37,963.75,939.29,1488348609.0,3.28,NO_FILL,0.0,True,2026-04-09_1306,2026-04-07_0000
JPM,Long,T4-LONG,61,288.47,284.74,297.98,310.42,311.26,306.11,0.0,7.61,NO_FILL,0.0,False,2026-04-09_1306,2026-04-07_0000
