ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
NRGV,Long,PULLBACK,T2-LONG,73,10.4,4.03,3.8509,5.9,9.6,HIGH,140.63,0.03,1.5,1.0,30.5,32.3,B,46,,1.7375,1.0,1.0,0.062,0.219,3.97,4.03,4.0703,839,558,455,16.2,10.44,8.34,3.8509,5.9,10:30
EQPT,Long,PULLBACK,T1-STRONG_LONG,100,5.2,22.24,20.8647,29.39,9.3,HIGH,125.53,0.03,3.3,1.0,27.0,19.8,B,610,,1.4781,0.938,0.938,0.656,0.219,21.51,22.24,22.4624,154,72,62,12.21,5.2,4.34,20.8647,29.39,10:30
ACVA,Long,PULLBACK,T2-LONG,84,2.7,4.9,4.7433,5.32,5.6,HIGH,155.93,0.02,1.5,0.0,10.3,2.5,C,54,,1.3125,0.625,0.75,0.125,0.0,4.89,4.9,4.949,681,638,486,2.93,2.68,1.8,4.7433,5.32,10:30
OBE,Long,PULLBACK,T2-LONG,97,3.2,11.97,11.5818,13.22,6.3,HIGH,60.36,0.04,2.2,4.0,46.4,3.5,C,156,,1.2625,0.688,0.812,0.25,0.469,11.94,11.97,12.0897,279,257,196,3.57,3.22,2.23,11.5818,13.22,10:30
SMR,Long,PULLBACK,T1-STRONG_LONG,100,4.9,12.72,11.543,18.47,4.5,MEGA,298.64,0.16,1.8,0.0,22.9,45.2,B,566,,1.1844,0.875,0.562,0.656,0.812,11.9,12.72,12.8472,280,84,76,18.4,4.89,4.31,11.543,18.47,10:30
LEU,Long,BOUNCE,T1-STRONG_LONG,100,4.6,219.58,211.2272,258.0,0.6,MED,18.3,0.05,1.8,0.0,21.9,17.5,A,3724,,1.0594,0.812,0.188,0.656,0.562,217.76,219.58,221.7758,15,11,9,6.16,4.6,3.43,211.2272,258.0,10:30
QS,Long,PULLBACK,T1-STRONG_LONG,100,3.9,7.41,6.8288,9.67,4.5,MEGA,482.0,0.2,7.2,1.0,40.8,30.5,A,199,,1.0344,0.75,0.562,0.656,0.938,7.04,7.41,7.4841,473,172,152,12.45,3.89,3.34,6.8288,9.67,10:30
ARRY,Long,PULLBACK,T2-LONG,70,2.0,8.11,7.4205,9.489,4.3,HIGH,139.05,0.03,1.5,0.0,12.0,2.3,C,116,,0.8687,0.281,0.438,0.0,0.219,7.65,8.11,8.1911,435,145,129,8.01,2.0,1.68,7.4205,9.489,10:30
KEEL,Long,PULLBACK,T1-STRONG_LONG,95,2.0,3.24,2.9682,3.7836,4.0,MEGA,576.58,0.09,1.9,0.0,27.7,2.2,C,140,,0.7,0.281,0.375,0.188,0.688,3.06,3.24,3.2724,1089,367,328,7.88,2.0,1.68,2.9682,3.7836,10:30
HELE,Long,PULLBACK,T1-STRONG_LONG,100,2.0,22.59,18.69,30.39,5.2,MED,22.65,0.06,3.6,2.0,39.6,3.3,C,378,,0.6656,0.281,0.688,0.656,0.625,19.99,22.59,22.8159,76,25,24,8.0,2.0,1.84,18.69,30.39,10:30
PAPL,Long,PULLBACK,T1-STRONG_LONG,100,2.0,0.807,0.4971,1.4268,7.2,MED,16.27,7.06,19.7,1.0,97.1,9.8,B,22,,0.6469,0.281,0.875,0.656,1.0,0.6004,0.807,0.827,968,322,303,8.0,2.0,1.82,0.4971,1.4268,10:30
SEI,Long,PULLBACK,T1-STRONG_LONG,100,2.0,69.48,63.0403,82.3594,3.4,HIGH,50.23,0.03,1.5,0.0,13.9,99.9,A,2953,,0.6344,0.281,0.312,0.656,0.219,64.99,69.48,70.1748,51,15,14,8.91,2.0,1.71,63.0403,82.3594,10:30
APLD,Long,PULLBACK,T1-STRONG_LONG,100,2.0,36.35,31.385,46.28,4.5,MEGA,253.82,0.16,2.1,1.0,23.2,9.2,A,1351,,0.5906,0.281,0.562,0.656,0.812,32.5,36.35,36.7135,89,20,18,12.36,2.0,1.8,31.385,46.28,10:30
SHLS,Long,BOUNCE,T1-STRONG_LONG,100,2.0,7.78,7.275,8.79,2.3,HIGH,166.41,0.04,2.0,0.0,16.7,7.1,B,129,,0.5656,0.281,0.25,0.656,0.469,7.5,7.78,7.8578,444,198,171,5.73,2.0,1.6,7.275,8.79,10:30
HRI,Long,BOUNCE,T2-LONG,100,2.0,121.46,117.1469,130.0862,0.2,MED,28.97,0.03,2.9,1.0,20.0,3.9,C,5072,,0.5594,0.281,0.062,0.656,0.219,120.77,121.46,122.6746,27,23,18,2.57,2.0,1.34,117.1469,130.0862,10:30
NOK,Long,BOUNCE,T1-STRONG_LONG,100,2.0,10.33,9.5739,11.8422,0.1,MEGA,4443.8,0.03,2.0,1.0,10.9,99.9,A,325,,0.5406,0.281,0.0,0.656,0.219,9.87,10.33,10.4333,337,132,116,6.66,2.0,1.64,9.5739,11.8422,10:30
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,2.0,76.46,70.4511,88.4778,0.4,HIGH,123.73,0.16,2.5,2.0,29.6,11.4,A,2092,,0.4594,0.281,0.125,0.656,0.812,72.63,76.46,77.2246,45,16,14,7.27,2.0,1.66,70.4511,88.4778,10:30
