ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
TRI,Long,BOUNCE,T2-LONG,61,81.01,74.3117,94.4066,,2.0,6.6983,,81.01,2.6,CLOSE,2,2,OPEN_ROAD,EXCITED,1.06,,,HIGH,0.01,80.35,80.98,79.72,-1.6,PREMIUM,DISCOUNT,1301,1,412,4.7,D,"1d,4h",78.925,76.61,256350445.0,0.9,0.9,0.0,1.0,8.7,28.0,8.0,127.4,False,3.143235714285715,2.13,N/A,,0.5,0.375,0.25,0.0,0.125,0.5,0.925,HOSTILE,76.61,81.01,81.8201,43,14,13,7.74,2.0,1.68,3294.23,1134.14,1063.66,10:30,74.3117,94.4066,PULLBACK_LIMIT,,,,MID,LIMIT
INTC,Long,PULLBACK,T1-STRONG_LONG,94,132.87,121.444,155.722,135.69,2.0,11.426,,132.87,3.7,APPROACH,1,1,HIGHWAY,EXCITED,1.83,,,MEGA,0.02,135.69,131.65,139.73,6.1,DISCOUNT,DISCOUNT,20606,26,4646,99.9,A,1d,127.9,125.2,63154770018.0,0.9,0.9,1036943.0,0.0,12.8,65.0,8.0,5016.55,False,11.387,1.0,N/A,,0.5,0.375,0.75,0.5,0.5,0.5,0.85,HOSTILE,125.2,132.87,134.1987,26,8,7,8.13,2.0,1.69,3255.2,1062.96,939.39,10:30,121.444,155.722,PULLBACK_LIMIT,,,,MID,LIMIT
VSTS,Long,PULLBACK,T1-STRONG_LONG,100,13.74,12.804,15.612,,2.0,0.936,,13.74,3.1,APPROACH,3,3,HIGHWAY,EXCITED,0.94,,,HIGH,0.01,13.545,13.49,13.6,0.8,PREMIUM,DISCOUNT,902,10,79,99.9,A,"1h,30m,4h",13.31,13.2,5614573.0,0.9,0.9,0.0,0.0,10.7,36.0,8.0,91.31,True,0.5383571428571428,1.74,N/A,,0.5,0.375,0.5,0.875,0.125,0.5,0.7375,HOSTILE,13.2,13.74,13.8774,252,106,93,6.09,2.0,1.62,3326.4,1456.44,1290.6,10:30,12.804,15.612,PULLBACK_LIMIT,,,,MID,LIMIT
