ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
AGI,18.3,3,Short#1;Analyst#5;Consumption#16,"LONG,NA,SHORT",SHORT,84.0,1,7.3,1.8,9.0,13.4,1.138,COLD
CTSH,15.6,3,FAM#3;Analyst#5;Consumption#133,"LONG,NA,SHORT",SHORT,92.0,3,47.0,0.6,6.9,10.2,0.91,STRONG
LEGN,14.8,2,FAM#1;Consumption#275,"LONG,SHORT",SHORT,97.0,1,138.0,0.4,12.0,12.4,0.85,HOT
AAOI,14.8,2,Consumption#1;Analyst#5,"LONG,NA",LONG,100.0,1,3.0,7.0,0.0,9.7,1.09,STRONG
ABSI,14.6,3,Consumption#3;Analyst#5;FAM#219,"LONG,NA",LONG,100.0,3,75.7,4.9,0.0,7.5,1.15,HOT
ABVX,13.9,3,Consumption#4;Analyst#5;FAM#137,"LONG,NA",LONG,100.0,4,48.7,4.5,0.0,7.2,1.15,HOT
KEEL,13.9,4,Analyst#5;Momentum#9;Consumption#261;FAM#361,"LONG,NA",LONG,100.0,5,159.0,4.1,0.0,6.7,1.054,NEUTRAL
TNON,13.4,3,Momentum#2;FAM#351;Consumption#476,LONG,LONG,100.0,2,276.3,7.3,0.0,7.3,1.09,STRONG
GETY,11.6,2,Momentum#1;Consumption#199,LONG,LONG,100.0,1,100.0,9.5,0.0,9.5,0.874,COLD
ACMR,11.3,3,Analyst#5;Consumption#8;FAM#266,"LONG,NA",LONG,100.0,5,93.0,3.2,0.0,5.9,1.138,HOT
CRMT,10.8,3,Momentum#3;Consumption#126;FAM#355,LONG,LONG,100.0,3,161.3,6.5,0.0,6.5,0.994,NEUTRAL
GFI,10.7,3,Short#2;FAM#152;Consumption#200,"LONG,SHORT",SHORT,81.0,2,118.0,1.5,6.4,7.8,1.138,COLD
IT,10.6,3,Analyst#5;FAM#22;Consumption#251,"LONG,NA",LONG,100.0,5,92.7,3.0,0.0,5.7,1.114,STRONG
IQV,10.3,3,Analyst#5;FAM#26;Consumption#248,"LONG,NA",LONG,100.0,5,93.0,2.8,0.0,5.5,1.114,STRONG
SAGT,10.0,3,Momentum#4;FAM#352;Consumption#421,LONG,LONG,100.0,4,259.0,5.5,0.0,5.5,1.09,STRONG
UUUU,9.9,3,Analyst#5;FAM#16;Consumption#507,"LONG,NA",LONG,100.0,5,176.0,3.3,0.0,6.0,0.982,NEUTRAL
INFY,9.8,2,FAM#4;Consumption#239,LONG,LONG,100.0,4,121.5,6.5,0.0,6.5,1.09,STRONG
ADSK,9.8,3,Analyst#5;FAM#8;Consumption#12,"LONG,NA,SHORT",SHORT,68.0,5,8.3,2.0,4.2,8.9,0.91,STRONG
INSM,9.5,3,Analyst#5;FAM#45;Consumption#242,"LONG,NA",LONG,100.0,5,97.3,2.2,0.0,4.9,1.15,HOT
CDT,9.2,3,Momentum#7;Consumption#98;FAM#356,LONG,LONG,100.0,7,153.7,4.7,0.0,4.7,1.15,HOT
ARWR,8.9,3,Analyst#5;Consumption#37;FAM#253,"LONG,NA",LONG,100.0,5,98.3,1.9,0.0,4.6,1.15,HOT
SKYQ,8.9,3,Momentum#5;FAM#354;Consumption#438,LONG,LONG,100.0,5,265.7,5.0,0.0,5.0,1.066,NEUTRAL
STEP,8.4,2,FAM#5;Consumption#456,LONG,LONG,100.0,5,230.5,5.7,0.0,5.7,1.054,NEUTRAL
KTOS,8.4,3,Analyst#5;FAM#77;Consumption#269,"LONG,NA",LONG,100.0,5,117.0,1.8,0.0,4.5,1.114,STRONG
PLTR,8.2,3,Analyst#5;FAM#67;Consumption#376,"LONG,NA",LONG,100.0,5,149.3,1.8,0.0,4.5,1.078,STRONG
COIN,8.1,3,Analyst#5;Consumption#116;FAM#117,"LONG,NA",LONG,100.0,5,79.3,1.8,0.0,4.4,1.09,STRONG
ECX,8.1,3,Momentum#6;Consumption#153;FAM#362,LONG,LONG,100.0,6,173.7,4.9,0.0,4.9,0.994,NEUTRAL
FIG,7.8,3,Analyst#5;FAM#131;Consumption#174,"LONG,NA",LONG,100.0,5,103.3,1.6,0.0,4.3,1.09,STRONG
NOW,7.7,3,Analyst#5;FAM#114;Consumption#334,"LONG,NA",LONG,100.0,5,151.0,1.5,0.0,4.2,1.09,STRONG
INTC,7.7,3,Analyst#5;FAM#176;Consumption#243,"LONG,NA",LONG,100.0,5,141.3,1.4,0.0,4.0,1.138,HOT
FATE,7.7,3,Analyst#5;Consumption#171;FAM#252,"LONG,NA",LONG,100.0,5,142.7,1.3,0.0,4.0,1.15,HOT
ACN,7.7,2,Analyst#5;Consumption#9,"LONG,NA",LONG,100.0,5,7.0,2.3,0.0,5.0,1.09,STRONG
THO,7.6,3,Analyst#5;FAM#133;Consumption#472,"LONG,NA",LONG,100.0,5,203.3,1.4,0.0,4.0,1.114,STRONG
MRNA,7.6,3,Analyst#5;FAM#194;Consumption#311,"LONG,NA",LONG,100.0,5,170.0,1.3,0.0,3.9,1.15,HOT
LRCX,7.6,3,Analyst#5;FAM#197;Consumption#285,"LONG,NA",LONG,100.0,5,162.3,1.3,0.0,4.0,1.138,HOT
