ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
WEN,2026-06-23 16:36,Stephens & Co.,Equal-Weight,Equal-Weight,reit,Maintains,8.0,8.0,NEUTRAL,1
RKT,2026-06-16 10:09,BTIG,Buy,Neutral,down,,0.0,0.0,BEAR,4
RUN,2026-06-16 10:55,UBS,Buy,Buy,main,Lowers,20.0,23.0,BEAR,2
RUN,2026-06-11 12:43,GLJ Research,Sell,Sell,reit,Maintains,4.63,4.63,NEUTRAL,1
ABSI,2026-06-25 12:04,HC Wainwright & Co.,Buy,Buy,main,Raises,16.0,8.0,BULL,2
ABSI,2026-06-24 19:58,Needham,Buy,Buy,reit,Raises,11.0,7.0,BULL,2
ABSI,2026-06-24 17:24,BTIG,Buy,Buy,main,Raises,13.0,9.0,BULL,2
ABSI,2026-06-15 15:12,Guggenheim,Buy,Buy,main,Raises,15.0,10.0,BULL,2
GLW,2026-06-22 16:59,Truist Securities,Hold,Hold,main,Raises,205.0,149.0,BULL,2
COUR,2026-06-24 14:10,RBC Capital,Outperform,Outperform,reit,Maintains,7.0,7.0,NEUTRAL,1
COUR,2026-06-24 11:14,Needham,Buy,Buy,reit,Maintains,10.0,10.0,NEUTRAL,1
LYFT,2026-06-24 17:40,Tigress Financial,Buy,Buy,main,Maintains,28.0,28.0,NEUTRAL,1
BLZE,2026-06-24 18:50,Lake Street,Buy,Buy,main,Raises,14.0,11.0,BULL,2
BLZE,2026-06-24 14:10,B. Riley Securities,Buy,Buy,main,Raises,16.0,7.0,BULL,2
BLZE,2026-06-24 12:56,Citizens,Market Outperform,Market Outperform,main,Raises,14.0,8.0,BULL,2
BLZE,2026-06-24 11:03,Needham,Buy,Buy,main,Raises,14.0,8.5,BULL,2
BLZE,2026-06-23 16:25,Craig-Hallum,Hold,Buy,up,Raises,16.0,6.5,BULL,4
DFTX,2026-06-24 18:17,Jones Trading,Buy,Buy,main,Raises,74.0,61.0,BULL,2
DFTX,2026-06-23 11:59,Baird,Outperform,Outperform,main,Raises,57.0,37.0,BULL,2
DFTX,2026-06-23 10:42,Needham,Buy,Buy,main,Raises,50.0,38.0,BULL,2
DFTX,2026-06-22 17:58,Leerink Partners,Outperform,Outperform,main,Raises,52.0,30.0,BULL,2
DFTX,2026-06-22 17:56,Oppenheimer,Outperform,Outperform,main,Raises,60.0,40.0,BULL,2
DFTX,2026-06-16 15:48,Canaccord Genuity,Buy,Buy,main,Maintains,38.0,38.0,NEUTRAL,1
SVC,2026-06-17 17:50,B. Riley Securities,Buy,Buy,main,Raises,2.5,2.0,BULL,2
BTDR,2026-06-24 13:12,Citizens,,Market Outperform,init,Announces,35.0,0.0,NEUTRAL,1
DASH,2026-06-23 12:43,Guggenheim,Buy,Buy,reit,Maintains,255.0,255.0,NEUTRAL,1
DASH,2026-06-12 12:20,BTIG,Buy,Buy,main,Lowers,225.0,280.0,BEAR,2
BKD,2026-06-15 15:37,Compass Point,,Buy,init,Announces,22.0,0.0,BULL,3
KLAR,2026-06-23 14:42,BMO Capital,Market Perform,Market Perform,main,Raises,19.0,17.0,BULL,2
GTLB,2026-06-12 20:20,Macquarie,Neutral,Neutral,main,Maintains,28.0,28.0,NEUTRAL,1
GTLB,2026-06-11 09:39,BTIG,Buy,Buy,reit,Maintains,36.0,36.0,NEUTRAL,1
AFRM,2026-06-25 14:00,Susquehanna,Positive,Positive,main,Raises,105.0,100.0,BULL,2
ADPT,2026-06-17 15:21,BTIG,Buy,Buy,reit,Maintains,22.0,22.0,NEUTRAL,1
W,2026-06-23 14:00,Evercore ISI Group,Outperform,Outperform,main,Raises,100.0,80.0,BULL,2
GDDY,2026-06-18 18:55,JP Morgan,Overweight,Overweight,main,Lowers,124.0,154.0,BEAR,2
VRNS,2026-06-24 13:23,Wedbush,Outperform,Outperform,reit,Maintains,37.0,37.0,NEUTRAL,1
VRNS,2026-06-24 12:34,Stephens & Co.,Equal-Weight,Overweight,up,Raises,45.0,33.0,BULL,4
VRNS,2026-06-23 10:40,Needham,Buy,Buy,main,Raises,40.0,36.0,BULL,2
GH,2026-06-24 14:36,Barclays,Overweight,Overweight,main,Raises,150.0,120.0,BULL,2
GH,2026-06-11 14:12,RBC Capital,,Outperform,init,Announces,185.0,0.0,BULL,3
BBBY,2026-06-23 12:08,Wedbush,Outperform,Outperform,main,Raises,10.0,8.0,BULL,2
BWIN,2026-06-23 12:13,BMO Capital,Market Perform,Market Perform,main,Raises,25.0,23.0,BULL,2
BWIN,2026-06-22 12:56,JP Morgan,Neutral,Overweight,up,Raises,28.0,25.0,BULL,4
NTRA,2026-06-24 17:27,BTIG,Buy,Buy,main,Raises,275.0,270.0,BULL,2
NTRA,2026-06-24 14:42,Barclays,Overweight,Overweight,main,Lowers,260.0,280.0,BEAR,2
NTRA,2026-06-23 20:00,BTIG,Buy,Buy,main,Raises,270.0,250.0,BULL,2
RZLT,2026-06-15 14:48,Guggenheim,Buy,Buy,main,Raises,11.0,6.0,BULL,2
ALKT,2026-06-22 13:25,JP Morgan,Overweight,Overweight,main,Lowers,19.0,20.0,BEAR,2
FTRE,2026-06-24 09:23,Barclays,Equal-Weight,Equal-Weight,main,Raises,18.0,16.0,BULL,2
TVTX,2026-06-25 14:13,Guggenheim,Buy,Buy,main,Raises,65.0,56.0,BULL,2
TVTX,2026-06-22 12:54,Wedbush,Outperform,Outperform,main,Raises,61.0,55.0,BULL,2
TVTX,2026-06-18 15:26,Evercore ISI Group,Outperform,Outperform,main,Raises,60.0,52.0,BULL,2
TVTX,2026-06-15 17:46,Citigroup,Buy,Buy,main,Raises,70.0,62.0,BULL,2
TVTX,2026-06-12 13:39,Wells Fargo,Overweight,Overweight,main,Raises,65.0,50.0,BULL,2
ICLR,2026-06-25 15:59,Barclays,Equal-Weight,Equal-Weight,main,Raises,175.0,160.0,BULL,2
ICLR,2026-06-25 14:51,RBC Capital,Sector Perform,Outperform,up,Raises,185.0,126.0,BULL,4
ICLR,2026-06-25 14:45,TD Cowen,Buy,Buy,main,Raises,197.0,164.0,BULL,2
ICLR,2026-06-25 14:41,JP Morgan,Neutral,Neutral,main,Raises,155.0,130.0,BULL,2
ICLR,2026-06-25 13:53,Evercore ISI Group,Outperform,Outperform,main,Raises,180.0,150.0,BULL,2
ICLR,2026-06-25 11:45,B of A Securities,Underperform,Underperform,main,Raises,150.0,125.0,BULL,2
ICLR,2026-06-25 11:11,Baird,Outperform,Outperform,main,Raises,186.0,168.0,BULL,2
ICLR,2026-06-24 14:38,Barclays,Equal-Weight,Equal-Weight,main,Raises,160.0,150.0,BULL,2
SNDX,2026-06-12 12:14,HC Wainwright & Co.,Buy,Buy,reit,Maintains,40.0,40.0,NEUTRAL,1
SPRY,2026-06-25 16:13,Leerink Partners,Outperform,Outperform,main,Lowers,24.0,25.0,BEAR,2
