ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
FSLR,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,249.84,1h,log_regression,MID,0.445,34,211.03,217.99,weekly,12.75,99.06,nearest_support_gap_hi,249.6,True,True,0.1,0.1,28.46,28.46,2.9,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,
WTTR,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,20.75,daily,log_regression,MID,0.493,16,18.5,20.0,daily,3.61,100.0,nearest_support_gap_hi,20.54,True,True,1.01,1.02,19.47,19.47,4.58,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.47% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,early_positive_momentum
SSRM,EARLY_STRUCTURAL_MATCH,100.0,89.0,89.0,TOO_EARLY_OR_LOOSE,31.175,weekly,log_regression,AT_LOWER,0.183,24,22.01,22.75,weekly,27.02,100.0,nearest_support_gap_hi,30.2,True,True,3.13,3.23,17.13,17.13,2.77,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.13% from recent high | room back to recent high,too_early_or_loose_for_trigger | early_positive_momentum
