ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
VRAX,Long,T2-LONG,67,PULLBACK,0.2004,0.1659,0.29,0.202,0.205,0.1649,4805803.0,0.8,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
VRAX,Long,T3-LONG_WATCH,50,FRESH_HOLD,0.2148,0.2126,0.29,0.202,0.205,0.1649,4805803.0,-5.96,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
GV,Short,T3-SHORT,80,RESISTANCE,0.2681,0.2694,0.2324,0.2359,0.2686,0.2,5944526.0,12.01,TARGET_HIT,27.46,2026-04-01_1143,2026-04-01_0509
BFRG,Short,T3-SHORT,80,RESISTANCE,1.81,1.817,1.67,1.56,1.72,1.36,14683781.0,13.81,TARGET_HIT,20.0,2026-04-01_1143,2026-04-01_0509
BFRG,Long,T3-LONG_WATCH,66,FRESH_HOLD,1.67,1.666,1.81,1.56,1.72,1.36,14683781.0,-6.59,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
MGN,Short,T3-SHORT,80,RESISTANCE,0.1777,0.1788,0.1699,0.1624,0.1732,0.1484,3383046.0,8.61,TARGET_HIT,7.09,2026-04-01_1143,2026-04-01_0509
MGN,Long,T3-LONG_WATCH,59,PULLBACK,0.167,0.1651,0.1777,0.1624,0.1732,0.1484,3383046.0,-2.75,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
ELAB,Short,T2-SHORT,80,RESISTANCE,6.72,6.84,5.7,7.11,8.1,6.5589,10551731.0,-5.8,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
ELAB,Long,T3-LONG_WATCH,56,PULLBACK,5.7,5.6801,6.72,7.055,8.1,6.5589,10554104.0,23.77,TARGET_HIT,51.26,2026-04-01_1143,2026-04-01_0509
AIIO,Short,T5-SHORT,28,RESISTANCE,0.12,0.1203,0.1048,0.0891,0.0924,0.079,3884304.0,25.75,TARGET_HIT,50.67,2026-04-01_1143,2026-04-01_0509
OXBR,Short,T3-SHORT,80,RESISTANCE,1.2,1.2029,1.045,1.1,1.16,0.99,602992.0,8.33,TARGET_HIT,53.45,2026-04-01_1143,2026-04-01_0509
PTON,Long,T1-STRONG_LONG,98,PULLBACK,4.04,4.02,4.37,4.39,4.49,4.32,8358753.0,8.66,TARGET_HIT,16.5,2026-04-01_1143,2026-04-01_0509
PTON,Short,T2-SHORT,80,RESISTANCE,4.37,4.38,4.04,4.39,4.49,4.32,8358753.0,-0.46,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
SPCE,Short,T3-SHORT,80,RESISTANCE,2.5,2.51,2.42,2.38,2.58,2.38,3947512.0,4.8,STOPPED,-1.0,2026-04-01_1143,2026-04-01_0509
