ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,news
BDRX,Short,RESISTANCE,T3-SHORT,80,1.095,1.1,0.87,45.0,0.005,1.06,3.3,APPROACH,1,1,1m,1.1,1.095,HIGHWAY,604722,19.7,6.6,1,124.8,46,8,,UNKNOWN,,
AIXI,Long,PULLBACK,T3-LONG_WATCH,56,0.1048,0.1041,0.1283,33.6,0.0007,0.1112,5.8,APPROACH,1,1,1m,0.1048,0.1041,HIGHWAY,0,4.1,5.3,2,67.7,38,8,,UNKNOWN,,"-DELISTING_RISK [Dec 23 22:15], +CONTRACT [Oct 31 13:45], +PATENT [Mar 31 13:25]"
VSA,Long,PULLBACK,T1-STRONG_LONG,96,0.8455,0.8409,0.8763,6.7,0.0046,0.8745,3.3,APPROACH,5,5,"10m,15m,1h,30m,4h",0.8455,0.8409,HIGHWAY,0,4.2,1.5,2,505.9,26,8,,UNKNOWN,,
VSA,Short,RESISTANCE,T3-SHORT,80,0.8763,0.885,0.8455,3.5,0.0087,0.8745,0.2,CLOSE,1,1,1m,0.885,0.8763,HIGHWAY,847065,4.2,1.5,2,505.9,26,8,,UNKNOWN,,
RDW,Short,RESISTANCE,T3-SHORT,80,9.98,10.055,8.75,16.4,0.075,9.81,1.7,CLOSE,1,1,30m,10.055,9.98,HIGHWAY,14105931,1.0,0.9,0,33.2,17,8,,UNKNOWN,,
WTI,Short,RESISTANCE,T5-SHORT,25,3.5907,3.5984,3.16,55.9,0.0077,3.175,13.1,WAITING,1,1,1m,3.5984,3.5907,OPEN_ROAD,29358,0.5,0.9,0,27.6,39,8,,UNKNOWN,,
ANNA,Short,RESISTANCE,T5-SHORT,20,9.11,9.17,6.85,37.7,0.06,7.97,14.3,WAITING,1,1,5m,9.17,9.11,OPEN_ROAD,660834,0.5,0.4,0,63.7,64,8,,UNKNOWN,,
PROP,Short,RESISTANCE,T2-SHORT,80,2.4,2.405,2.38,4.0,0.005,2.395,0.2,CLOSE,1,1,1m,2.405,2.4,HIGHWAY,0,0.7,1.5,1,45.7,47,8,,UNKNOWN,,
ALTS,Short,RESISTANCE,T3-SHORT,80,1.23,1.235,1.1695,12.1,0.005,1.17,5.1,APPROACH,1,1,1h,1.235,1.23,HIGHWAY,1714988,0.3,0.9,1,30.0,47,8,,UNKNOWN,,
AREC,Short,RESISTANCE,T5-SHORT,40,2.57,2.58,2.485,8.5,0.01,2.495,3.0,APPROACH,1,1,1h,2.58,2.57,OPEN_ROAD,87358,0.6,0.9,0,15.5,46,8,,UNKNOWN,,
