ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AA,49.87,BASING,0.0,0,16,16,58.35,55.715,264,daily,11.72,31 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,19,49.87,49.1219,58.35,133,17.0,11.34,False
AAL,13.92,BASING,0.0,0,18,18,14.83,14.772,6,weekly,6.12,36 bear-built-above · rel-vol 1.3x · regime FAVORABLE,False,18,13.92,13.7112,14.83,478,6.54,4.36,False
AAOI,121.02,BASING,0.0,0,7,7,135.9685,135.85,12,30m,12.25,2 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,7,121.02,119.2047,135.9685,55,12.35,8.23,False
AAOZ,10.66,BASING,0.0,0,20,20,12.07,11.98,9,4h,12.38,26 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,20,10.66,10.5001,12.07,625,13.23,8.82,False
AAP,44.3712,BASING,0.0,0,3,3,56.18,46.85,933,daily,5.59,1 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,3,44.3712,43.7056,56.18,150,26.61,17.74,False
AAPL,310.59,BASING,0.0,0,20,20,338.19,333.43,476,daily,7.35,30 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,21,310.59,305.9311,338.19,21,8.89,5.92,False
AAUC,23.58,BASING,0.0,0,18,18,24.06,23.87,19,daily,1.23,2 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,21,23.58,23.2263,24.06,282,2.04,1.36,False
ABCL,12.3,BASING,0.0,0,20,20,12.3926,12.39,1,45m,0.73,27 bear-built-above · rel-vol 0.5x · regime FAVORABLE,True,20,12.3,12.1155,12.3926,542,0.75,0.5,False
ABNB,187.28,BASING,0.0,0,17,17,190.17,190.05,12,10m,1.48,22 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,17,187.28,184.4708,190.17,35,1.54,1.03,False
ABT,114.05,BASING,0.0,0,20,20,121.76,121.37,40,weekly,6.42,25 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,20,114.05,112.3392,121.76,58,6.76,4.51,False
ACAD,29.61,BASING,0.0,0,20,20,29.66,29.65,2,45m,0.14,27 bear-built-above · rel-vol 0.7x · regime FAVORABLE,True,22,29.61,29.1658,29.66,225,0.17,0.11,False
ACHC,30.5,BASING,0.0,0,20,20,40.26,32.5,776,daily,6.56,17 bear-built-above · rel-vol 1.1x · regime FAVORABLE,True,20,30.5,30.0425,40.26,218,32.0,21.33,False
