ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
ATPC,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,6.17,5.86,6.8,,324,2.06,FAVORABLE,6.165,MARKET,2026-05-28,2026-05-28T07:18:37.804583
CIFR,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,24.2,21.86,25.41,,42,0.52,FAVORABLE,24.2,MARKET,2026-05-28,2026-05-28T07:19:14.820815
RCAT,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,13.12,12.47,13.78,,152,1.0,FAVORABLE,13.125,MARKET,2026-05-28,2026-05-28T07:22:12.923684
UMAC,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,28.78,27.34,30.22,,69,1.0,FAVORABLE,28.78,MARKET,2026-05-28,2026-05-28T07:23:09.118039
POET,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,12.83,12.19,13.47,,155,1.0,FAVORABLE,12.83,MARKET,2026-05-28,2026-05-28T07:25:38.677486
PLAB,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,35.51,33.38,38.72,40.51,47,1.51,FAVORABLE,35.505,MARKET,2026-05-28,2026-05-28T07:25:36.012041
SPRC,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,13.6,12.92,14.28,,147,1.0,FAVORABLE,13.6,MARKET,2026-05-28,2026-05-28T07:25:53.853879
POWI,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,82.79,78.65,91.98,,24,2.22,FAVORABLE,82.79,MARKET,2026-05-28,2026-05-28T07:21:53.089145
IREN,LONG,CONVICTION,97.2,BULL_BOUNCE_PENDING,63.97,59.48,67.17,,22,0.71,FAVORABLE,63.9698,MARKET,2026-05-28,2026-05-28T07:20:48.483095
HLIT,LONG,CONVICTION,95.2,BULL_BOUNCE_PENDING,16.53,15.7,18.91,18.88,120,2.88,FAVORABLE,16.53,MARKET,2026-05-28,2026-05-28T07:20:32.670718
WGRX,LONG,CONVICTION,93.8,BULL_BOUNCE_PENDING,3.65,3.47,3.93,,547,1.53,FAVORABLE,3.65,MARKET,2026-05-28,2026-05-28T07:23:23.391232
APPS,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,7.23,6.87,7.59,,276,1.0,FAVORABLE,7.2299,MARKET,2026-05-28,2026-05-28T07:18:25.411585
DPRO,LONG,CONVICTION,90.0,CHANNEL_GAP_BREAKOUT_LONG,7.81,7.42,8.2,,256,1.0,FAVORABLE,7.81,MARKET,2026-05-28,2026-05-28T07:24:21.217546
QTTB,LONG,CONVICTION,89.6,BULL_BOUNCE_PENDING,12.21,10.43,12.82,,56,0.34,FAVORABLE,10.09,STOP,2026-05-28,2026-05-28T07:22:12.646554
DLTR,LONG,CONVICTION,89.0,BULL_BOUNCE_CONFIRMED,112.35,95.39,117.96,,5,0.33,FAVORABLE,112.3469,LIMIT,2026-05-28,2026-05-28T07:19:58.158769
FPS,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,46.25,44.79,48.98,51.46,68,1.88,FAVORABLE,47.1041,LIMIT,2026-05-28,2026-05-28T07:24:37.324469
CRSR,LONG,CONVICTION,87.2,BULL_BOUNCE_PENDING,11.86,10.96,12.45,,111,0.66,FAVORABLE,12.1,LIMIT,2026-05-28,2026-05-28T07:19:39.134151
VSCO,LONG,CONVICTION,87.2,BULL_BOUNCE_PENDING,57.69,55.64,61.51,64.63,48,1.87,FAVORABLE,58.865,LIMIT,2026-05-28,2026-05-28T07:23:22.882608
FQVLF,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,27.92,26.67,29.32,,79,1.11,FAVORABLE,28.49,LIMIT,2026-05-28,2026-05-28T07:20:15.839298
RDW,LONG,CONVICTION,86.9,BULL_BOUNCE_PENDING,24.0,21.93,25.2,,48,0.58,FAVORABLE,24.4301,LIMIT,2026-05-28,2026-05-28T07:22:19.830723
DIOD,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,108.43,101.43,113.85,,14,0.77,FAVORABLE,105.7,STOP,2026-05-28,2026-05-28T07:19:56.943055
DDS,LONG,CONVICTION,86.0,CHANNEL_GAP_BREAKOUT_LONG,596.36,591.05,608.57,615.36,18,2.3,FAVORABLE,596.36,LIMIT,2026-05-28,2026-05-28T07:19:52.080664
LUNR,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,41.3,38.07,43.37,,30,0.64,FAVORABLE,41.77,LIMIT,2026-05-28,2026-05-28T07:21:08.111001
PL,LONG,CONVICTION,85.4,BULL_BOUNCE_PENDING,50.33,44.43,52.85,,16,0.43,FAVORABLE,48.34,STOP,2026-05-28,2026-05-28T07:21:49.363394
UAVS,LONG,CONVICTION,85.4,BULL_BOUNCE_CONFIRMED,1.2,1.01,1.25,,555,0.33,FAVORABLE,1.195,LIMIT,2026-05-28,2026-05-28T07:23:04.391982
APP,LONG,CONVICTION,85.0,CHANNEL_GAP_BREAKOUT_LONG,588.97,571.3,670.32,,5,4.6,FAVORABLE,588.97,LIMIT,2026-05-28,2026-05-28T07:18:22.093767
ASTS,LONG,CONVICTION,85.0,CHANNEL_GAP_BREAKOUT_LONG,124.29,122.07,130.75,,45,2.91,FAVORABLE,124.29,LIMIT,2026-05-28,2026-05-28T07:18:37.646056
DXYZ,LONG,CONVICTION,83.7,BULL_BOUNCE_PENDING,52.08,46.99,60.7,,19,1.69,FAVORABLE,53.145,LIMIT,2026-05-28,2026-05-28T07:24:22.764006
MX,LONG,CONVICTION,83.7,BULL_BOUNCE_CONFIRMED,6.02,5.71,6.57,6.85,323,1.78,FAVORABLE,6.02,LIMIT,2026-05-28,2026-05-28T07:25:16.732703
HZO,LONG,CONVICTION,83.1,BULL_BOUNCE_PENDING,34.89,32.53,36.63,,42,0.74,FAVORABLE,34.55,STOP,2026-05-28,2026-05-28T07:20:37.106081
AEVA,LONG,CONVICTION,83.0,CHANNEL_GAP_BREAKOUT_LONG,27.07,26.96,29.43,27.63,865,20.38,FAVORABLE,27.075,LIMIT,2026-05-28,2026-05-28T07:17:53.580407
PDYN,LONG,CONVICTION,83.0,CHANNEL_GAP_BREAKOUT_LONG,8.38,7.96,8.79,,240,1.01,FAVORABLE,8.375,LIMIT,2026-05-28,2026-05-28T07:21:44.539222
APGE,LONG,CONVICTION,83.0,BULL_BOUNCE_PENDING,77.32,67.72,81.19,,10,0.4,FAVORABLE,77.835,LIMIT,2026-05-28,2026-05-28T07:23:43.606658
OUST,LONG,CONVICTION,83.0,BULL_BOUNCE_PENDING,40.27,36.84,45.59,,29,1.55,FAVORABLE,41.095,LIMIT,2026-05-28,2026-05-28T07:25:34.489110
AOSL,LONG,CONVICTION,82.7,BULL_BOUNCE_PENDING,48.56,43.0,50.99,,17,0.44,FAVORABLE,45.155,STOP,2026-05-28,2026-05-28T07:18:21.945244
COHU,LONG,CONVICTION,82.6,BULL_BOUNCE_PENDING,55.26,50.83,58.02,,22,0.62,FAVORABLE,53.45,STOP,2026-05-28,2026-05-28T07:19:26.638656
WULF,LONG,CONVICTION,81.2,BULL_BOUNCE_PENDING,27.29,25.05,28.65,,44,0.61,FAVORABLE,26.82,STOP,2026-05-28,2026-05-28T07:23:26.681386
SUGP,LONG,CONVICTION,81.0,BULL_BOUNCE_PENDING,2.9,1.62,3.04,,77,0.11,FAVORABLE,1.57,STOP,2026-05-28,2026-05-28T07:25:56.441523
ASTC,LONG,CONVICTION,80.9,BULL_BOUNCE_PENDING,24.27,21.08,25.48,,31,0.38,FAVORABLE,21.1209,STOP,2026-05-28,2026-05-28T07:18:33.771775
GOVX,LONG,CONVICTION,80.6,BULL_BOUNCE_PENDING,2.47,1.32,2.59,,87,0.11,FAVORABLE,2.52,LIMIT,2026-05-28,2026-05-28T07:24:46.224886
SIDU,LONG,CONVICTION,79.8,BULL_BOUNCE,4.86,4.09,6.09,,129,1.59,FAVORABLE,4.8584,LIMIT,2026-05-28,2026-05-28T07:22:37.009887
QFIN,LONG,CONVICTION,79.6,BULL_BOUNCE_PENDING,14.92,12.53,15.66,,41,0.31,FAVORABLE,15.22,LIMIT,2026-05-28,2026-05-28T07:22:09.154179
BTDR,LONG,CONVICTION,79.4,BULL_BOUNCE_PENDING,15.81,14.58,16.6,,81,0.64,FAVORABLE,15.91,STOP,2026-05-28,2026-05-28T07:19:05.717774
MASK,LONG,CONVICTION,79.4,BULL_BOUNCE_PENDING,2.34,2.2,2.46,,694,0.81,FAVORABLE,2.3413,LIMIT,2026-05-28,2026-05-28T07:21:08.203047
STGW,LONG,CONVICTION,79.0,BULL_BOUNCE_PENDING,6.81,5.21,7.15,,62,0.21,FAVORABLE,6.95,LIMIT,2026-05-28,2026-05-28T07:22:46.324777
GH,LONG,CONVICTION,78.5,BULL_BOUNCE_CONFIRMED,128.3,119.25,134.72,,11,0.71,FAVORABLE,128.3,LIMIT,2026-05-28,2026-05-28T07:20:20.658542
CORZ,LONG,CONVICTION,78.4,BULL_BOUNCE_PENDING,26.58,25.13,27.91,,69,0.92,FAVORABLE,27.1245,LIMIT,2026-05-28,2026-05-28T07:19:26.975608
HPQ,LONG,CONVICTION,78.0,BULL_BOUNCE_PENDING,26.68,24.79,28.01,,53,0.71,FAVORABLE,25.695,STOP,2026-05-28,2026-05-28T07:20:34.771725
LTRX,LONG,CONVICTION,78.0,BULL_BOUNCE_CONFIRMED,8.38,7.04,8.8,,74,0.31,FAVORABLE,8.38,LIMIT,2026-05-28,2026-05-28T07:25:04.446478
SEDG,LONG,CONVICTION,78.0,BULL_BOUNCE_PENDING,71.77,61.64,75.35,,9,0.35,FAVORABLE,73.23,LIMIT,2026-05-28,2026-05-28T07:25:48.245733
APLD,LONG,CONVICTION,77.4,BULL_BOUNCE_PENDING,46.47,41.73,48.8,,21,0.49,FAVORABLE,47.42,LIMIT,2026-05-28,2026-05-28T07:18:22.011759
NNVC,LONG,CONVICTION,77.0,BULL_BOUNCE_PENDING,1.73,1.58,1.82,,675,0.58,FAVORABLE,1.73,STOP,2026-05-28,2026-05-28T07:25:27.722944
TJGC,LONG,CONVICTION,77.0,BULL_BOUNCE_PENDING,6.58,6.0,6.91,,172,0.57,FAVORABLE,6.36,STOP,2026-05-28,2026-05-28T07:26:02.124111
DSX,LONG,CONVICTION,76.7,BULL_BOUNCE_PENDING,2.4,2.3,2.64,2.64,1009,2.45,FAVORABLE,2.445,LIMIT,2026-05-28,2026-05-28T07:24:21.971676
CODX,LONG,CONVICTION,76.5,BULL_BOUNCE_PENDING,10.63,9.13,11.16,,66,0.35,FAVORABLE,10.845,LIMIT,2026-05-28,2026-05-28T07:24:07.499356
RIOT,LONG,CONVICTION,75.6,BULL_BOUNCE_PENDING,27.47,25.95,28.84,,65,0.9,FAVORABLE,27.385,STOP,2026-05-28,2026-05-28T07:22:21.600297
NSIT,LONG,CONVICTION,75.2,BULL_BOUNCE_PENDING,102.75,99.6,112.72,116.78,31,3.16,FAVORABLE,102.9,LIMIT,2026-05-28,2026-05-28T07:21:32.625365
