ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
BTCT,BULL_BOUNCE_PENDING,LONG,74.2,2.11,1.78,2.21,,307,0.32,FAVORABLE,0.24,2.1504,DEEP_BELOW,-0.3108,3.12,0.3841,38.4% (active),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 11.2, ""far_pullback"": 4.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""sector_top_quartile"": 3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $1.89 (4h 12tk MINOR gap body) | 9.3% below — far pullback, patience required but edge is real (52% WR) | OBV rising — accumulation underneath | FINANCIAL STRONG (STRONG) — sector tailwind | SPY FAVORABLE",LIMIT BUY @ $2.11 (2% pullback cap; anchor at $1.89 too far). Stop $1.78. Anchor: 4h 12tk.,2026-08-27T05:41:56
ELF,BULL_BOUNCE_PENDING,LONG,69.0,104.88,100.06,110.12,,20,1.09,FAVORABLE,0.59,107.02,BELOW,-0.2912,150.99,0.0247,2.5% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $101.36 (30m 89tk MINOR gap body) | 4.9% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $104.88 (2% pullback cap; anchor at $101.36 too far). Stop $100.06. Anchor: 30m 89tk.,2026-08-27T05:41:56
RLAY,BULL_BOUNCE_PENDING,LONG,64.1,19.05,17.9,20.86,,86,1.57,FAVORABLE,1.35,19.44,NEAR_HIGH,-0.086,21.27,0.0134,1.3% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 1.1, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $18.20 (15m 42tk MINOR gap body) | 5.3% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $19.05 (2% pullback cap; anchor at $18.20 too far). Stop $17.9. Anchor: 15m 42tk.,2026-08-27T05:41:56
CRCL,BULL_BOUNCE_CONFIRMED,LONG,83.7,92.55,83.24,97.18,,10,0.5,FAVORABLE,1.07,92.55,DEEP_BELOW,-0.4196,159.47,0.0602,6.0% (normal),RISING,True,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""anchor_high_genesis_rank"": 9.7, ""multiple_touches"": 12.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 5.0}",ASC channel detected on 15m (score 78) | recovered 3.3% from recent low $89.57 | bounce at weekly 193tk @ $88.94 (CONVICTION) | 4 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 1 prior distinct rejection(s) below — prev = daily 433tk @ $85.82,"Channel: 15m ASC, rails $90.31-$91.98. Recent low $89.57 → now $92.55 (+3.3%)",2026-08-27T05:41:56
PAY,BULL_BOUNCE_PENDING,LONG,63.0,38.64,36.91,41.42,43.13,57,1.61,FAVORABLE,0.36,39.43,BELOW,-0.1298,45.31,0.0037,0.4% (normal),RISING,True,"{""structural_anchor_below"": 14.0, ""large_anchor"": 10.0, ""vacuum_tier"": 6.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""exhaustion_warning"": -3.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $37.80 (15m 140tk VACUUM gap body) | only 2.4% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | exhaustion: +2.6% over 5d on declining volume (-15.8%/day), no capitulation in last 10d, $0.12 (0.1× ATR) to 1h 36tk bear gap | SPY FAVORABLE",LIMIT BUY @ $38.64 (2% pullback cap; anchor at $37.80 too far). Stop $36.91. Anchor: 15m 140tk.,2026-08-27T05:41:56
ENTX,BULL_BOUNCE_CONFIRMED,LONG,71.0,3.22,2.96,3.63,,378,1.55,FAVORABLE,0.96,3.22,BELOW,-0.2333,4.2,0.003,0.3% (normal),RISING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 10.0}",ASC channel detected on 45m (score 67) | recovered 2.9% from recent low $3.13 | bounce at 30m 7tk @ $3.16 (MINOR) | 10 prior bull-rail touches | SPY FAVORABLE | staircase: 2 prior distinct rejection(s) below — prev = 30m 25tk @ $3.10,"Channel: 45m ASC, rails $3.23-$3.55. Recent low $3.13 → now $3.22 (+2.9%)",2026-08-27T05:41:56
ENTX,BULL_BOUNCE,LONG,67.3,3.22,2.97,3.63,,401,1.65,FAVORABLE,0.96,3.22,BELOW,-0.2333,4.2,0.003,0.3% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 2.3, ""multiple_touches"": 16.0, ""regime_favorable"": 5.0}",ASC channel detected on 45m (score 67) | price at lower rail ($3.23) | anchor: 45m 4tk @ $2.92 | 10 prior bull-rail touches | SPY FAVORABLE,"Channel: 45m ASC, rails $3.23-$3.55",2026-08-27T05:41:56
SPHR,BULL_BOUNCE_PENDING,LONG,65.0,154.46,150.25,167.38,167.09,23,3.07,FAVORABLE,0.68,157.61,BELOW,-0.1322,181.63,0.0155,1.6% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 8.0, ""vacuum_tier"": 6.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $153.40 (1h 481tk VACUUM gap body) | only 1.1% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $154.46 (2% pullback cap; anchor at $153.40 too far). Stop $150.25. Anchor: 1h 481tk.,2026-08-27T05:41:56
RITR,BULL_BOUNCE_PENDING,LONG,60.0,0.11,0.09,0.12,,4742,0.27,FAVORABLE,0.14,0.1172,DEEP_BELOW,-0.9847,7.68,0.3925,39.3% (active),RISING,False,"{""structural_anchor_below"": 14.0, ""far_pullback"": 4.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.10 (1m 1tk MINOR gap body) | 11.7% below — far pullback, patience required but edge is real (52% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $0.11 (2% pullback cap; anchor at $0.10 too far). Stop $0.09. Anchor: 1m 1tk.,2026-08-27T05:41:56
OMH,BULL_BOUNCE_PENDING,LONG,85.0,0.21,0.17,0.22,,2275,0.24,FAVORABLE,7.2,0.0824,DEEP_BELOW,-0.9624,2.19,5.5767,557.7% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""float_rot_parabolic"": 6.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $0.08 anchor - enter on strength above today's high, no pullback | 4.4% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | hot volume 7.2x avg | float rotation 5.58x — parabolic engagement | breakout volume surge — real demand active | SPY FAVORABLE | BREAKOUT_FOLLOW: open $0.09 cleared anchor $0.08, 3/4 strength, regime FAVORABLE — buy-stop $0.21, 1.5xATR stop","BUY-STOP @ $0.21 (above today's high $0.21). Stop $0.17 (1.5xATR). Score 85, strength=3/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-08-27T05:41:56
