ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
PROP,Long,PULLBACK,T2-LONG,58,95.0,2.035,2.03,2.51,10.0,UNKNOWN,,,1.8,2,38.6,,,,,1.5404,0.962,0.923,0.327,0.5,2.03,2.035,2.0554,0,19999,3944,0.0,95.0,17.93,2.03,2.51,10:30
BATL,Short,RESISTANCE,T5-SHORT,8,47.5,4.2401,4.25,3.77,10.1,,,,0.5,1,108.6,,,,"-DILUTION, -DELISTING_RISK, +ACQUISITION",1.5231,0.846,0.942,0.019,0.5,,,,,,,,,,,,
VRAX,Long,PULLBACK,T2-LONG,51,63.4,0.1823,0.1806,0.29,7.9,UNKNOWN,,,1.0,1,84.1,,,,"-DILUTION, -DELISTING_RISK, +ANALYST_UPGRADE, +ACQUISITION, ~MANAGEMENT",1.4798,0.904,0.827,0.24,0.5,0.1806,0.1823,0.2023,0,58823,4608,0.0,63.35,4.04,0.1806,0.29,10:30
QNCX,Short,RESISTANCE,T5-SHORT,40,39.0,0.1169,0.1173,0.1013,14.3,,,,0.6,1,34.6,,,,"+FDA_TRIAL, +ANALYST_UPGRADE",1.4615,0.808,1.0,0.154,0.5,,,,,,,,,,,,
MOBX,Short,RESISTANCE,T5-SHORT,15,165.9,0.2821,0.2828,0.166,0.9,,,,0.2,0,51.2,,,,,1.4231,1.0,0.135,0.058,0.5,,,,,,,,,,,,
NEXT,Short,RESISTANCE,T3-SHORT,63,76.5,7.6,7.62,6.07,3.5,,,,0.9,0,20.3,,,,-DILUTION,1.4,0.942,0.558,0.365,0.5,,,,,,,,,,,,
RENX,Long,PULLBACK,T2-LONG,76,58.0,2.47,2.465,2.7601,5.4,UNKNOWN,,,17.0,1,145.1,,,,"-DILUTION, +CONTRACT, +ACQUISITION, -REVERSE_SPLIT",1.3596,0.885,0.692,0.442,0.5,2.465,2.47,2.4947,0,19999,3367,0.0,58.02,8.94,2.465,2.7601,10:30
GV,Short,RESISTANCE,T5-SHORT,28,25.4,0.2301,0.2313,0.1996,12.2,,,,0.5,1,115.1,,,,"-DELISTING_RISK, ~MANAGEMENT, ~SEC_FILING",1.3519,0.692,0.981,0.115,0.5,,,,,,,,,,,,
AGPU,Long,PULLBACK,T2-LONG,91,156.7,3.35,3.3403,4.87,5.9,UNKNOWN,,,19.8,1,304.9,,,,,1.3231,0.981,0.75,0.942,0.5,3.3403,3.35,3.3835,0,10309,2314,0.0,156.7,34.41,3.3403,4.87,10:30
SRXH,Short,RESISTANCE,T5-SHORT,25,24.1,0.1418,0.1425,0.1249,8.2,,,,1.1,0,34.7,,,,"-DILUTION, -DELISTING_RISK, +ACQUISITION, ~MANAGEMENT",1.2981,0.673,0.846,0.096,0.5,,,,,,,,,,,,
LFST,Short,RESISTANCE,T2-SHORT,80,72.5,6.55,6.57,5.1,2.8,,,,0.9,0,8.4,,,,"-DILUTION, ~MANAGEMENT",1.2654,0.923,0.49,0.683,0.5,,,,,,,,,,,,
RZLV,Short,RESISTANCE,T3-SHORT,80,34.4,3.415,3.43,2.899,9.1,,,,3.6,2,39.0,,,,+ACQUISITION,1.2548,0.788,0.904,0.683,0.5,,,,,,,,,,,,
UMAC,Short,RESISTANCE,T3-SHORT,80,50.7,12.77,12.8,11.25,3.5,,,,0.6,0,39.8,,,,-DILUTION,1.2279,0.865,0.558,0.683,0.5,,,,,,,,,,,,
EVTL,Short,RESISTANCE,T5-SHORT,44,23.0,2.36,2.365,2.245,4.4,,,,3.2,3,36.8,,,,,1.1952,0.654,0.644,0.173,0.5,,,,,,,,,,,,
TPET,Short,RESISTANCE,T5-SHORT,8,20.9,0.71,0.7117,0.6744,3.5,,,,0.2,0,55.1,,,,,1.1769,0.615,0.558,0.019,0.5,,,,,,,,,,,,
KOPN,Short,RESISTANCE,T3-SHORT,70,40.0,2.48,2.485,2.28,1.6,,,,3.2,1,44.8,,,,,1.175,0.827,0.231,0.404,0.5,,,,,,,,,,,,
RENX,Short,RESISTANCE,T3-SHORT,80,29.3,2.7601,2.77,2.47,5.8,,,,17.0,1,145.1,,,,"-DILUTION, +CONTRACT, +ACQUISITION, -REVERSE_SPLIT",1.1644,0.75,0.731,0.683,0.5,,,,,,,,,,,,
VRAX,Long,FRESH_HOLD,T2-LONG,51,27.6,0.1935,0.19,0.29,2.3,UNKNOWN,,,1.0,1,84.1,,,,"-DILUTION, -DELISTING_RISK, +ANALYST_UPGRADE, +ACQUISITION, ~MANAGEMENT",1.1606,0.712,0.404,0.24,0.5,0.19,0.1935,0.2135,0,28571,4255,0.0,27.57,3.26,0.19,0.29,10:30
MGN,Short,RESISTANCE,T5-SHORT,21,9.9,0.1619,0.1626,0.155,4.1,,,,0.7,3,265.1,,,,-DILUTION,1.0231,0.462,0.615,0.077,0.5,,,,,,,,,,,,
DVLT,Short,RESISTANCE,T3-SHORT,80,28.7,0.6902,0.6916,0.65,1.7,,,,1.2,0,26.5,,,,"+REVENUE_BEAT, +ACQUISITION",1.0096,0.731,0.279,0.683,0.5,,,,,,,,,,,,
MIST,Short,RESISTANCE,T3-SHORT,80,21.4,1.345,1.3499,1.24,2.7,,,,1.3,0,36.0,,,,"-DELISTING_RISK, ~MANAGEMENT",0.9683,0.635,0.462,0.683,0.5,,,,,,,,,,,,
KOPN,Long,PULLBACK,T1-STRONG_LONG,90,20.0,2.28,2.27,2.48,6.6,UNKNOWN,,,3.2,1,44.8,,,,,0.9615,0.596,0.808,0.923,0.5,2.27,2.28,2.3028,0,10000,3048,0.0,20.0,5.4,2.27,2.48,10:30
ONDS,Short,RESISTANCE,T3-SHORT,80,11.9,9.35,9.44,8.28,6.1,,,,0.7,0,30.3,,,,"+CONTRACT, +ACQUISITION, +REVENUE_BEAT",0.926,0.5,0.769,0.683,0.5,,,,,,,,,,,,
RBNE,Short,RESISTANCE,T5-SHORT,31,7.2,2.21,2.23,2.065,5.7,,,,0.1,0,46.3,,,,,0.9192,0.346,0.712,0.135,0.5,,,,,,,,,,,,
AGPU,Long,FRESH_HOLD,T2-LONG,96,33.0,3.55,3.51,4.87,0.3,UNKNOWN,,,19.8,1,304.9,,,,,0.8779,0.769,0.01,0.981,0.5,3.51,3.55,3.5855,0,2499,1324,0.0,33.0,17.01,3.51,4.87,10:30
