ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
ADBE,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,262.81,267.84,242.85,230.39,19,3.96,HOSTILE,258.29,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:30:56.755732
PTCT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,67.38,69.65,60.89,59.07,44,2.87,HOSTILE,66.06,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:33:24.288586
AXON,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,486.0,493.72,410.99,423.01,12,9.71,HOSTILE,480.0,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:34:02.748706
FSK,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,12.1,13.2,11.49,,91,0.55,HOSTILE,12.05,LIMIT,20,COMPRESSION,2026-09-14,2026-09-14T04:34:29.295742
HONA,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,158.64,161.8,153.75,,31,1.55,HOSTILE,158.0127,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:34:41.713758
VSXY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,76.62,84.43,72.79,,12,0.49,HOSTILE,75.12,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:35:41.547060
CRL,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,278.54,282.16,260.72,257.0,27,4.92,HOSTILE,278.26,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:36:16.101564
IT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,183.18,187.35,155.55,157.58,23,6.63,HOSTILE,179.59,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:36:40.036610
KKR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,103.0,104.61,94.64,89.06,62,5.19,HOSTILE,101.3,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:38:16.573375
IONS,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,54.21,58.38,51.5,,23,0.65,HOSTILE,54.2,LIMIT,20,CONVICTION,2026-09-14,2026-09-14T04:41:47.618917
