ticker,side,entry,stop,t1,fem,score,tier,mode,rr,last_px,current_price,spy_regime,_score,_L1,_L2,_L3,source,source_rank,state_asof,state_generated_at,warnings
HTFL,LONG,25.4900,24.2200,27.8000,100.00,100.00,T1-STRONG_LONG,BULL_BOUNCE_PENDING,1.81,25.4900,25.4900,FAVORABLE,100.00,25.4900,25.4900,25.4900,FAM_STATE_IDEAS_MOO_REBUILD,1,2026-07-15T03:07:40,1784110661353968400,
GFS,LONG,63.6000,58.6200,71.4400,91.60,91.60,T1-STRONG_LONG,BULL_BOUNCE_PENDING,1.57,63.6000,63.6000,FAVORABLE,91.60,63.6000,63.6000,63.6000,FAM_STATE_IDEAS_MOO_REBUILD,2,2026-07-15T03:07:40,1784110661353968400,
TMHC,LONG,72.0300,71.7600,73.4700,86.60,86.60,CONVICTION,BULL_BOUNCE_PENDING,5.29,72.0300,72.0300,FAVORABLE,86.60,72.0300,72.0300,72.0300,FAM_STATE_IDEAS_MOO_REBUILD,3,2026-07-15T03:07:40,1784110661353968400,
MDA,LONG,32.9200,31.6900,35.6300,83.00,83.00,CONVICTION,BULL_BOUNCE_PENDING,2.22,32.9200,32.9200,FAVORABLE,83.00,32.9200,32.9200,32.9200,FAM_STATE_IDEAS_MOO_REBUILD,4,2026-07-15T03:07:40,1784110661353968400,
CPNG,LONG,17.4000,16.7400,18.5500,80.60,80.60,CONVICTION,BULL_BOUNCE_PENDING,1.71,17.4000,17.4000,FAVORABLE,80.60,17.4000,17.4000,17.4000,FAM_STATE_IDEAS_MOO_REBUILD,5,2026-07-15T03:07:40,1784110661353968400,
CCI,LONG,77.4700,76.3000,79.6500,80.50,80.50,CONVICTION,BULL_BOUNCE_PENDING,1.86,77.4700,77.4700,FAVORABLE,80.50,77.4700,77.4700,77.4700,FAM_STATE_IDEAS_MOO_REBUILD,6,2026-07-15T03:07:40,1784110661353968400,
CPB,LONG,22.2100,21.1000,25.2100,77.40,77.40,CONVICTION,BULL_BOUNCE_PENDING,2.71,22.2100,22.2100,FAVORABLE,77.40,22.2100,22.2100,22.2100,FAM_STATE_IDEAS_MOO_REBUILD,7,2026-07-15T03:07:40,1784110661353968400,
TREX,LONG,48.8800,45.6100,51.3200,76.80,76.80,CONVICTION,BULL_BOUNCE_PENDING,0.75,48.8800,48.8800,FAVORABLE,76.80,48.8800,48.8800,48.8800,FAM_STATE_IDEAS_MOO_REBUILD,8,2026-07-15T03:07:40,1784110661353968400,
DOCN,LONG,122.8200,119.2600,129.1700,76.70,76.70,CONVICTION,BULL_BOUNCE_PENDING,1.78,122.8200,122.8200,FAVORABLE,76.70,122.8200,122.8200,122.8200,FAM_STATE_IDEAS_MOO_REBUILD,9,2026-07-15T03:07:40,1784110661353968400,
MIR,LONG,15.9600,13.7300,16.7600,75.70,75.70,CONVICTION,BULL_BOUNCE_PENDING,0.36,15.9600,15.9600,FAVORABLE,75.70,15.9600,15.9600,15.9600,FAM_STATE_IDEAS_MOO_REBUILD,11,2026-07-15T03:07:40,1784110661353968400,
PEGA,LONG,31.5000,29.8300,34.3100,75.00,75.00,CONVICTION,BULL_BOUNCE_CONFIRMED,1.68,31.5000,31.5000,FAVORABLE,75.00,31.5000,31.5000,31.5000,FAM_STATE_IDEAS_MOO_REBUILD,13,2026-07-15T03:07:40,1784110661353968400,
UUUU,LONG,13.2000,12.4100,15.0500,75.00,75.00,CONVICTION,BULL_BOUNCE,2.33,13.2000,13.2000,FAVORABLE,75.00,13.2000,13.2000,13.2000,FAM_STATE_IDEAS_MOO_REBUILD,14,2026-07-15T03:07:40,1784110661353968400,
UPST,LONG,31.0700,29.8600,33.2200,74.20,74.20,CONVICTION,BULL_BOUNCE_PENDING,1.78,31.0700,31.0700,FAVORABLE,74.20,31.0700,31.0700,31.0700,FAM_STATE_IDEAS_MOO_REBUILD,15,2026-07-15T03:07:40,1784110661353968400,
VELO,LONG,12.7400,11.7600,14.7000,73.90,73.90,CONVICTION,BULL_BOUNCE_PENDING,2.01,12.7400,12.7400,FAVORABLE,73.90,12.7400,12.7400,12.7400,FAM_STATE_IDEAS_MOO_REBUILD,16,2026-07-15T03:07:40,1784110661353968400,
CPNG,LONG,17.7600,16.6700,19.8800,71.80,71.80,CONVICTION,BULL_BOUNCE,1.94,17.7600,17.7600,FAVORABLE,71.80,17.7600,17.7600,17.7600,FAM_STATE_IDEAS_MOO_REBUILD,19,2026-07-15T03:07:40,1784110661353968400,
AEO,LONG,16.0600,15.3500,17.6000,71.00,71.00,CONVICTION,BULL_BOUNCE,2.18,16.0600,16.0600,FAVORABLE,71.00,16.0600,16.0600,16.0600,FAM_STATE_IDEAS_MOO_REBUILD,21,2026-07-15T03:07:40,1784110661353968400,
