ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
BFLY,Long,PULLBACK,T1-STRONG_LONG,82,7.655,6.9284,9.1082,8.78,2.0,0.7266,8.42,9.1,WAITING,1,1,4h,7.655,7.1706,HIGHWAY,EXCITED,1.86,158988310.0,0.7,1.2,0.0,0.0,33.5,33.0,8.0,203.13,MEGA,0.03,8.78,8.81,8.75,-0.7,DISCOUNT,DISCOUNT,689,12,188,99.9,A,,,,True,0.6624142857142857,1.1,N/A,,TECH,,NEUTRAL,,0.68,,11.61,0.68,0.5,1.0,0.5,1.0,0.68,1.004,FAVORABLE,7.1706,7.655,7.7316,412,137,124,8.0,2.0,1.71,2954.29,1048.74,958.71,10:30,6.9284,9.1082,PULLBACK_LIMIT,,,
XP,Long,BOUNCE,T2-LONG,52,16.98,16.1311,18.6778,17.08,2.0,0.8489,16.98,1.8,CLOSE,1,1,1d,16.67,16.63,OPEN_ROAD,EXCITED,0.69,14855377.0,1.0,0.9,0.0,0.0,6.1,24.0,8.0,412.93,MEGA,0.01,17.08,16.97,17.19,1.3,DISCOUNT,DISCOUNT,302,2,158,3.7,C,,,,True,0.5065714285714288,1.68,N/A,,FINANCIAL,,NEUTRAL,,0.28,,2.33,0.28,0.5,0.0,0.0,0.25,0.28,0.884,FAVORABLE,16.63,16.98,17.1498,200,117,98,4.1,2.0,1.5,3326.0,1986.66,1680.68,10:30,16.1311,18.6778,PULLBACK_LIMIT,,,
ERAS,Long,BOUNCE,T1-STRONG_LONG,100,18.62,17.3048,21.2504,,2.0,1.3152,18.62,2.3,CLOSE,4,4,"1d,1h,30m,4h",18.19,17.84,OPEN_ROAD,EXCITED,1.7,243137915.0,0.7,0.8,0.0,0.0,11.2,26.0,8.0,247.63,MEGA,0.01,18.5,18.38,18.62,1.3,PREMIUM,DISCOUNT,596,9,200,2.2,C,,,,True,1.0949714285714285,1.2,N/A,,HEALTHCARE,,WEAK,,0.2,,-1.25,0.2,0.5,0.5,1.0,0.25,0.2,0.71,FAVORABLE,17.84,18.62,18.8062,186,76,66,6.37,2.0,1.63,3318.24,1415.12,1241.21,10:30,17.3048,21.2504,PULLBACK_LIMIT,,,
