ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
NBIS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,155.39,daily,log_regression,AT_LOWER,0.181,8,117.4,125.0,daily,19.56,95.41,nearest_support_gap_hi,154.65,True,True,0.48,0.48,92.97,92.97,10.71,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
WAY,EARLY_RECLAIM_TRIGGER,100.0,96.0,96.0,EARLY_RECLAIM_TRIGGER,24.115,1h,log_regression,MID,0.48,29,22.51,23.15,weekly,4.0,98.47,nearest_support_gap_hi,23.69,True,True,1.76,1.79,12.68,12.68,4.62,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.68% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase
DXC,EARLY_STRUCTURAL_MATCH,100.0,71.0,71.0,TOO_EARLY_OR_LOOSE,11.7,1h,log_regression,AT_UPPER,0.747,24,8.82,8.97,weekly,23.33,100.0,upper,12.26,True,False,-4.79,-4.57,15.7,15.7,6.84,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.7% from recent high | room back to recent high | coiled/controlled short-term momentum,mid_high_channel_location | too_early_or_loose_for_trigger
