ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
SCAG,Long,PULLBACK,T2-LONG,84,0.62,0.5618,0.746,0.6479,2.2,0.0582,,0.6608,6.2,APPROACH,1,1,MIXED,EXCITED,10.06,,,MED,0.13,0.6479,0.7106,0.5851,-17.7,MID,DISCOUNT,34,10,7,12.9,C,1m,0.62,0.6118,41070.0,0.3,3.2,1448275.0,1.0,245.7,55.0,8.0,32.53,False,0.20672857142857143,0.28,N/A,,0.5,1.0,1.0,0.25,0.75,0.5,1.575,HOSTILE,0.6118,0.62,0.64,1999,1718,1278,2.68,2.16,1.36,1222.99,1065.16,817.92,10:30,0.5618,0.746,PULLBACK_LIMIT,,,,PENNY,MARKET
TII,Long,BOUNCE,T1-STRONG_LONG,100,2.23,2.0273,2.6354,,2.0,0.2027,,2.23,1.8,CLOSE,9,6,OPEN_ROAD,EXCITED,2.15,,,MED,0.44,2.175,2.17,2.18,0.5,FLAT,FLAT,52,2,26,8.1,C,"10m,1h,1m,30m,4h,5m",2.19,2.09,194643.0,15.6,5.4,8368860.0,1.0,15.8,50.0,8.0,36.33,True,0.21284285714285714,0.95,N/A,,0.5,0.375,0.0,0.875,1.0,0.5,0.4125,HOSTILE,2.09,2.23,2.2523,1594,493,444,8.7,2.0,1.7,3331.46,1099.39,1000.02,10:30,2.0273,2.6354,PULLBACK_LIMIT,,,,PENNY,MARKET
