ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
NVDA,Long,T1-STRONG_LONG,41,180.3,178.23,194.29,189.1,189.66,185.74,1419214566.0,4.88,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
AMZN,Long,T1-STRONG_LONG,73,225.23,221.41,250.38,239.75,240.0,235.75,0.0,6.45,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
AVGO,Long,T2-LONG,78,352.3,350.63,382.0,379.76,380.86,369.48,0.0,7.79,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
TSLA,Short,T3-SHORT,80,370.28,377.6856,336.03,352.81,356.35,348.57,0.0,4.72,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
META,Long,T1-STRONG_LONG,55,592.7,575.23,648.42,637.48,635.0,624.4,1264990164.0,7.56,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
XOM,Short,T3-SHORT,95,165.77,169.66,147.61,152.4,154.62,151.28,0.0,8.07,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
COST,Short,T3-SHORT,80,1029.0,1049.58,987.07,981.5,1000.05,979.36,484924941.0,4.62,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
ORCL,Short,T3-SHORT,80,142.8,145.656,130.99,157.95,155.91,139.72,732154451.0,-10.61,STOPPED,-1.0,False,2026-04-13_1536,2026-04-12_2000
NFLX,Long,T2-LONG,29,99.39,98.82,106.87,103.23,103.67,102.06,2014593161.0,3.86,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
CVX,Short,T2-SHORT,95,201.99,206.9,181.98,191.55,192.6,189.72,0.0,5.17,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
ABBV,Short,T3-SHORT,95,213.99,218.2698,199.76,206.5,208.08,203.01,0.0,3.5,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
AMD,Long,T1-STRONG_LONG,56,227.09,221.64,268.44,246.92,247.33,242.03,0.0,8.73,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
PLTR,Short,T3-SHORT,95,128.85,131.427,101.53,132.95,134.42,129.15,1048804102.0,-3.18,STOPPED,-1.0,False,2026-04-13_1536,2026-04-12_2000
CAT,Long,T1-STRONG_LONG,55,753.1,725.73,855.59,792.0,798.54,785.33,0.0,5.17,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
AMAT,Long,T1-STRONG_LONG,57,377.78,354.58,444.4,396.93,400.5,389.59,906696696.0,5.07,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
LRCX,Long,T1-STRONG_LONG,76,248.33,246.49,280.83,267.64,267.54,260.85,1768646595.0,7.78,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
UNH,Long,T2-LONG,19,277.88,277.26,365.19,313.0,313.32,302.92,1521612443.0,12.64,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
WFC,Long,T1-STRONG_LONG,44,80.96,80.6,94.42,86.75,86.7,84.07,0.0,7.15,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
GEV,Long,T1-STRONG_LONG,75,943.56,937.0,1045.64,995.5,1007.38,987.16,2107783274.0,5.5,NO_FILL,0.0,True,2026-04-13_1536,2026-04-12_2000
TMUS,Short,T3-SHORT,80,208.42,212.5884,195.9148,192.5,195.92,190.8,0.0,7.64,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
VZ,Short,T2-SHORT,95,48.16,49.1232,41.38,45.38,46.09,45.04,25305779.0,5.77,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
AXP,Long,T1-STRONG_LONG,41,316.24,307.12,334.48,324.0,324.22,310.0,91922200.0,2.45,WINNING,0.85,False,2026-04-13_1536,2026-04-12_2000
KLAC,Long,T1-STRONG_LONG,60,1635.33,1548.91,1925.65,1774.0,1771.82,1720.27,207516926.0,8.48,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
T,Short,T3-SHORT,95,26.63,27.1626,24.43,25.6,26.39,25.4,0.0,3.87,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
ABT,Short,T2-SHORT,95,103.0,105.06,96.82,100.33,100.89,99.05,301910402.0,2.59,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
TXN,Long,T1-STRONG_LONG,55,206.16,200.38,229.08,216.81,217.2,212.11,0.0,5.17,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
CRM,Short,T3-SHORT,80,174.29,177.7758,163.8326,173.16,173.4,165.77,0.0,0.65,NO_FILL,0.0,False,2026-04-13_1536,2026-04-12_2000
