ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
OPEN,Long,PULLBACK,T2-LONG,88,4.2,4.95,4.7045,5.975,8.8,MEGA,839.64,0.05,1.3,1.0,21.2,10.0,B,104,,1.4853,0.905,0.931,0.267,0.595,4.85,4.95,4.9995,687,407,338,7.73,4.18,3.31,4.7045,5.975,10:30
TE,Long,PULLBACK,T2-LONG,89,6.0,5.02,4.8306,6.15,6.9,HIGH,168.14,0.15,1.7,0.0,22.6,14.1,B,43,,1.4345,0.983,0.776,0.293,0.966,4.98,5.02,5.0702,669,527,417,7.83,5.97,4.51,4.8306,6.15,10:30
LEU,Long,PULLBACK,T1-STRONG_LONG,100,5.2,197.49,185.8035,258.0,9.0,MED,18.3,0.05,1.9,0.0,14.9,18.9,A,3724,,1.3983,0.966,0.948,0.776,0.595,191.55,197.49,199.4649,17,8,7,11.56,5.18,4.28,185.8035,258.0,10:30
KOPN,Long,PULLBACK,T1-STRONG_LONG,94,3.2,3.0,2.7839,3.7,6.5,HIGH,152.31,0.04,1.6,0.0,19.9,15.3,B,115,,1.3655,0.871,0.69,0.397,0.466,2.87,3.0,3.03,1161,462,406,9.64,3.24,2.72,2.7839,3.7,10:30
SHLS,Long,PULLBACK,T1-STRONG_LONG,99,3.2,7.06,6.6639,8.33,5.9,HIGH,166.41,0.03,1.6,0.0,14.9,11.1,A,95,,1.3534,0.871,0.647,0.509,0.293,6.87,7.06,7.1306,485,252,214,7.08,3.21,2.57,6.6639,8.33,10:30
RCUS,Long,PULLBACK,T1-STRONG_LONG,96,2.8,24.85,23.8911,27.57,6.6,HIGH,88.65,0.03,3.9,2.0,41.8,3.6,C,202,,1.3371,0.81,0.716,0.431,0.293,24.63,24.85,25.0985,135,104,82,3.98,2.84,2.05,23.8911,27.57,10:30
PRCH,Long,PULLBACK,T2-LONG,93,2.5,7.56,7.2168,8.41,6.1,HIGH,79.49,0.01,1.5,1.0,13.3,4.5,B,154,,1.3181,0.733,0.672,0.371,0.026,7.44,7.56,7.6356,448,291,238,4.35,2.48,1.85,7.2168,8.41,10:30
IONQ,Long,PULLBACK,T1-STRONG_LONG,100,7.9,44.59,41.9525,65.4,5.8,MEGA,359.97,0.07,1.2,1.0,20.3,38.1,A,1990,,1.3138,1.0,0.621,0.776,0.698,43.25,44.59,45.0359,77,37,32,17.07,7.89,6.6,41.9525,65.4,10:30
NRGV,Long,PULLBACK,T2-LONG,100,4.6,4.41,4.0837,5.9,4.3,HIGH,140.63,0.04,2.0,1.0,31.2,33.8,B,49,,1.2672,0.948,0.483,0.776,0.466,4.21,4.41,4.4541,791,306,269,13.38,4.57,3.9,4.0837,5.9,10:30
ACDC,Long,PULLBACK,T1-STRONG_LONG,100,3.0,6.63,6.3438,7.48,6.8,MED,32.87,0.03,1.2,0.0,24.3,5.2,B,87,,1.2612,0.828,0.75,0.776,0.293,6.54,6.63,6.6963,509,349,283,4.79,2.97,2.22,6.3438,7.48,10:30
APLD,Long,PULLBACK,T2-LONG,80,2.5,30.7,29.294,34.25,5.3,MEGA,253.82,0.05,0.8,0.0,16.1,5.6,B,1203,,1.256,0.733,0.586,0.112,0.595,30.2,30.7,31.007,110,71,58,4.47,2.52,1.89,29.294,34.25,10:30
LAES,Long,PULLBACK,T2-LONG,61,2.5,3.06,2.8518,3.58,3.3,HIGH,184.16,0.06,1.0,0.0,27.6,17.0,C,64,,1.2233,0.733,0.405,0.0,0.655,2.94,3.06,3.0906,1133,480,418,7.26,2.5,2.05,2.8518,3.58,10:30
CLOV,Long,PULLBACK,T1-STRONG_LONG,99,2.1,2.3,2.1728,2.57,8.0,MEGA,406.66,0.02,1.5,1.0,16.6,2.8,C,60,,1.181,0.603,0.853,0.509,0.129,2.24,2.3,2.323,1488,786,665,4.91,2.12,1.64,2.1728,2.57,10:30
BULL,Long,PULLBACK,T2-LONG,100,2.5,6.66,6.2856,7.58,8.4,MEGA,377.73,0.04,1.2,1.0,22.1,4.3,B,78,,1.1733,0.733,0.888,0.776,0.466,6.48,6.66,6.7266,514,267,226,5.66,2.46,1.94,6.2856,7.58,10:30
OKLO,Long,PULLBACK,T1-STRONG_LONG,84,2.1,65.19,60.7899,74.48,10.0,HIGH,123.73,0.1,1.6,1.0,22.0,2.9,C,1989,,1.1664,0.603,1.0,0.216,0.862,62.67,65.19,65.8419,53,22,19,6.28,2.11,1.71,60.7899,74.48,10:30
ABCL,Long,BOUNCE,T1-STRONG_LONG,100,4.2,4.08,3.8218,5.155,0.7,MEGA,206.79,0.02,1.7,0.0,11.5,26.3,B,65,,1.1647,0.905,0.06,0.776,0.129,3.94,4.08,4.1208,846,387,334,10.28,4.16,3.46,3.8218,5.155,10:30
ASST,Long,BOUNCE,T1-STRONG_LONG,100,4.4,16.66,14.875,24.6,1.8,HIGH,56.6,0.09,1.8,1.0,39.5,47.7,A,1529,,1.1112,0.931,0.267,0.776,0.836,15.37,16.66,16.8266,202,56,51,18.65,4.45,3.98,14.875,24.6,10:30
USAR,Long,PULLBACK,T1-STRONG_LONG,100,3.1,25.41,22.1645,35.58,4.8,HIGH,169.39,0.14,2.0,2.0,45.2,40.0,A,1620,,1.0879,0.845,0.552,0.776,0.948,22.85,25.41,25.6641,145,30,28,18.57,3.13,2.83,22.1645,35.58,10:30
UEC,Long,PULLBACK,T1-STRONG_LONG,100,2.3,15.15,14.0553,17.69,3.2,MEGA,481.56,0.02,1.4,0.0,8.8,16.8,A,75,,1.0103,0.655,0.379,0.776,0.129,14.49,15.15,15.3015,230,91,80,7.36,2.32,1.92,14.0553,17.69,10:30
SMCI,Long,BOUNCE,T1-STRONG_LONG,100,2.7,29.18,27.6644,33.22,1.2,MEGA,499.58,0.04,0.7,0.0,12.3,13.8,A,729,,1.0086,0.793,0.138,0.776,0.466,28.52,29.18,29.4718,116,65,55,5.49,2.67,2.07,27.6644,33.22,10:30
