ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
UCAR,Short,T3-SHORT,80,RESISTANCE,0.62,0.63,0.53,0.603,0.89,0.5,135656036.0,2.74,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
AGPU,Long,T2-LONG,96,FRESH_HOLD,3.55,3.51,4.87,3.56,4.17,1.79,73916051.0,0.28,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
AGPU,Long,T2-LONG,91,PULLBACK,3.35,3.3403,4.87,3.56,4.17,1.79,73916051.0,6.27,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
RENX,Short,T3-SHORT,80,RESISTANCE,2.7601,2.77,2.47,2.61,3.48,2.285,56542797.0,5.44,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
RENX,Long,T2-LONG,76,PULLBACK,2.47,2.465,2.7601,2.61,3.48,2.285,56542797.0,5.67,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
DEFT,Long,T2-LONG,100,FRESH_HOLD,0.6781,0.5665,0.9221,0.6891,0.798,0.6781,53684765.0,1.62,WINNING,0.1,2026-04-02_0551,2026-04-02_0516
RZLV,Short,T3-SHORT,80,RESISTANCE,3.415,3.43,2.899,3.13,3.16,2.56,53733211.0,8.35,TARGET_HIT,34.4,2026-04-02_0551,2026-04-02_0516
CETX,Short,T5-SHORT,54,RESISTANCE,0.8001,0.8059,0.76,0.7795,0.9577,0.672,18906349.0,2.57,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
CETX,Long,T3-LONG_WATCH,51,FRESH_HOLD,0.76,0.754,0.8001,0.7795,0.9577,0.672,18906349.0,2.57,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
SST,Long,T3-LONG_WATCH,57,PULLBACK,5.05,5.015,6.1,5.22,5.8,3.12,14688220.0,3.37,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
KOPN,Long,T1-STRONG_LONG,90,PULLBACK,2.28,2.27,2.48,2.44,2.62,2.28,8051612.0,7.02,TARGET_HIT,20.0,2026-04-02_0551,2026-04-02_0516
KOPN,Short,T3-SHORT,70,RESISTANCE,2.48,2.485,2.28,2.44,2.62,2.28,8051612.0,1.61,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
PROP,Long,T1-STRONG_LONG,95,FRESH_HOLD,2.25,2.155,2.51,2.26,2.3499,1.99,7960947.0,0.44,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
PROP,Short,T3-SHORT,80,RESISTANCE,2.51,2.55,2.25,2.26,2.3499,1.99,7960947.0,9.96,TARGET_HIT,6.5,2026-04-02_0551,2026-04-02_0516
PROP,Long,T2-LONG,58,PULLBACK,2.035,2.03,2.51,2.26,2.3499,1.99,7960947.0,11.06,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
EVTL,Long,T3-LONG_WATCH,61,FRESH_HOLD,2.245,2.24,2.27,2.26,2.49,2.17,6574336.0,0.67,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
EVTL,Short,T5-SHORT,44,RESISTANCE,2.36,2.365,2.245,2.26,2.49,2.17,6574336.0,4.24,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
SXTP,Short,T3-SHORT,80,RESISTANCE,1.88,1.89,1.83,1.87,1.91,1.7,156262.0,0.53,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
BATL,Long,T3-LONG_WATCH,9,FRESH_HOLD,3.77,3.76,4.2401,3.85,4.09,3.5,5739838.0,2.12,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
BATL,Short,T5-SHORT,8,RESISTANCE,4.2401,4.25,3.77,3.85,4.09,3.5,5739838.0,9.2,TARGET_HIT,47.48,2026-04-02_0551,2026-04-02_0516
NEXT,Short,T3-SHORT,63,RESISTANCE,7.6,7.62,6.07,7.34,7.6,7.125,4344459.0,3.42,WINNING,13.0,2026-04-02_0551,2026-04-02_0516
UMAC,Short,T3-SHORT,80,RESISTANCE,12.77,12.8,11.25,12.34,13.4993,12.2,3024127.0,3.37,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
UMAC,Long,T3-LONG_WATCH,64,PULLBACK,11.25,11.08,12.77,12.34,13.4993,12.2,3024127.0,9.69,TARGET_HIT,8.94,2026-04-02_0551,2026-04-02_0516
KALA,Short,T3-SHORT,80,RESISTANCE,0.1702,0.1718,0.1654,0.163,0.198,0.1615,4433611.0,4.23,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
VIR,Long,T3-LONG_WATCH,56,PULLBACK,8.64,8.47,9.57,9.02,9.24,8.87,1466186.0,4.4,WINNING,2.24,2026-04-02_0551,2026-04-02_0516
LFST,Short,T2-SHORT,80,RESISTANCE,6.55,6.57,5.1,6.37,6.55,6.34,1192495.0,2.75,WINNING,9.0,2026-04-02_0551,2026-04-02_0516
MASK,Long,T2-LONG,75,PULLBACK,1.97,1.865,2.2001,2.16,2.6,1.8,2657036.0,9.64,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
MASK,Short,T5-SHORT,57,RESISTANCE,2.2063,2.2182,2.115,2.16,2.6,1.8,2657036.0,2.1,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
MASK,Long,T3-LONG_WATCH,36,FRESH_HOLD,2.115,2.11,2.2001,2.16,2.6,1.8,2657036.0,2.13,STOPPED,-1.0,2026-04-02_0551,2026-04-02_0516
