pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,auction_long_class,auction_short_class,auction_or_state,auction_or_position,auction_day_position,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
6a4116f1c0d2efcc,2026-05-28,VALUE_AREA_FORTRESS,BHVN,LONG,VA_FORTRESS_PULLBACK,OPEN_ROAD,100.0,90+,LIMIT,10.71,9.78,12.57,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,OPEN_LOSS,-0.4,0.15,-0.56,-0.4,2026-05-28T09:52:00,,10.34,Value Area Fortress structural floor play from fem_penny_scanner.
2b1101f9bb216294,2026-05-28,VALUE_AREA_FORTRESS,CRI,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,100.0,90+,LIMIT,39.36,36.1131,45.8538,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,OPEN_WIN,0.23,0.6,-0.09,0.23,2026-05-28T09:30:00,,40.12,Value Area Fortress structural floor play from fem_penny_scanner.
2d7177c8b9ff559b,2026-05-28,VALUE_AREA_FORTRESS,CZR,LONG,VA_FORTRESS_BOUNCE,HIGHWAY,100.0,90+,LIMIT,28.78,27.063,32.214,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,29.06,Value Area Fortress structural floor play from fem_penny_scanner.
6f8c7d41a0bc7ad1,2026-05-28,VALUE_AREA_FORTRESS,DIOD,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,100.0,90+,LIMIT,98.26,93.411,108.8,2.17,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,109.0,Value Area Fortress structural floor play from fem_penny_scanner.
f7cd0ed5885e7da0,2026-05-28,VALUE_AREA_FORTRESS,FUN,LONG,VA_FORTRESS_BOUNCE,HIGHWAY,100.0,90+,LIMIT,20.5,19.2351,25.75,4.15,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,OPEN_LOSS,-0.05,0.07,-0.54,-0.05,2026-05-28T09:30:00,,20.4415,Value Area Fortress structural floor play from fem_penny_scanner.
2c4eb97f48ed855d,2026-05-28,VALUE_AREA_FORTRESS,IREN,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,58.0,<60,LIMIT,61.83,57.9866,69.5168,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,64.66,Value Area Fortress structural floor play from fem_penny_scanner.
bcd9b533dcde0056,2026-05-28,VALUE_AREA_FORTRESS,MNTS,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,100.0,90+,LIMIT,18.5,15.05,26.5965,2.35,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,STOPPED,-1.0,0.58,-1.12,0.25,2026-05-28T05:06:00,2026-05-28T07:51:00,19.3695,Value Area Fortress structural floor play from fem_penny_scanner.
ddab2735ed0ad8e5,2026-05-28,VALUE_AREA_FORTRESS,MRVL,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,87.0,80-89,LIMIT,182.28,176.1908,194.4584,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,203.2,Value Area Fortress structural floor play from fem_penny_scanner.
5bd85a514fab4bbc,2026-05-28,VALUE_AREA_FORTRESS,PLUG,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,62.0,60-69,LIMIT,3.74,3.6181,3.9838,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,4.1601,Value Area Fortress structural floor play from fem_penny_scanner.
ee2b36ee08b32ff5,2026-05-28,VALUE_AREA_FORTRESS,PRKS,LONG,VA_FORTRESS_PULLBACK,OPEN_ROAD,99.0,90+,LIMIT,39.62,36.278,47.43,2.34,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,OPEN_LOSS,-0.15,0.15,-0.28,-0.15,2026-05-28T09:30:00,,39.11,Value Area Fortress structural floor play from fem_penny_scanner.
89b088b80e662f59,2026-05-28,VALUE_AREA_FORTRESS,RCAT,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,100.0,90+,LIMIT,9.73,9.1277,11.15,2.36,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,14.63,Value Area Fortress structural floor play from fem_penny_scanner.
2ff330da94f4eded,2026-05-28,VALUE_AREA_FORTRESS,RDW,LONG,VA_FORTRESS_BOUNCE,HIGHWAY,100.0,90+,LIMIT,24.0,21.9802,28.0396,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,OPEN_WIN,0.71,1.31,-0.84,0.71,2026-05-28T05:06:00,,25.4401,Value Area Fortress structural floor play from fem_penny_scanner.
01c641a7fb1598a2,2026-05-28,VALUE_AREA_FORTRESS,TVTX,LONG,VA_FORTRESS_PULLBACK,HIGHWAY,98.0,90+,LIMIT,45.07,43.0971,49.0158,2.0,,,,,,2026-05-28T05:06:00-04:00,2026-05-28T05:06:00-04:00,True,,NO_FILL,0.0,0.0,0.0,,,,47.31,Value Area Fortress structural floor play from fem_penny_scanner.
