ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
JEM,Long,PULLBACK,T2-LONG,100,3.21,1.795,6.56,6.2825,2.4,1.415,3.21,4.4,APPROACH,1,1,4h,3.07,2.22,HIGHWAY,EXCITED,18.67,943070790,6.8,6.3,2238568,2,994.2,16,8,0.46,NANO,169.37,6.2825,3.97,8.595,116.5,DISCOUNT,DISCOUNT,85,1,0,104.4,D,True,1.3160571428571426,1.08,N/A,
GPUS,Long,BOUNCE,T3-LONG_WATCH,81,0.153,0.0915,0.276,,2.0,0.0615,0.153,2.0,CLOSE,2,2,"15m,30m",0.15,0.1415,OPEN_ROAD,EXCITED,2.98,12687252,0.5,0.5,2683425,0,42.2,32,8,460.43,MEGA,0.26,0.1453,0.1407,0.15,6.6,PREMIUM,MID,2,4,0,3.9,D,False,0.07902142857142858,0.78,N/A,
Z,Long,BOUNCE,T1-STRONG_LONG,100,33.02,30.5938,39.11,,2.5,2.4262,33.02,2.0,CLOSE,10,6,"10m,15m,1h,30m,4h,5m",32.37,31.54,HIGHWAY,EXCITED,1.91,264889683,1.2,0.9,0,0,15.7,27,8,210.04,MEGA,0.03,31.78,31.52,32.04,1.6,PREMIUM,PREMIUM,458,2,218,18.4,C,False,1.7257142857142866,1.41,N/A,
ALKT,Long,PULLBACK,T1-STRONG_LONG,100,17.2,16.5041,21.03,18.445,5.5,0.6959,18.72,8.1,WAITING,2,2,"1h,4h",17.2,17.0145,HIGHWAY,EXCITED,0.99,20493766,2.1,1.7,0,2,22.5,25,8,59.24,HIGH,0.08,18.445,18.12,18.77,3.6,PREMIUM,DISCOUNT,538,6,519,12.3,A,True,0.8082142857142857,0.86,N/A,
STGW,Long,BOUNCE,T1-STRONG_LONG,100,7.58,7.2071,8.3258,,2.0,0.3729,7.58,1.1,CLOSE,5,5,"10m,15m,1d,30m,5m",7.5,7.43,HIGHWAY,EXCITED,4.39,32675844,2.4,1.4,0,2,14.7,19,8,103.95,HIGH,0.04,7.465,7.43,7.5,0.9,PREMIUM,MID,167,5,31,99.9,B,True,0.33260714285714277,1.12,N/A,
INTC,Long,PULLBACK,T2-LONG,84,118.2,113.5385,135.0899,,3.6,4.6615,127.02,6.9,APPROACH,2,2,"1h,4h",118.2,117.05,HIGHWAY,EXCITED,1.08,5183709851,0.9,0.9,1493615,0,20.1,59,8,5016.6,MEGA,0.02,137.315,139.63,135.0,-3.3,DISCOUNT,DISCOUNT,16092,23,3794,6.4,B,False,11.155671428571425,0.42,N/A,
NWL,Long,PULLBACK,T3-LONG_WATCH,41,5.54,5.3447,6.03,,2.5,0.1953,5.89,5.9,APPROACH,1,1,1d,5.54,5.51,HIGHWAY,EXCITED,1.58,54818223,0.7,0.8,0,1,12.2,35,8,391.22,MEGA,0.03,6.14,6.14,6.14,0.0,FLAT,FLAT,217,8,153,2.4,C,True,0.3625642857142858,0.54,N/A,
BWIN,Long,PULLBACK,T3-LONG_WATCH,75,26.91,25.1036,32.7,,3.2,1.8064,26.91,3.5,APPROACH,1,1,15m,25.98,25.88,HIGHWAY,EXCITED,0.56,260370,1.0,0.8,0,1,14.6,28,8,75.85,HIGH,0.03,26.6,26.58,26.62,0.2,FLAT,FLAT,1933,8,1720,21.5,A,False,1.7985642857142856,1.0,N/A,
CG,Long,BOUNCE,T2-LONG,96,42.33,39.3044,48.3812,,2.0,3.0256,42.33,1.7,CLOSE,3,3,"1h,30m,4h",41.6,40.52,OPEN_ROAD,EXCITED,0.92,84981784,0.7,1.2,0,0,8.6,18,8,261.67,MEGA,0.01,42.12,42.11,42.13,0.0,FLAT,FLAT,222,2,99,4.2,C,False,1.7335714285714272,1.75,N/A,
ILLR,Long,BOUNCE,T2-LONG,100,2.71,2.5802,2.9696,,2.0,0.1298,2.71,0.7,CLOSE,1,1,1m,2.69,2.66,OPEN_ROAD,EXCITED,6.48,252120,0.3,2.0,0,2,688.4,39,8,10.97,LOW,0.4,3.645,3.77,3.52,-6.6,DISCOUNT,DISCOUNT,879,6,866,3.7,C,True,0.9411928571428572,0.14,N/A,
NTRA,Long,PULLBACK,T1-STRONG_LONG,100,276.27,252.9178,322.9744,,2.0,23.3522,276.27,4.1,APPROACH,2,1,1d,265.0,260.74,HIGHWAY,EXCITED,2.12,1279477782,1.1,1.0,0,1,8.7,30,8,139.07,HIGH,0.01,272.225,271.45,273.0,0.6,PREMIUM,DISCOUNT,10368,9,4958,99.9,A,False,13.60649285714286,1.72,N/A,
OLLI,Long,BOUNCE,T2-LONG,100,75.51,69.84,86.885,77.625,2.0,5.67,75.51,2.5,CLOSE,4,3,"1d,1h,4h",73.61,72.0,HIGHWAY,EXCITED,1.08,272095451,0.9,1.0,0,0,10.6,21,8,60.19,HIGH,0.04,77.625,76.88,78.37,1.9,DISCOUNT,DISCOUNT,371,1,264,15.1,D,False,3.8996071428571426,1.45,N/A,
PRCH,Long,PULLBACK,T1-STRONG_LONG,100,15.98,14.5888,18.7624,,2.0,1.3912,15.98,4.0,APPROACH,7,6,"10m,15m,1h,30m,4h,5m",15.34,15.04,OPEN_ROAD,EXCITED,3.34,42385527,1.5,1.1,0,1,24.7,59,8,84.4,HIGH,0.04,15.05,15.04,15.06,0.1,FLAT,FLAT,595,11,340,6.2,B,True,0.8358071428571429,1.66,N/A,
