ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
POET,Long,PULLBACK,T1-STRONG_LONG,100,14.78,12.59,19.16,,2.0,2.19,14.78,4.1,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",14.18,13.12,OPEN_ROAD,EXCITED,4278802807,0.7,0.9,1024192,0,76.1,41,8,131.85,HIGH,0.4,13.91,13.07,14.75,12.9,PREMIUM,DISCOUNT,1601,13,717,2.6,C,True,2.5278428571428577,0.87,N/A,
INTC,Long,BOUNCE,T1-STRONG_LONG,89,118.96,107.2626,142.3548,,2.0,11.6974,118.96,2.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",116.2,110.58,OPEN_ROAD,EXCITED,99534045396,1.0,0.9,3308194,0,19.1,70,8,5016.6,MEGA,0.03,113.51,110.8,116.22,4.9,PREMIUM,MID,14777,23,8563,4.5,B,False,10.241414285714285,1.14,N/A,
PLUG,Long,BOUNCE,T2-LONG,60,3.31,3.1643,3.6013,3.345,2.0,0.1457,3.31,1.2,CLOSE,1,1,5m,3.2699,3.2622,OPEN_ROAD,EXCITED,1179039,0.7,0.7,1081150,0,24.3,37,8,1330.96,MEGA,0.05,3.345,3.31,3.38,2.1,DISCOUNT,DISCOUNT,128,16,49,2.4,C,True,0.3182142857142858,0.46,N/A,
NVDA,Long,PULLBACK,T2-LONG,67,202.91,191.0803,226.5694,221.895,2.0,11.8297,223.47,9.2,WAITING,2,2,"1h,4h",202.91,196.99,OPEN_ROAD,EXCITED,50486905086,1.1,1.0,6497948,0,8.5,38,8,23318.28,MEGA,0.01,221.895,220.61,223.18,1.2,PREMIUM,DISCOUNT,5693,13,5630,2.9,C,False,8.084999999999997,1.46,N/A,
GO,Long,BOUNCE,T2-LONG,100,8.13,7.3623,9.6654,,2.0,0.7677,8.13,2.6,CLOSE,2,2,"1h,4h",7.92,7.59,OPEN_ROAD,EXCITED,96533247,1.2,1.3,0,1,30.5,20,8,93.4,HIGH,0.05,8.08,8.12,8.04,-1.0,PREMIUM,DISCOUNT,163,4,47,11.7,B,True,0.5949428571428573,1.29,N/A,
CRML,Long,PULLBACK,T1-STRONG_LONG,77,10.04,9.506,11.108,,2.0,0.534,10.75,6.6,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",10.04,9.8,OPEN_ROAD,EXCITED,101820941,0.6,0.5,1367599,0,23.5,40,8,78.34,HIGH,0.12,9.915,9.8,10.03,2.3,PREMIUM,MID,407,11,219,3.3,C,True,1.1568999999999998,0.46,N/A,
GDDY,Long,BOUNCE,T2-LONG,59,92.24,84.5646,107.5908,,2.0,7.6754,92.24,2.9,CLOSE,1,1,4h,89.54,87.18,OPEN_ROAD,EXCITED,78139115,0.9,0.9,0,0,12.9,24,8,131.44,HIGH,0.02,89.515,90.45,88.58,-2.1,PREMIUM,DISCOUNT,1193,1,322,7.0,D,False,4.880507142857141,1.57,N/A,
GOSS,Long,PULLBACK,T3-LONG_WATCH,31,0.1961,0.1402,0.3078,,2.0,0.0559,0.2153,8.9,WAITING,1,1,30m,0.1961,0.1902,OPEN_ROAD,EXCITED,3916483,1.8,3.9,10316474,2,118.4,43,8,227.15,MEGA,0.07,0.1996,0.1991,0.2,0.5,FLAT,FLAT,4,3,0,13.2,D,False,0.03673571428571428,1.52,N/A,
HCWB,Long,PULLBACK,T3-LONG_WATCH,79,2.43,2.2747,2.7407,,2.0,0.1553,2.43,3.3,APPROACH,1,1,1m,2.35,2.345,HIGHWAY,EXCITED,0,5.5,2.3,1216832,2,1085.4,37,8,6.15,LOW,31.82,1.05,1.06,1.04,-1.9,PREMIUM,PREMIUM,483,16,57,12.8,A,True,0.3922642142857143,0.4,N/A,
IREN,Long,PULLBACK,T1-STRONG_LONG,98,49.12,46.414,55.15,,2.2,2.706,52.71,6.8,APPROACH,5,5,"10m,15m,1d,30m,5m",49.12,47.8495,HIGHWAY,EXCITED,3059238958,0.8,0.8,1477953,0,30.8,36,8,304.46,MEGA,0.15,48.43,47.74,49.12,2.9,PREMIUM,MID,2212,13,493,4.6,B,False,5.795928571428571,0.47,N/A,
