ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
RF,Long,BOUNCE,T2-LONG,57,31.39,30.0215,34.127,32.0,2.0,1.3685,31.39,1.1,CLOSE,1,1,1d,31.03,30.95,OPEN_ROAD,EXCITED,0.84,67945201,0.9,1.0,0,0,5.1,31,8,849.0,MEGA,0.01,32.0,31.88,32.12,0.8,DISCOUNT,DISCOUNT,567,6,233,2.9,C,False,0.5770142857142846,2.37,N/A,,FINANCIAL,REG_BANKS,NEUTRAL,WEAK,0.36,0.24,1.42,0.24,0.5,1.0,0.0,0.25,0.24,1.172,FAVORABLE,30.95,31.39,31.7039,107,73,59,3.42,2.0,1.44,3311.65,2291.47,1870.53,10:30,30.0215,34.127,PULLBACK_LIMIT,,,
TSHA,Long,BOUNCE,T1-STRONG_LONG,100,6.34,6.014,6.992,6.425,2.0,0.326,6.34,0.8,CLOSE,3,3,"1d,1h,4h",6.29,6.2,OPEN_ROAD,EXCITED,2.95,45965428,0.7,0.9,0,0,16.3,13,8,205.97,MEGA,0.01,6.425,6.46,6.39,-1.1,DISCOUNT,DISCOUNT,111,7,22,99.9,B,True,0.35499285714285705,0.92,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,NEUTRAL,0.28,0.72,0.57,0.72,0.5,0.75,0.75,0.25,0.72,1.016,FAVORABLE,6.2,6.34,6.4034,537,306,256,4.26,2.0,1.51,3329.4,1940.04,1639.27,10:30,6.014,6.992,PULLBACK_LIMIT,,,
AAOI,Long,BOUNCE,T1-STRONG_LONG,100,124.22,104.675,163.31,124.97,2.0,19.545,124.22,0.6,CLOSE,1,1,1d,123.5,110.95,OPEN_ROAD,EXCITED,2.37,26372201652,1.5,1.6,1014258,1,59.2,44,8,76.24,HIGH,0.2,124.97,128.56,121.38,-5.6,MID,DISCOUNT,11736,13,5468,15.6,A,False,14.21005714285714,1.38,N/A,,TECH,,STRONG,,0.84,,5.46,0.84,0.5,0.375,0.75,1.0,0.84,0.7895,FAVORABLE,110.95,124.22,125.4622,15,5,4,8.34,2.0,1.82,1664.25,621.1,501.85,10:30,104.675,163.31,PULLBACK_LIMIT,,,
FAST,Long,BOUNCE,T1-STRONG_LONG,100,50.8,48.2575,55.885,,2.0,2.5425,50.8,0.6,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",50.52,49.75,HIGHWAY,EXCITED,1.46,577241029,1.0,0.9,0,0,9.8,21,8,1144.2,MEGA,0.01,50.225,49.99,50.46,0.9,PREMIUM,DISCOUNT,538,3,116,99.9,B,False,1.193321428571428,2.13,N/A,,CONS_DISC,,NEUTRAL,,0.32,,5.08,0.32,0.5,0.375,0.75,0.25,0.32,0.7835,FAVORABLE,49.75,50.8,51.308,67,39,32,4.11,2.0,1.5,3333.25,1981.2,1641.86,10:30,48.2575,55.885,PULLBACK_LIMIT,,,
BTE,Long,BOUNCE,T1-STRONG_LONG,93,4.14,3.9673,4.4854,,2.0,0.1727,4.14,0.4,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",4.125,4.09,OPEN_ROAD,EXCITED,0.89,45272940,1.1,1.1,0,0,14.2,53,8,695.68,MEGA,0.03,4.135,4.09,4.18,2.2,MID,DISCOUNT,103,8,35,3.4,C,True,0.18409285714285714,0.94,N/A,,ENERGY,OIL_EXP,COLD,COLD,0.04,0.0,-1.36,0.0,0.5,0.0,0.25,0.75,0.0,0.625,FAVORABLE,4.09,4.14,4.1814,814,579,467,3.22,2.0,1.42,3329.26,2397.06,1952.71,10:30,3.9673,4.4854,PULLBACK_LIMIT,,,
