ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,news
AVGO,Long,PULLBACK,T1-STRONG_LONG,55,385.57,381.9,417.36,4.1,7.7114,399.63,3.5,APPROACH,2,2,"1d,4h",385.57,381.9,HIGHWAY,9217077346,0.7,0.8,0,8.1,48,8,4675.72,MEGA,0.0,24799,13,13164,99.9,A,
TSLA,Long,PULLBACK,T1-STRONG_LONG,56,366.75,364.2,445.02,10.7,7.335,392.5,6.6,APPROACH,2,2,"1d,4h",366.75,364.2,HIGHWAY,28285473245,1.0,1.1,0,15.3,24,8,2812.64,MEGA,0.02,4277,6,3165,13.4,A,
XOM,Short,RESISTANCE,T2-SHORT,95,154.04,157.1208,147.38,2.2,3.0808,147.68,4.3,APPROACH,1,1,1d,155.04,154.04,HIGHWAY,1198467500,0.7,0.8,0,7.6,45,8,4158.1,MEGA,0.0,7189,3,337,0.2,C,
ORCL,Long,PULLBACK,T1-STRONG_LONG,65,161.97,155.91,187.19,4.2,6.06,177.58,8.8,WAITING,2,2,"1d,4h",161.97,155.91,HIGHWAY,41413963207,0.8,1.4,1,14.2,37,8,1708.98,MEGA,0.01,11567,5,3517,5.4,B,
MU,Long,PULLBACK,T1-STRONG_LONG,54,434.51,426.49,470.35,4.1,8.6902,448.42,3.1,APPROACH,2,2,"1d,4h",434.51,426.49,HIGHWAY,37582396778,0.7,0.7,0,10.9,39,8,1123.56,MEGA,0.02,29896,23,4967,99.9,A,
CVX,Short,RESISTANCE,T2-SHORT,95,193.17,199.24,172.38,3.4,6.07,183.25,5.4,APPROACH,1,1,1d,199.24,193.17,HIGHWAY,5989009811,0.6,0.8,0,6.4,41,8,1853.87,MEGA,0.0,8049,3,962,5.9,B,
AMD,Long,PULLBACK,T1-STRONG_LONG,56,249.79,246.78,303.12,10.7,4.9958,274.95,9.2,WAITING,2,2,"1d,4h",249.79,246.78,HIGHWAY,7491839207,1.0,1.3,0,17.1,39,8,1621.48,MEGA,0.01,15927,15,6097,99.9,A,
PLTR,Long,PULLBACK,T1-STRONG_LONG,62,136.79,132.37,160.17,5.3,4.42,145.89,6.2,APPROACH,4,2,"1d,4h",136.79,132.37,HIGHWAY,16526037992,0.7,0.8,0,10.7,38,8,2209.31,MEGA,0.01,4166,5,2564,9.8,A,
MRK,Short,RESISTANCE,T3-SHORT,80,121.03,123.4506,108.59,5.1,2.4206,117.1,3.4,APPROACH,1,1,1d,121.42,121.03,HIGHWAY,179742771,0.9,1.3,0,4.9,10,8,2468.39,MEGA,0.0,79,1,79,7.3,D,
MS,Long,PULLBACK,T1-STRONG_LONG,54,181.75,181.18,200.22,5.1,3.635,190.7,4.7,APPROACH,2,2,"1d,4h",181.75,181.18,HIGHWAY,354352869,0.7,1.1,0,7.1,39,8,1198.48,MEGA,0.0,10470,8,2088,99.9,A,
