ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
TDIC,14.7,2,Intraday#1;Consumption#25,LONG,LONG,100.0,1,13.0,11.4,0.0,11.4,0.922,WEAK
FCHL,12.4,2,Momentum#2;Radar#5,LONG,LONG,100.0,2,3.5,9.0,0.0,9.0,0.982,NEUTRAL
NBIS,9.0,2,Analyst#5;Momentum#7,"LONG,NA",LONG,100.0,5,6.0,3.4,0.0,6.1,1.054,NEUTRAL
BZAI,8.7,2,Consumption#5;Analyst#5,"LONG,NA",LONG,100.0,5,5.0,3.1,0.0,5.8,1.066,NEUTRAL
WOLF,8.0,2,Momentum#6;Consumption#28,LONG,LONG,100.0,6,17.0,5.0,0.0,5.0,1.138,HOT
ENOV,7.9,2,Analyst#5;Consumption#8,"LONG,NA",LONG,100.0,5,6.5,2.5,0.0,5.2,1.09,STRONG
FLNC,7.7,2,Analyst#5;Consumption#9,"LONG,NA",LONG,100.0,5,7.0,2.3,0.0,5.0,1.09,STRONG
INTC,7.6,2,Analyst#5;Consumption#11,"LONG,NA",LONG,100.0,5,8.0,2.1,0.0,4.8,1.138,HOT
CRCL,7.2,2,Analyst#5;Consumption#6,"LONG,NA",LONG,100.0,5,5.5,2.9,0.0,5.5,0.934,NEUTRAL
IREN,7.2,2,Analyst#5;Consumption#12,"LONG,NA",LONG,100.0,5,8.5,2.0,0.0,4.7,1.09,STRONG
MRAM,7.2,2,Analyst#5;Consumption#15,"LONG,NA",LONG,100.0,5,10.0,1.8,0.0,4.5,1.138,HOT
QS,7.0,2,Momentum#9;Consumption#20,LONG,LONG,100.0,9,14.5,4.6,0.0,4.6,1.09,STRONG
NVDA,7.0,2,Analyst#5;Consumption#17,"LONG,NA",LONG,100.0,5,11.0,1.7,0.0,4.4,1.138,HOT
NVTS,6.9,2,Analyst#5;Consumption#18,"LONG,NA",LONG,100.0,5,11.5,1.6,0.0,4.3,1.138,HOT
PLUG,6.6,2,Analyst#5;Consumption#19,"LONG,NA",LONG,100.0,5,12.0,1.6,0.0,4.3,1.102,STRONG
QUBT,6.4,2,Radar#5;Consumption#21,LONG,LONG,100.0,5,13.0,4.2,0.0,4.2,1.09,STRONG
RGTI,6.4,2,Analyst#5;Consumption#22,"LONG,NA",LONG,100.0,5,13.5,1.5,0.0,4.2,1.09,STRONG
KEEL,6.0,2,Analyst#5;Consumption#13,"LONG,NA",LONG,100.0,5,9.0,1.9,0.0,4.6,0.934,NEUTRAL
URGN,5.6,2,Analyst#5;Consumption#26,"LONG,NA",LONG,100.0,5,15.5,1.4,0.0,4.1,0.994,NEUTRAL
VG,5.3,2,Analyst#5;Consumption#27,"LONG,NA",LONG,100.0,5,16.0,1.3,0.0,4.0,0.946,NEUTRAL
