ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
GMHS,119.5,57.72,2.06,1.46,1.73,1.4802,17679466,1399,12631.2,0.03,False,0.9385,1.4802,1.458,1.5246,4503,99.98,666.0377,1.0,,GENESIS,GENESIS
TNGX,100.0,45.9,40.44,20.74,20.79,29.5,2519964,20519,122.81,0.44,False,20.22,29.5,29.0575,30.385,225,99.56,548.9118,1.0,,GENESIS,GENESIS
NRIX,71.31,15.07,25.08,14.3309,17.58,16.8467,5343011,7843,681.23,0.23,False,14.64,16.8467,16.594,17.3521,395,99.82,393.846,1.0,,GENESIS,GENESIS
ABAT,53.05,29.26,4.76,3.25,3.25,4.02,23896819,83212,287.18,0.51,True,3.11,4.02,3.9597,4.1406,1658,99.98,356.8594,1.0,,GENESIS,GENESIS
NEXR,71.9,38.87,2.08,1.36,1.65,1.6803,17626220,1097481,16.06,0.44,False,1.21,1.6803,1.6551,1.7307,3967,99.99,256.5525,1.0,,GENESIS,GENESIS
SMTK,93.78,44.36,0.792,0.4369,0.474,0.59,101805012,28520979,3.57,0.43,False,0.4087,0.59,0.5811,0.6077,11299,100.0,198.4426,1.0,,GENESIS,GENESIS
BATL,71.97,4.55,2.27,1.36,1.54,1.38,33467359,981403,34.1,0.02,False,1.32,1.38,1.3593,1.4214,4830,99.98,170.152,1.0,,GENESIS,GENESIS
CLIK,41.18,-1.18,2.4,1.41,1.6846,1.68,1782153,102416,17.4,0.27,False,1.7,1.68,1.6548,1.7304,3968,99.99,122.7077,1.0,,GENESIS,GENESIS
QTEX,50.0,30.28,2.13,1.56,1.56,1.85,14395822,3919847,3.67,0.51,True,1.42,1.85,1.8223,1.9055,3603,99.98,116.0534,1.0,,GENESIS,GENESIS
SKYQ,37.36,-9.89,2.5,1.59,2.0615,1.64,5571228,144943,38.44,0.05,False,1.82,1.64,1.6154,1.6892,4065,100.0,96.3939,1.0,,GENESIS,GENESIS
CYPH,27.22,19.04,0.66,0.5607,0.639,0.6176,2469620,863803,2.86,0.57,True,0.5188,0.6176,0.6083,0.6361,10794,100.0,59.8816,1.0,,GENESIS,GENESIS
ELAB,22.08,8.44,1.88,1.52,1.5403,1.67,3282337,852397,3.85,0.42,False,1.54,1.67,1.6449,1.7201,3992,100.0,47.5243,1.0,,GENESIS,GENESIS
NXXT,22.73,11.05,0.7176,0.61,0.6117,0.6493,1772507,467701,3.79,0.37,False,0.5847,0.6493,0.6396,0.6688,10267,100.0,45.8688,1.0,,GENESIS,GENESIS
