ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
SPCX,2026-06-12 16:31,CFRA,,Sell,init,Announces,115.0,0.0,BEAR,3
SPCX,2026-06-11 14:31,KGI Securities,,Outperform,init,,0.0,0.0,BULL,3
OTLK,2026-06-11 09:44,Ascendiant Capital,Buy,Buy,main,Raises,10.0,6.0,BULL,2
MU,2026-06-15 15:42,TD Cowen,Buy,Buy,main,Raises,1500.0,660.0,BULL,2
MU,2026-06-15 15:23,RBC Capital,Outperform,Outperform,main,Raises,1200.0,525.0,BULL,2
MU,2026-06-11 16:47,Wolfe Research,Outperform,Outperform,main,Raises,1250.0,550.0,BULL,2
MU,2026-06-10 10:04,Goldman Sachs,Neutral,Neutral,main,Raises,900.0,400.0,BULL,2
MU,2026-06-08 16:35,Wells Fargo,Overweight,Overweight,main,Raises,1220.0,550.0,BULL,2
MU,2026-06-08 14:06,Cantor Fitzgerald,Overweight,Overweight,main,Raises,1500.0,700.0,BULL,2
MU,2026-06-03 17:59,Morgan Stanley,Overweight,Overweight,main,Raises,1050.0,520.0,BULL,2
NOK,2026-06-12 14:42,JP Morgan,Overweight,Overweight,main,Raises,21.0,14.0,BULL,2
PAYO,2026-06-16 12:38,Citigroup,Buy,Neutral,down,Lowers,7.4,10.0,BEAR,4
PAYO,2026-06-15 20:11,William Blair,Outperform,Market Perform,down,,0.0,0.0,BEAR,4
PAYO,2026-06-15 17:02,Needham,Buy,Hold,down,,0.0,0.0,BEAR,4
PAYO,2026-06-10 13:48,Benchmark,Buy,Buy,reit,Maintains,9.0,9.0,NEUTRAL,1
QBTS,2026-06-15 16:40,Mizuho,Outperform,Outperform,main,Raises,35.0,29.0,BULL,2
QBTS,2026-06-11 15:01,Rosenblatt,Buy,Buy,main,Maintains,43.0,43.0,NEUTRAL,1
QBTS,2026-06-02 17:51,B. Riley Securities,Buy,Buy,main,Raises,40.0,36.0,BULL,2
QBTS,2026-06-02 17:41,Roth Capital,Buy,Buy,main,Raises,40.0,30.0,BULL,2
QBTS,2026-06-02 16:19,Rosenblatt,Buy,Buy,main,Maintains,43.0,43.0,NEUTRAL,1
QBTS,2026-06-02 10:52,Needham,Buy,Buy,reit,Maintains,40.0,40.0,NEUTRAL,1
RKT,2026-06-16 10:09,BTIG,Buy,Neutral,down,,0.0,0.0,BEAR,4
QUBT,2026-06-15 08:57,Ascendiant Capital,Buy,Buy,main,Raises,30.0,27.0,BULL,2
NCLH,2026-06-03 20:18,Freedom Broker,,Buy,init,Announces,24.0,0.0,BULL,3
NCLH,2026-06-03 17:01,Bernstein,,Market Perform,init,Announces,18.0,0.0,NEUTRAL,1
KLAC,2026-06-15 14:44,Cantor Fitzgerald,Overweight,Overweight,main,Lowers,250.0,2500.0,BEAR,2
KLAC,2026-06-11 13:31,Barclays,Overweight,Overweight,main,Raises,2250.0,1700.0,BULL,2
KLAC,2026-06-10 13:02,Cantor Fitzgerald,Overweight,Overweight,main,Raises,2500.0,2000.0,BULL,2
KLAC,2026-06-09 15:05,UBS,Neutral,Neutral,main,Raises,2180.0,1770.0,BULL,2
NTLA,2026-06-15 14:07,Citizens,Market Outperform,Market Outperform,reit,Maintains,30.0,30.0,NEUTRAL,1
NTLA,2026-06-15 12:59,Wedbush,Neutral,Neutral,reit,Maintains,12.0,12.0,NEUTRAL,1
NTLA,2026-06-15 10:14,HC Wainwright & Co.,Buy,Buy,reit,Maintains,25.0,25.0,NEUTRAL,1
CVNA,2026-06-11 14:27,RBC Capital,Outperform,Outperform,main,Lowers,85.0,92.0,BEAR,2
CVNA,2026-06-05 13:57,RBC Capital,Outperform,Outperform,reit,Maintains,92.0,92.0,NEUTRAL,1
CVNA,2026-06-05 12:33,BTIG,Buy,Buy,reit,Maintains,97.0,97.0,NEUTRAL,1
CVNA,2026-06-02 17:35,Evercore ISI Group,In-Line,In-Line,main,Lowers,86.0,430.0,BEAR,2
TRIP,2026-06-15 18:56,DA Davidson,Neutral,Neutral,main,Raises,15.5,10.5,BULL,2
WDC,2026-06-15 16:35,Morgan Stanley,Overweight,Overweight,main,Raises,650.0,488.0,BULL,2
WDC,2026-06-12 16:21,JP Morgan,Overweight,Overweight,main,Raises,650.0,530.0,BULL,2
WDC,2026-06-08 17:27,Mizuho,Outperform,Outperform,main,Raises,685.0,550.0,BULL,2
WDC,2026-06-02 16:03,Citigroup,Buy,Buy,main,Raises,685.0,500.0,BULL,2
ASST,2026-06-02 15:01,Benchmark,,Buy,init,Announces,32.0,0.0,BULL,3
UPST,2026-06-15 09:38,Needham,Buy,Buy,reit,Maintains,37.0,37.0,NEUTRAL,1
DASH,2026-06-12 12:20,BTIG,Buy,Buy,main,Lowers,225.0,280.0,BEAR,2
ABSI,2026-06-15 15:12,Guggenheim,Buy,Buy,main,Raises,15.0,10.0,BULL,2
ABSI,2026-06-04 12:36,Leerink Partners,,Outperform,init,Announces,12.0,0.0,BULL,3
VIAV,2026-06-10 12:42,Rosenblatt,Buy,Buy,main,Maintains,70.0,70.0,NEUTRAL,1
MGNI,2026-06-09 10:52,BTIG,,Buy,init,Announces,20.0,0.0,BULL,3
SVM,2026-06-15 17:57,Roth Capital,Neutral,Buy,up,Raises,13.75,13.25,BULL,4
STX,2026-06-15 16:37,Morgan Stanley,Overweight,Overweight,main,Raises,1035.0,767.0,BULL,2
STX,2026-06-12 16:10,JP Morgan,Overweight,Overweight,main,Raises,920.0,775.0,BULL,2
STX,2026-06-08 17:25,Mizuho,Outperform,Outperform,main,Raises,1090.0,875.0,BULL,2
STX,2026-06-02 16:00,Citigroup,Buy,Buy,main,Raises,1150.0,740.0,BULL,2
KMX,2026-06-12 16:27,Barclays,Underweight,Underweight,main,Raises,31.0,26.0,BULL,2
KMX,2026-06-11 17:41,JP Morgan,Underweight,Underweight,main,Raises,37.0,35.0,BULL,2
W,2026-06-02 17:38,Evercore ISI Group,Outperform,Outperform,main,Raises,80.0,75.0,BULL,2
SFIX,2026-06-11 15:25,UBS,Neutral,Neutral,main,Raises,4.5,4.0,BULL,2
REAL,2026-06-03 10:32,BTIG,Buy,Buy,reit,Maintains,17.0,17.0,NEUTRAL,1
BRKR,2026-06-08 15:12,JP Morgan,Overweight,Overweight,main,Raises,65.0,55.0,BULL,2
SSRM,2026-06-03 15:43,RBC Capital,Sector Perform,Outperform,up,Lowers,40.0,45.0,BULL,4
RCL,2026-06-03 20:24,Freedom Broker,,Buy,init,Announces,320.0,0.0,BULL,3
TWST,2026-06-15 15:44,TD Cowen,Buy,Buy,main,Raises,89.0,68.0,BULL,2
TWST,2026-06-15 15:17,Canaccord Genuity,,Buy,init,Announces,90.0,0.0,BULL,3
TWST,2026-06-11 11:10,Piper Sandler,Overweight,Overweight,init,Announces,85.0,0.0,BULL,3
RYTM,2026-06-15 13:02,Wells Fargo,Overweight,Overweight,main,Raises,155.0,144.0,BULL,2
SLDB,2026-06-03 11:51,HC Wainwright & Co.,Buy,Buy,main,Raises,25.0,20.0,BULL,2
WYFI,2026-06-09 13:11,Barclays,,Equal-Weight,init,Announces,27.0,0.0,NEUTRAL,1
SCCO,2026-06-15 14:52,Scotiabank,Sector Underperform,Sector Underweight,main,Raises,140.0,135.0,BULL,2
