ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
EDHL,Long,T1-STRONG_LONG,100,PULLBACK,3.5,2.295,5.91,6.115,17.49,5.92,57426485,74.71,TARGET_HIT,1.5,True,2026-06-11_1251,2026-06-11_0509
MTEN,Long,T3-LONG_WATCH,100,BOUNCE,1.71,1.6344,1.8611,2.15,2.96,1.88,20334392,25.73,TARGET_HIT,1.13,True,2026-06-11_1251,2026-06-11_0509
HKIT,Long,T2-LONG,100,PULLBACK,0.4104,0.2644,0.7024,0.5488,0.9131,0.48,217311645,33.72,TARGET_HIT,0.29,True,2026-06-11_1251,2026-06-11_0509
OTLK,Long,T2-LONG,84,PULLBACK,0.89,0.7881,1.62,1.115,1.17,0.928,37799332,25.28,STOPPED,-1.0,True,2026-06-11_1251,2026-06-11_0509
VSA,Long,T2-LONG,100,BOUNCE,4.8,4.4523,5.4954,4.42,4.73,4.1256,1949426,-7.92,TARGET_HIT,1.5,True,2026-06-11_1251,2026-06-11_0509
KMRK,Long,T1-STRONG_LONG,100,PULLBACK,1.68,1.59,1.94,1.4801,1.97,1.43,12137531,-11.9,TARGET_HIT,0.86,True,2026-06-11_1251,2026-06-11_0509
WOK,Long,T2-LONG,80,BOUNCE,0.1,0.0378,0.2244,0.0932,0.096,0.09,34974296,-6.8,CLOSED_LOSS,-0.11,False,2026-06-11_1251,2026-06-11_0509
MASK,Long,T1-STRONG_LONG,100,BOUNCE,3.03,2.7257,3.6386,2.36,2.52,2.03,7236161,-22.11,TARGET_HIT,1.22,True,2026-06-11_1251,2026-06-11_0509
SKYQ,Long,T3-LONG_WATCH,71,PULLBACK,1.795,1.7363,2.035,1.47,1.82,1.37,6343277,-18.11,STOPPED,-1.0,False,2026-06-11_1251,2026-06-11_0509
SVC,Long,T2-LONG,71,PULLBACK,1.66,1.49,2.0,1.66,1.695,1.62,4080423,0.0,FLAT,0.0,False,2026-06-11_1251,2026-06-11_0509
HROW,Long,T3-LONG_WATCH,91,BOUNCE,35.9,34.5562,38.5875,36.86,38.21,35.5,592259,2.67,TARGET_HIT,1.5,True,2026-06-11_1251,2026-06-11_0509
