ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
EOSE,Long,PULLBACK,T3-LONG_WATCH,83,4.055,3.6575,4.85,,2.0,0.3975,4.35,6.8,APPROACH,2,2,"1h,4h",4.055,3.79,HIGHWAY,EXCITED,1.86,574842009,1.7,1.4,4336498,0,42.1,35,8,332.78,MEGA,0.15,3.835,3.75,3.92,4.5,PREMIUM,PREMIUM,184,4,121,6.9,B,True,0.4159071428571428,0.96,N/A,
FAST,Long,PULLBACK,T3-LONG_WATCH,37,46.96,45.2699,50.3402,,2.0,1.6901,49.71,5.5,APPROACH,1,1,4h,46.96,46.67,HIGHWAY,EXCITED,0.67,33298749,1.0,1.0,0,0,7.4,10,8,1144.2,MEGA,0.01,48.095,48.11,48.08,-0.1,FLAT,FLAT,213,2,70,99.9,C,False,1.3486785714285716,1.25,N/A,
ELPW,Long,PULLBACK,T3-LONG_WATCH,100,0.1446,0.0936,0.2466,,2.0,0.051,0.1594,9.3,WAITING,2,2,"10m,1m",0.1446,0.1436,OPEN_ROAD,EXCITED,1.39,0,9.5,3.9,3428950,1,181.4,92,8,1.17,NANO,372.11,0.1311,0.1049,0.1574,50.0,PREMIUM,PREMIUM,20,6,12,20.2,D,False,0.04702857142857142,1.08,N/A,
ZBAO,Long,PULLBACK,T3-LONG_WATCH,39,0.2551,0.1924,0.3805,,2.0,0.0627,0.2551,4.2,APPROACH,2,2,"30m,5m",0.2444,0.2424,OPEN_ROAD,WAITING,0.27,0,0.2,2.6,1112325,2,138.1,40,8,9.13,LOW,1.51,0.2452,0.2552,0.2352,-7.8,PREMIUM,MID,30,7,10,2.0,C,False,0.07931428571428571,0.79,N/A,
TFC,Long,BOUNCE,T3-LONG_WATCH,90,52.66,50.3624,57.2552,,2.0,2.2976,52.66,1.1,CLOSE,2,2,"1h,4h",52.09,51.92,HIGHWAY,EXCITED,0.77,30874964,0.7,0.9,0,0,3.8,17,8,1218.34,MEGA,0.0,51.88,51.92,51.84,-0.2,FLAT,FLAT,703,4,219,99.9,A,False,1.110357142857144,2.07,N/A,
AVTR,Long,BOUNCE,T3-LONG_WATCH,75,13.68,11.8825,17.275,,2.0,1.7975,13.68,0.4,CLOSE,1,1,1d,13.63,12.465,OPEN_ROAD,EXCITED,4.09,5007019802,0.9,0.8,0,1,10.5,45,8,657.88,MEGA,0.02,13.69,13.67,13.71,0.3,FLAT,FLAT,730,10,237,2.2,C,True,0.6746928571428572,2.66,N/A,
MS,Long,BOUNCE,T1-STRONG_LONG,100,217.04,204.379,242.362,,2.0,12.661,217.04,1.6,CLOSE,7,6,"10m,15m,1d,1h,4h,5m",213.67,210.7,OPEN_ROAD,EXCITED,4.26,2879731952,1.5,1.0,0,0,7.8,30,8,1191.07,MEGA,0.01,212.45,211.23,213.67,1.2,PREMIUM,MID,4668,8,3046,2.3,C,False,7.34725714285715,1.72,N/A,
ERAS,Long,BOUNCE,T1-STRONG_LONG,95,18.38,17.3048,20.5304,,2.0,1.0752,18.38,1.0,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",18.19,17.84,OPEN_ROAD,EXCITED,1.83,246389962,1.0,0.7,0,0,10.8,27,8,247.63,MEGA,0.02,18.015,17.84,18.19,2.0,PREMIUM,MID,596,9,297,3.5,C,True,1.2114,0.89,N/A,
CCC,Long,BOUNCE,T2-LONG,100,6.33,5.9073,7.1754,,2.0,0.4227,6.33,1.6,CLOSE,2,2,"1d,4h",6.23,6.09,HIGHWAY,EXCITED,1.06,125448295,0.9,1.1,0,0,18.1,19,8,545.41,MEGA,0.02,6.255,6.3,6.21,-1.4,PREMIUM,DISCOUNT,288,5,36,7.7,B,True,0.32675,1.29,N/A,
XP,Long,BOUNCE,T2-LONG,53,16.97,16.1311,18.6478,17.155,2.0,0.8389,16.97,1.8,CLOSE,1,1,1d,16.67,16.63,OPEN_ROAD,EXCITED,0.69,14855377,0.9,0.7,0,0,7.9,24,8,412.93,MEGA,0.01,17.155,17.03,17.28,1.5,DISCOUNT,DISCOUNT,302,2,158,3.7,C,True,0.5080000000000001,1.65,N/A,
SPCX,Long,PULLBACK,T2-LONG,75,115.72,111.4724,130.3299,115.93,3.4,4.2476,125.33,7.7,WAITING,1,1,1d,115.72,114.92,HIGHWAY,EXCITED,2.21,11530406783,2.1,1.3,6753259,1,20.9,28,8,281.07,MEGA,0.51,115.93,114.53,117.33,2.4,PREMIUM,DISCOUNT,370,2,136,4.0,C,False,8.347485714285714,0.51,N/A,
OPTU,Long,PULLBACK,T2-LONG,73,0.7951,0.73,0.9253,0.851,2.0,0.0651,0.8751,9.1,WAITING,2,2,"1h,4h",0.7951,0.78,OPEN_ROAD,EXCITED,0.99,2511474,0.4,0.5,0,0,25.0,41,8,262.8,MEGA,0.01,0.851,0.8586,0.8434,-1.8,PREMIUM,DISCOUNT,8,3,0,4.2,D,False,0.08055357142857142,0.81,N/A,
