ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
INFQ,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,14.57,13.84,16.02,,137,1.99,CHOP,14.57,MARKET,2026-05-21,2026-05-21T08:09:18.787657
GOVX,LONG,CONVICTION,94.0,BULL_BOUNCE_PENDING,2.93,2.79,3.08,,682,1.0,CHOP,2.9322,MARKET,2026-05-21,2026-05-21T08:18:33.733480
FLNC,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,19.55,18.57,20.53,,102,1.0,CHOP,19.55,MARKET,2026-05-21,2026-05-21T08:22:32.852821
ARM,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,273.2,255.45,286.86,,5,0.77,CHOP,278.78,LIMIT,2026-05-21,2026-05-21T08:03:48.952550
WMT,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,119.21,113.96,132.91,132.79,19,2.61,CHOP,121.64,LIMIT,2026-05-21,2026-05-21T08:18:04.949577
WOLF,SHORT,CONVICTION,88.0,DOUBLE_REJECTION_SHORT,67.12,68.51,63.54,62.6,71,2.57,CHOP,67.12,LIMIT,2026-05-21,2026-05-21T08:19:28.132818
DXYZ,SHORT,CONVICTION,87.2,BEAR_REJECTION_PENDING,58.73,61.92,49.67,,31,2.83,CHOP,58.145,LIMIT,2026-05-21,2026-05-21T08:19:54.003925
IONQ,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,56.77,52.21,65.4,,21,1.89,CHOP,57.9264,LIMIT,2026-05-21,2026-05-21T08:09:31.542434
FPS,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,46.25,44.79,48.63,51.46,68,1.64,CHOP,46.74,LIMIT,2026-05-21,2026-05-21T08:22:49.276103
ZS,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,174.55,165.83,188.97,,11,1.65,CHOP,171.25,STOP,2026-05-21,2026-05-21T07:58:24.717700
SMPL,SHORT,CONVICTION,85.0,BEAR_REJECTION_PENDING,11.62,14.48,11.04,,34,0.2,CHOP,11.39,LIMIT,2026-05-21,2026-05-21T08:24:41.702434
UCAR,SHORT,CONVICTION,83.8,BEAR_REJECTION_PENDING,1.57,4.51,1.49,,33,0.03,CHOP,1.56,LIMIT,2026-05-21,2026-05-21T08:17:35.594382
BESS,LONG,CONVICTION,83.6,BULL_BOUNCE_PENDING,4.47,4.12,4.69,,286,0.64,CHOP,4.56,LIMIT,2026-05-21,2026-05-21T08:18:59.230716
MRAM,SHORT,CONVICTION,83.6,BEAR_REJECTION_PENDING,31.72,33.52,28.84,26.99,55,1.6,CHOP,31.155,LIMIT,2026-05-21,2026-05-21T08:20:10.610395
SNOW,SHORT,CONVICTION,83.1,BEAR_REJECTION_PENDING,164.03,167.23,142.01,153.43,31,6.88,CHOP,163.18,LIMIT,2026-05-21,2026-05-21T07:55:44.471009
DNTH,LONG,CONVICTION,82.7,BULL_BOUNCE_PENDING,87.39,85.24,93.0,94.88,46,2.61,CHOP,87.91,LIMIT,2026-05-21,2026-05-21T08:06:43.059482
FLY,SHORT,CONVICTION,81.9,BEAR_REJECTION_PENDING,42.52,43.91,39.09,38.56,71,2.45,CHOP,42.1268,LIMIT,2026-05-21,2026-05-21T08:26:38.469126
RGTI,LONG,CONVICTION,81.2,BULL_BOUNCE_PENDING,20.61,16.8,21.64,,26,0.27,CHOP,21.03,LIMIT,2026-05-21,2026-05-21T08:14:57.463785
IREN,LONG,CONVICTION,81.1,BULL_BOUNCE_PENDING,54.64,52.21,58.41,63.84,41,1.55,CHOP,55.76,LIMIT,2026-05-21,2026-05-21T08:10:02.129214
QBTS,LONG,CONVICTION,80.1,BULL_BOUNCE_PENDING,23.66,19.2,24.84,,22,0.27,CHOP,24.14,LIMIT,2026-05-21,2026-05-21T08:13:54.576617
IMVT,LONG,CONVICTION,80.0,BULL_BOUNCE_PENDING,35.8,33.67,37.59,,46,0.84,CHOP,33.45,STOP,2026-05-21,2026-05-21T08:09:10.152314
SEDG,SHORT,CONVICTION,79.0,DOUBLE_REJECTION_SHORT,60.19,60.51,56.22,55.18,310,12.3,CHOP,60.185,LIMIT,2026-05-21,2026-05-21T08:21:23.903816
BIRK,LONG,CONVICTION,77.5,BULL_BOUNCE_PENDING,38.47,33.04,40.4,,18,0.35,CHOP,39.26,LIMIT,2026-05-21,2026-05-21T08:18:49.003219
AAP,LONG,CONVICTION,77.1,BULL_BOUNCE_PENDING,59.38,50.98,62.35,,11,0.35,CHOP,60.59,LIMIT,2026-05-21,2026-05-21T08:18:43.408656
QUCY,LONG,CONVICTION,76.4,BULL_BOUNCE_PENDING,3.99,3.27,4.19,,139,0.28,CHOP,4.0694,LIMIT,2026-05-21,2026-05-21T08:14:27.391599
AAOI,SHORT,CONVICTION,76.1,BEAR_REJECTION_PENDING,177.67,204.59,168.79,,3,0.33,CHOP,174.19,LIMIT,2026-05-21,2026-05-21T08:21:11.777405
FIVN,LONG,CONVICTION,76.0,BULL_BOUNCE_PENDING,21.8,17.11,22.9,,21,0.23,CHOP,22.25,LIMIT,2026-05-21,2026-05-21T07:57:54.313862
SYRE,SHORT,CONVICTION,76.0,DOUBLE_REJECTION_SHORT,72.04,73.03,67.0,63.27,101,5.11,CHOP,72.04,LIMIT,2026-05-21,2026-05-21T08:16:43.817850
ETON,SHORT,CONVICTION,75.0,DOUBLE_REJECTION_SHORT,34.49,34.86,30.63,33.44,267,10.34,CHOP,34.49,LIMIT,2026-05-21,2026-05-21T08:01:27.809878
INM,SHORT,CONVICTION,74.0,DOUBLE_REJECTION_SHORT,1.7,1.73,1.6,1.56,3276,3.28,CHOP,1.7,LIMIT,2026-05-21,2026-05-21T08:23:38.402313
MU,SHORT,CONVICTION,73.9,BEAR_REJECTION_PENDING,766.61,784.91,731.99,676.45,5,1.89,CHOP,753.55,LIMIT,2026-05-21,2026-05-21T07:51:09.089559
CORT,LONG,CONVICTION,73.3,BULL_BOUNCE_PENDING,59.51,57.01,62.49,,39,1.19,CHOP,59.29,STOP,2026-05-21,2026-05-21T08:00:27.770730
AUUD,LONG,CONVICTION,73.2,BULL_BOUNCE_CONFIRMED,1.69,1.46,1.77,,447,0.38,CHOP,1.686,LIMIT,2026-05-21,2026-05-21T08:04:16.812359
BLFS,LONG,CONVICTION,73.0,CHANNEL_GAP_BREAKOUT_LONG,24.0,23.72,24.93,25.84,355,3.33,CHOP,24.0,LIMIT,2026-05-21,2026-05-21T08:00:45.176507
MDA,LONG,CONVICTION,73.0,BULL_BOUNCE_PENDING,40.66,37.75,42.69,,34,0.7,CHOP,41.49,LIMIT,2026-05-21,2026-05-21T08:11:39.419179
VAC,SHORT,CONVICTION,73.0,BEAR_REJECTION_PENDING,72.18,74.25,67.66,65.25,48,2.18,CHOP,71.72,LIMIT,2026-05-21,2026-05-21T08:17:42.877848
ORBS,SHORT,CONVICTION,72.5,DOUBLE_REJECTION_SHORT,0.89,0.9,0.76,0.75,5895,7.31,CHOP,0.8864,LIMIT,2026-05-21,2026-05-21T08:13:40.429030
