ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AAL,16.0754,BASING,0.0,0,19,19,16.95,16.81,15,weekly,4.57,10 bear-built-above · rel-vol 0.5x · regime FAVORABLE,False,19,16.0754,15.8343,16.95,414,5.44,3.63,False
AAOI,117.25,BASING,0.0,0,3,3,127.5,127.4342,7,30m,8.69,1 bear-built-above · rel-vol 1.4x · regime FAVORABLE,True,3,117.25,115.4912,127.5,56,8.74,5.83,False
AAPL,303.41,BASING,0.0,0,20,20,333.1,308.91,2419,daily,1.81,13 bear-built-above · rel-vol 1.4x · regime FAVORABLE,False,21,303.41,298.8589,333.1,21,9.79,6.52,False
ABT,107.0,BASING,0.0,0,20,20,120.73,108.61,1213,daily,1.5,12 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,20,107.0,105.395,120.73,62,12.83,8.55,False
ACHC,30.59,BASING,0.0,0,19,19,40.26,32.5,776,daily,6.24,12 bear-built-above · rel-vol 1.1x · regime FAVORABLE,True,19,30.59,30.1311,40.26,217,31.61,21.07,False
ACHR,4.86,BASING,0.0,0,11,11,5.18,5.11,7,daily,5.14,8 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,11,4.86,4.7871,5.18,1371,6.58,4.39,False
ACN,164.99,BASING,0.0,0,20,20,178.25,176.95,131,weekly,7.25,52 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,20,164.99,162.5152,178.25,40,8.04,5.36,False
ACRS,5.53,BASING,0.0,0,7,7,5.807,5.725,9,15m,3.53,rel-vol 1.1x · regime FAVORABLE,True,7,5.53,5.447,5.807,1205,5.01,3.34,False
ADBE,248.75,BASING,0.0,0,18,18,293.38,282.74,1064,daily,13.66,45 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,19,248.75,245.0187,293.38,26,17.94,11.96,False
ADPT,23.11,BASING,0.0,0,10,10,24.43,24.37,6,1h,5.45,10 bear-built-above · rel-vol 0.9x · regime FAVORABLE,True,10,23.11,22.7633,24.43,288,5.71,3.81,False
AEG,9.42,BASING,0.0,0,13,13,9.47,9.43,5,45m,0.11,13 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,13,9.42,9.2787,9.47,707,0.53,0.35,False
AEVA,18.66,BASING,0.0,0,17,17,20.99,20.35,64,weekly,9.06,rel-vol 1.1x · regime FAVORABLE,False,17,18.66,18.3801,20.99,357,12.49,8.32,False
