pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,auction_long_class,auction_short_class,auction_or_state,auction_or_position,auction_day_position,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
39ba6e211a87281d,2026-09-12,SURGE_MICRO,HITI,LONG,MICRO_STARTER_ONLY,MICRO_STARTER_ONLY,55.0,<60,LIMIT,2.66,2.5137,2.911,1.72,,,,,,2026-09-14T19:45:54-04:00,2026-09-14T19:45:54-04:00,True,,NO_DATA,,,,,,,,"Tiny starter only if price reclaims/holds the fire area; no add-down, no second buy without a new setup."
69f4e8e841b8789c,2026-09-12,SURGE_MICRO,MYSZ,LONG,MICRO_STARTER_ONLY,MICRO_STARTER_ONLY,55.0,<60,LIMIT,2.5,2.3625,2.75,1.82,,,,,,2026-09-14T19:56:11-04:00,2026-09-14T19:56:11-04:00,True,,NO_DATA,,,,,,,,"Tiny starter only if price reclaims/holds the fire area; no add-down, no second buy without a new setup."
69e0877e6d28378e,2026-09-12,SURGE_MICRO,SCNI,LONG,MICRO_STARTER_ONLY,MICRO_STARTER_ONLY,55.0,<60,LIMIT,2.03,1.9183,2.2217,1.72,,,,,,2026-09-14T19:59:16-04:00,2026-09-14T19:59:16-04:00,True,,NO_DATA,,,,,,,,"Tiny starter only if price reclaims/holds the fire area; no add-down, no second buy without a new setup."
f380a581bc5ab6b8,2026-09-12,SURGE_MICRO,VEEA,LONG,MICRO_STARTER_ONLY,MICRO_STARTER_ONLY,55.0,<60,LIMIT,4.08,3.8556,4.4882,1.82,,,,,,2026-09-14T19:46:56-04:00,2026-09-14T19:46:56-04:00,True,,NO_DATA,,,,,,,,"Tiny starter only if price reclaims/holds the fire area; no add-down, no second buy without a new setup."
