ath_bucket,n,wins,wr,avg_pnl,total_pnl
BELOW,2,1,50.0,16.74,33.48
DEEP_BELOW,3,1,33.33,-36.84,-110.51
UNKNOWN,1,0,0.0,-35.21,-35.21
