ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AA,50.05,BASING,0.0,0,15,15,58.35,55.715,264,daily,11.32,24 bear-built-above · rel-vol 0.6x · regime FAVORABLE,False,15,50.05,49.2992,58.35,133,16.58,11.06,False
AAL,12.94,BASING,0.0,0,20,20,13.64,13.37,28,weekly,3.32,24 bear-built-above · rel-vol 1.3x · regime FAVORABLE,False,20,12.94,12.7459,13.64,515,5.41,3.61,False
AAOI,106.88,BASING,0.0,0,19,19,124.82,109.125,1570,weekly,2.1,2 bear-built-above · rel-vol 0.7x · regime FAVORABLE,True,19,106.88,105.2768,124.82,62,16.79,11.19,False
AAON,79.0,BASING,0.0,0,17,17,87.83,86.77,107,daily,9.84,12 bear-built-above · rel-vol 1.1x · regime FAVORABLE,False,17,79.0,77.815,87.83,84,11.18,7.45,False
AAOZ,13.29,BASING,0.0,0,20,20,14.82,14.77,6,daily,11.14,25 bear-built-above · rel-vol 0.3x · regime FAVORABLE,False,20,13.29,13.0906,14.82,501,11.51,7.67,False
AAP,44.05,BASING,0.0,0,1,1,56.18,46.85,933,daily,6.36,rel-vol 0.5x · regime FAVORABLE,False,1,44.05,43.3892,56.18,151,27.54,18.36,False
AAPL,318.49,BASING,0.0,0,20,20,338.19,333.43,476,daily,4.69,22 bear-built-above · rel-vol 1.0x · regime FAVORABLE,False,22,318.49,313.7126,338.19,20,6.19,4.12,False
AAPU,40.93,BASING,0.0,0,20,20,47.14,45.83,132,daily,11.97,38 bear-built-above · rel-vol 1.2x · regime FAVORABLE,False,22,40.93,40.316,47.14,162,15.17,10.11,False
ABCL,11.34,BASING,0.0,0,20,20,11.57,11.5,8,daily,1.41,17 bear-built-above · rel-vol 0.2x · regime FAVORABLE,False,20,11.34,11.1699,11.57,587,2.03,1.35,False
ABNB,181.94,BASING,0.0,0,19,19,189.0,188.22,79,weekly,3.45,24 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,19,181.94,179.2109,189.0,36,3.88,2.59,False
ABT,107.66,BASING,0.0,0,18,18,120.73,108.61,1213,daily,0.88,13 bear-built-above · rel-vol 0.9x · regime FAVORABLE,False,18,107.66,106.0451,120.73,61,12.14,8.09,False
ACAD,28.02,BASING,0.0,0,20,20,29.11,29.05,6,weekly,3.68,31 bear-built-above · rel-vol 1.1x · regime FAVORABLE,False,23,28.02,27.5997,29.11,237,3.89,2.59,False
ACDC,5.15,BASING,0.0,0,4,4,5.83,5.77,7,weekly,12.04,1 bear-built-above · rel-vol 0.5x · regime FAVORABLE,False,4,5.15,5.0728,5.83,1294,13.2,8.8,False
ACHC,28.13,BASING,0.0,0,16,16,28.95,28.355,60,10m,0.8,4 bear-built-above · rel-vol 0.5x · regime FAVORABLE,False,16,28.13,27.7081,28.95,236,2.92,1.94,False
ACHR,5.63,BASING,0.0,0,20,20,6.3,6.21,9,weekly,10.3,21 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,21,5.63,5.5455,6.3,1184,11.9,7.93,False
ACM,66.58,BASING,0.0,0,20,20,73.3,68.25,505,daily,2.51,13 bear-built-above · rel-vol 0.5x · regime FAVORABLE,False,20,66.58,65.5813,73.3,100,10.09,6.73,False
