ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
GOVX,302.44,144.01,4.95,1.3,1.32,3.0013,85800695,7736,11090.52,0.47,False,1.23,3.0013,2.9563,3.0913,2221,99.99,2959.3501,0.982,NEUTRAL,GENESIS,GENESIS
HCAI,231.41,69.49,18.36,5.62,5.62,9.39,4947329,47896,103.29,0.3,False,5.54,9.39,9.2492,9.6717,709,99.86,1069.4875,1.03,NEUTRAL,GENESIS,GENESIS
NXXT,133.1,87.13,0.6536,0.4538,0.5573,0.5247,86348238,31609,2731.74,0.35,False,0.2804,0.5247,0.5168,0.5404,12705,99.99,1020.1477,1.006,NEUTRAL,GENESIS,GENESIS
LABT,167.33,3.33,4.01,1.454,1.53,1.55,27850876,25186,1105.8,0.04,False,1.5,1.55,1.5268,1.5965,4301,100.0,707.3941,0.982,NEUTRAL,GENESIS,GENESIS
HIVE,43.12,33.84,3.85,2.6118,2.68,3.6002,17061098,262220,65.06,0.8,True,2.69,3.6002,3.5462,3.7082,1851,99.96,305.3851,1.054,NEUTRAL,GENESIS,GENESIS
ASBP,72.37,0.53,9.67,5.53,5.83,5.64,4174744,11784,354.27,0.03,False,5.61,5.64,5.5554,5.8092,1182,100.0,257.0932,0.982,NEUTRAL,GENESIS,GENESIS
QNCX,32.17,13.04,1.52,1.23,1.25,1.3,5192565,30642,169.46,0.24,False,1.15,1.3,1.2805,1.339,5128,100.0,143.6481,0.982,NEUTRAL,GENESIS,GENESIS
GCTS,48.09,18.58,2.71,1.91,1.91,2.17,16195477,1113094,14.55,0.33,False,1.83,2.17,2.1374,2.2351,3072,99.99,139.7701,0.958,NEUTRAL,GENESIS,GENESIS
TE,25.57,17.11,7.12,5.49,5.54,6.64,10252966,1775414,5.77,0.71,True,5.67,6.64,6.5404,6.8392,1004,100.0,90.4914,1.066,NEUTRAL,GENESIS,GENESIS
RDW,10.95,9.89,15.6,14.22,14.22,15.45,4671078,2197915,2.13,0.89,True,14.06,15.45,15.2182,15.9135,431,99.88,27.5293,1.03,NEUTRAL,GENESIS,GENESIS
F,6.94,5.97,14.33,13.32,13.35,14.2001,2762847,641995,4.3,0.87,True,13.4,14.2001,13.9871,14.6261,469,99.9,24.1107,1.03,NEUTRAL,GENESIS,GENESIS
NOW,6.13,4.03,100.9,97.22,98.05,98.9,1762243,701463,2.51,0.46,False,95.07,98.9,97.4165,101.867,67,99.39,12.0128,1.066,NEUTRAL,GENESIS,GENESIS
SATS,7.3,2.93,147.25,140.6445,141.65,141.25,357315,103580,3.45,0.09,False,137.23,141.25,139.1312,145.4875,47,99.58,10.4238,1.078,STRONG,GENESIS,GENESIS
BLDP,4.94,2.7,4.67,4.4,4.51,4.57,262448,118547,2.21,0.63,True,4.45,4.57,4.5015,4.7071,1458,99.95,10.3237,1.03,NEUTRAL,GENESIS,GENESIS
