ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
IMNM,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,23.285,daily,log_regression,AT_LOWER,0.235,24,18.74,19.02,weekly,18.32,98.94,nearest_support_gap_hi,22.6592,True,True,2.69,2.76,7.37,7.37,3.8,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.37% from recent high | just-triggered reclaim, still near shelf",early_trigger_not_chase | early_positive_momentum
WIX,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,54.49,1h,log_regression,MID,0.556,25,51.41,52.92,weekly,2.88,97.96,nearest_support_gap_hi,53.72,True,True,1.41,1.43,69.76,69.76,2.55,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
NBIS,EARLY_STRUCTURAL_MATCH,68.9,84.0,84.0,TOO_EARLY_OR_LOOSE,190.15,daily,log_regression,MID,0.381,13,154.49,160.385,weekly,15.65,97.8,nearest_support_gap_hi,182.62,True,True,3.96,4.12,57.7,57.7,2.05,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | room back to recent high,deep_damage_pullback | too_early_or_loose_for_trigger | overhead_gap_too_close
