ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
QCOM,2026-04-30 21:38,JP Morgan,Neutral,Neutral,main,Raises,160.0,140.0,BULL,2
QCOM,2026-04-30 20:40,UBS,Neutral,Neutral,main,Raises,170.0,150.0,BULL,2
QCOM,2026-04-30 19:11,TD Cowen,Buy,Buy,main,Raises,200.0,150.0,BULL,2
QCOM,2026-04-30 18:15,Citigroup,Neutral,Neutral,main,Raises,160.0,140.0,BULL,2
QCOM,2026-04-30 17:34,Susquehanna,Neutral,Neutral,main,Raises,160.0,140.0,BULL,2
QCOM,2026-04-30 17:05,RBC Capital,Sector Perform,Sector Perform,main,Raises,175.0,150.0,BULL,2
QCOM,2026-04-30 16:01,Evercore ISI Group,In-Line,In-Line,main,Raises,179.0,134.0,BULL,2
QCOM,2026-04-30 15:47,Barclays,Underweight,Underweight,main,Raises,150.0,130.0,BULL,2
QCOM,2026-04-30 14:54,Benchmark,Buy,Buy,main,Raises,225.0,200.0,BULL,2
QCOM,2026-04-30 14:48,Wells Fargo,Equal-Weight,Equal-Weight,main,Raises,160.0,150.0,BULL,2
QCOM,2026-04-30 13:52,Cantor Fitzgerald,Neutral,Neutral,main,Raises,150.0,135.0,BULL,2
QCOM,2026-04-30 12:48,Rosenblatt,Buy,Buy,main,Maintains,190.0,190.0,NEUTRAL,1
FLNC,2026-05-08 12:35,Susquehanna,Positive,Positive,main,Raises,25.0,23.0,BULL,2
PINS,2026-05-06 14:24,Wells Fargo,Overweight,Overweight,main,Raises,28.0,25.0,BULL,2
PINS,2026-05-05 20:04,JP Morgan,Neutral,Neutral,main,Raises,25.0,20.0,BULL,2
PINS,2026-05-05 18:14,Piper Sandler,Neutral,Neutral,reit,Raises,26.0,21.0,BULL,2
PINS,2026-05-05 18:01,Oppenheimer,Outperform,Outperform,main,Raises,30.0,24.0,BULL,2
PINS,2026-05-05 17:50,Morgan Stanley,Overweight,Overweight,main,Raises,30.0,27.0,BULL,2
PINS,2026-05-05 17:40,TD Cowen,Buy,Buy,main,Raises,38.0,36.0,BULL,2
PINS,2026-05-05 16:16,UBS,Buy,Buy,main,Raises,30.0,29.0,BULL,2
PINS,2026-05-05 15:58,Citigroup,Neutral,Neutral,main,Raises,25.0,19.0,BULL,2
PINS,2026-05-05 15:39,RBC Capital,Sector Perform,Sector Perform,main,Raises,23.0,17.0,BULL,2
PINS,2026-05-05 15:16,Stifel,Buy,Buy,main,Raises,27.0,25.0,BULL,2
PINS,2026-05-05 14:37,Barclays,Equal-Weight,Equal-Weight,main,Raises,27.0,25.0,BULL,2
PINS,2026-05-05 14:05,Evercore ISI Group,In-Line,In-Line,main,Raises,27.0,25.0,BULL,2
PINS,2026-05-05 13:07,Mizuho,Outperform,Outperform,main,Raises,30.0,28.0,BULL,2
PINS,2026-05-05 12:49,Guggenheim,Buy,Buy,main,Raises,24.0,21.0,BULL,2
PINS,2026-05-05 12:25,Baird,Neutral,Neutral,main,Raises,24.0,20.0,BULL,2
PINS,2026-05-05 12:00,Rosenblatt,Neutral,Neutral,main,Raises,24.0,20.0,BULL,2
PINS,2026-04-30 14:35,Benchmark,Buy,Buy,main,Lowers,33.0,34.0,BEAR,2
PINS,2026-04-24 14:21,BWG Global,Positive,Mixed,down,,0.0,0.0,BEAR,4
RIOT,2026-05-06 12:12,HC Wainwright & Co.,Buy,Buy,main,Raises,25.0,23.0,BULL,2
RIOT,2026-05-01 15:01,Cantor Fitzgerald,Overweight,Overweight,main,Raises,23.0,20.0,BULL,2
RIOT,2026-05-01 09:42,Needham,Buy,Buy,reit,Maintains,24.0,24.0,NEUTRAL,1
RIOT,2026-04-27 13:05,Chardan Capital,,Buy,init,Announces,27.5,0.0,BULL,3
EXK,2026-05-07 10:56,HC Wainwright & Co.,Buy,Buy,reit,Maintains,17.0,17.0,NEUTRAL,1
GLW,2026-05-07 22:48,UBS,Buy,Buy,main,Raises,223.0,179.0,BULL,2
GLW,2026-05-07 20:47,Citigroup,Buy,Buy,main,Raises,225.0,175.0,BULL,2
GLW,2026-05-07 19:02,JP Morgan,Neutral,Neutral,main,Raises,185.0,175.0,BULL,2
GLW,2026-05-07 13:00,Oppenheimer,Outperform,Outperform,main,Raises,210.0,120.0,BULL,2
GLW,2026-04-29 16:11,Citigroup,Buy,Buy,main,Raises,175.0,170.0,BULL,2
GLW,2026-04-29 14:00,Barclays,Equal-Weight,Equal-Weight,main,Raises,149.0,100.0,BULL,2
GLW,2026-04-29 13:42,Susquehanna,Positive,Positive,main,Raises,180.0,125.0,BULL,2
GLW,2026-04-29 13:24,Truist Securities,Hold,Hold,main,Raises,149.0,125.0,BULL,2
GENI,2026-05-08 10:46,Needham,Buy,Buy,main,Lowers,10.0,14.0,BEAR,2
GENI,2026-05-07 10:05,BTIG,Buy,Buy,main,Lowers,9.0,10.0,BEAR,2
RUN,2026-05-07 19:59,TD Cowen,Buy,Buy,main,Lowers,21.0,23.0,BEAR,2
