ticker,side,score,gap_tier,borrow_risk,float_m,sector_label,lifecycle_phase,entry,stop,target,last_px,high,low,volume,chg_short_pct,outcome,result_r,stop_adjusted,pm_gap_down_pct,rel_vol,checked_at,scan_date
KIDZ,Short,251.1482,STRETCHED,HIGH (low-priced low-float � verify locate before entering),0.79,,SHORT_GENESIS,1.82,1.8382,1.7836,1.77,2.19,1.7401,11657318,2.75,STOPPED,-1.0,True,29.14,133.45,2026-06-10_1334,2026-06-10
CHWY,Short,43.9646,IN_BAND,LOW,408.98,,SHORT_GENESIS,19.44,19.6344,19.0512,19.98,21.0,19.08,21277466,-2.78,STOPPED,-1.0,True,5.88,70.18,2026-06-10_1334,2026-06-10
ELAB,Short,43.6461,IN_BAND,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",4.54,,SHORT_GENESIS,1.3601,1.3737,1.3329,1.41,1.55,1.34,6828008,-3.67,STOPPED,-1.0,True,11.35,6.88,2026-06-10_1334,2026-06-10
SMCI,Short,35.985,IN_BAND,LOW,601.42,,SHORT_GENESIS,35.88,36.2388,35.1624,29.27,36.51,29.14,186631058,18.42,STOPPED,-1.0,True,12.73,3.12,2026-06-10_1334,2026-06-10
FCHL,Short,21.1718,IN_BAND,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)",1.32,,SHORT_GENESIS,1.23,1.2423,1.2054,1.38,1.45,1.22,1653273,-12.2,STOPPED,-1.0,True,6.72,3.76,2026-06-10_1334,2026-06-10
