ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
CHYM,Long,PULLBACK,T1-STRONG_LONG,92,12.3,22.42,21.6504,31.89,8.0,MEGA,219.25,0.01,1.2,1.0,14.3,30.9,A,583,,1.6344,1.0,0.733,0.233,0.078,22.32,22.42,22.6442,149,129,100,14.29,12.31,9.3,21.6504,31.89,10:30
WSC,Long,PULLBACK,T1-STRONG_LONG,100,8.7,19.3,18.4591,26.64,9.4,HIGH,175.45,0.01,1.5,0.0,16.2,25.1,B,298,,1.51,0.956,0.933,0.7,0.078,19.03,19.3,19.493,175,118,96,13.33,8.73,6.91,18.4591,26.64,10:30
TDOC,Long,PULLBACK,T2-LONG,83,3.9,5.6,5.3738,6.48,8.2,HIGH,176.23,0.02,1.3,0.0,18.3,6.2,C,46,,1.4344,0.811,0.789,0.156,0.333,5.54,5.6,5.656,601,442,354,5.66,3.89,2.92,5.3738,6.48,10:30
SLDP,Long,PULLBACK,T2-LONG,100,4.2,3.07,2.9003,3.79,9.7,HIGH,186.08,0.02,1.0,1.0,23.9,11.5,B,13,,1.3833,0.867,0.978,0.7,0.333,2.99,3.07,3.1007,1114,589,499,8.92,4.24,3.44,2.9003,3.79,10:30
SERV,Long,PULLBACK,T2-LONG,82,3.3,9.08,8.7154,10.27,9.1,HIGH,62.86,0.05,1.3,0.0,15.5,2.8,C,250,,1.3733,0.778,0.889,0.111,0.689,8.985,9.08,9.1708,370,274,219,4.77,3.26,2.41,8.7154,10.27,10:30
URGN,Long,PULLBACK,T1-STRONG_LONG,100,5.8,22.83,21.8638,28.46,8.4,MED,38.66,0.02,1.9,0.0,22.1,14.2,A,559,,1.3589,0.889,0.822,0.7,0.333,22.54,22.83,23.0583,147,103,83,8.75,5.83,4.52,21.8638,28.46,10:30
HELE,Long,PULLBACK,T1-STRONG_LONG,100,4.1,17.91,17.266,20.57,9.5,MED,22.47,0.02,1.6,1.0,18.4,4.0,C,210,,1.3544,0.844,0.956,0.7,0.333,17.8,17.91,18.0891,187,155,121,5.19,4.13,3.01,17.266,20.57,10:30
QS,Long,PULLBACK,T2-LONG,88,2.9,6.6,6.2662,7.58,8.1,MEGA,483.24,0.02,1.3,0.0,15.0,5.6,B,199,,1.3444,0.744,0.756,0.2,0.333,6.46,6.6,6.666,515,299,250,5.78,2.94,2.29,6.2662,7.58,10:30
SMR,Long,PULLBACK,T1-STRONG_LONG,100,9.1,11.86,11.1356,18.47,7.3,MEGA,298.32,0.09,1.2,2.0,33.5,44.4,B,608,,1.2856,0.978,0.6,0.7,0.811,11.48,11.86,11.9786,290,138,118,20.3,9.12,7.7,11.1356,18.47,10:30
IONQ,Long,PULLBACK,T1-STRONG_LONG,100,7.9,44.59,41.9525,65.4,7.7,MEGA,359.97,0.09,1.7,3.0,56.4,35.3,A,1990,,1.2644,0.933,0.678,0.7,0.811,43.25,44.59,45.0359,77,37,32,17.07,7.89,6.6,41.9525,65.4,10:30
URG,Long,PULLBACK,T2-LONG,100,3.9,1.57,1.5,1.84,8.2,MEGA,370.52,0.06,3.4,1.0,12.9,7.6,C,5,,1.1933,0.811,0.789,0.7,0.722,1.55,1.57,1.59,1999,1428,1111,5.8,3.86,2.78,1.5,1.84,10:30
ODV,Long,PULLBACK,T1-STRONG_LONG,100,2.3,3.47,3.2495,3.98,7.7,HIGH,152.96,0.01,1.2,0.0,14.5,5.9,B,52,,1.1667,0.689,0.678,0.7,0.078,3.35,3.47,3.5047,995,453,391,6.27,2.31,1.86,3.2495,3.98,10:30
USAR,Long,PULLBACK,T1-STRONG_LONG,100,6.9,21.4,19.33,35.58,5.2,HIGH,169.39,0.2,3.3,1.0,43.8,57.6,A,812,,1.1378,0.911,0.411,0.7,0.933,20.02,21.4,21.614,144,48,43,22.55,6.85,6.11,19.33,35.58,10:30
PTON,Long,PULLBACK,T2-LONG,80,2.3,5.18,4.7142,6.24,4.1,MEGA,399.54,0.03,1.0,0.0,11.4,20.5,C,19,,1.1356,0.689,0.244,0.067,0.533,4.86,5.18,5.2318,685,214,193,9.47,2.28,1.95,4.7142,6.24,10:30
IMSR,Long,PULLBACK,T2-LONG,100,2.3,6.92,6.4505,8.01,9.2,HIGH,56.66,0.04,1.7,1.0,19.3,5.1,B,39,,1.1278,0.689,0.911,0.7,0.622,6.65,6.92,6.9892,501,212,185,6.82,2.32,1.89,6.4505,8.01,10:30
NUVB,Long,PULLBACK,T1-STRONG_LONG,100,2.9,5.12,4.656,6.47,4.3,MEGA,237.04,0.01,1.3,0.0,12.1,26.4,C,33,,1.0989,0.744,0.267,0.7,0.078,4.8,5.12,5.1712,694,215,194,11.6,2.91,2.52,4.656,6.47,10:30
