ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
NBIS,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,205.43,daily,log_regression,MID,0.391,17,170.45,172.18,daily,16.19,91.15,nearest_support_gap_hi,200.95,True,True,2.18,2.23,45.97,45.97,2.71,MIXED_OR_WEAK,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | early_positive_momentum
CRCL,HIGH_PRIORITY_PRE_TRIGGER,100.0,69.0,69.0,PRE_TRIGGER_COIL,91.935,15m,log_regression,MID,0.492,24,83.66,87.98,daily,4.3,96.49,nearest_support_gap_hi,91.65,True,True,0.31,0.31,52.28,52.28,7.88,MIXED_OR_WEAK,ascending channel/control | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | early_positive_momentum
MSTR,HIGH_PRIORITY_PRE_TRIGGER,93.5,69.0,69.0,PRE_TRIGGER_COIL,126.33,15m,log_regression,MID,0.484,16,119.25,121.84,weekly,3.55,98.43,nearest_support_gap_hi,125.86,True,True,0.37,0.37,55.94,55.94,2.41,MIXED_OR_WEAK,ascending channel/control | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close | early_positive_momentum
