ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
STUB,Long,PULLBACK,T2-LONG,68,5.9,6.56,6.3438,7.84,8.1,MEGA,227.2,0.02,1.3,1.0,26.1,9.8,D,22,,1.5602,0.87,0.824,0.019,0.259,6.54,6.56,6.6256,509,462,354,6.63,5.92,4.31,6.3438,7.84,10:30
KD,Long,PULLBACK,T1-STRONG_LONG,65,9.6,13.82,12.6779,24.81,4.3,MEGA,222.07,0.01,1.4,0.0,17.6,79.5,C,72,,1.5407,0.981,0.241,0.0,0.065,13.07,13.82,13.9582,255,87,78,29.94,9.62,8.48,12.6779,24.81,10:30
DASH,Long,PULLBACK,T2-LONG,69,4.3,165.36,158.6435,194.36,8.1,MEGA,374.74,0.01,1.6,0.0,22.5,8.0,D,574,,1.4824,0.759,0.824,0.037,0.065,163.55,165.36,167.0136,20,14,11,6.28,4.32,3.27,158.6435,194.36,10:30
SOUN,Long,PULLBACK,T1-STRONG_LONG,96,6.1,7.18,6.7803,9.6,8.5,MEGA,382.23,0.1,2.0,1.0,27.7,22.3,A,195,,1.4046,0.889,0.907,0.324,0.796,6.99,7.18,7.2518,476,250,212,12.45,6.05,4.98,6.7803,9.6,10:30
RR,Long,PULLBACK,T1-STRONG_LONG,100,8.6,2.21,2.1243,2.95,8.3,HIGH,141.25,0.06,1.5,0.0,22.6,22.4,B,70,,1.3861,0.963,0.88,0.704,0.648,2.19,2.21,2.2321,1522,1166,927,11.57,8.63,6.66,2.1243,2.95,10:30
OUST,Long,PULLBACK,T1-STRONG_LONG,100,5.7,22.22,21.2721,27.64,9.1,HIGH,60.31,0.02,1.2,0.0,24.4,13.1,A,529,,1.3722,0.852,0.944,0.704,0.259,21.93,22.22,22.4422,151,105,85,8.68,5.72,4.44,21.2721,27.64,10:30
RUM,Long,PULLBACK,T1-STRONG_LONG,100,10.6,5.28,5.0246,7.98,5.4,HIGH,110.15,0.02,1.8,0.0,14.1,43.0,C,26,,1.3704,1.0,0.444,0.704,0.259,5.18,5.28,5.3328,643,391,324,18.02,10.57,8.59,5.0246,7.98,10:30
ASPI,Long,PULLBACK,T1-STRONG_LONG,94,8.5,5.1,4.8694,7.05,5.2,HIGH,100.38,0.06,1.6,0.0,37.7,31.0,B,75,,1.3509,0.944,0.407,0.287,0.648,5.02,5.1,5.151,664,433,355,13.48,8.46,6.74,4.8694,7.05,10:30
MVST,Long,BOUNCE,T2-LONG,93,7.0,1.92,1.7896,2.83,0.8,MEGA,202.95,0.02,1.0,0.0,24.5,47.4,C,30,,1.3074,0.926,0.037,0.259,0.259,1.845,1.92,1.94,1805,766,664,17.78,6.98,5.92,1.7896,2.83,10:30
RXRX,Long,PULLBACK,T1-STRONG_LONG,100,5.6,3.47,3.3271,4.27,7.5,MEGA,510.31,0.02,1.0,0.0,16.1,13.9,B,38,,1.2843,0.833,0.713,0.704,0.259,3.43,3.47,3.5047,971,699,563,8.16,5.6,4.31,3.3271,4.27,10:30
AFRM,Long,PULLBACK,T1-STRONG_LONG,100,6.4,56.63,54.3782,71.0,5.0,MEGA,279.34,0.02,1.6,0.0,26.0,19.1,A,768,,1.2611,0.907,0.389,0.704,0.259,56.06,56.63,57.1963,59,44,35,8.88,6.38,4.9,54.3782,71.0,10:30
UPST,Long,PULLBACK,T1-STRONG_LONG,98,3.6,30.61,28.7023,37.52,8.2,HIGH,80.18,0.08,2.3,1.0,27.6,12.5,B,1071,,1.2148,0.722,0.852,0.37,0.759,29.59,30.61,30.9161,112,52,45,8.93,3.62,2.98,28.7023,37.52,10:30
LUMN,Long,PULLBACK,T1-STRONG_LONG,100,4.9,8.06,7.5903,10.38,6.2,MEGA,943.58,0.02,1.8,0.0,26.6,20.8,A,6,,1.1889,0.796,0.519,0.704,0.259,7.825,8.06,8.1406,426,212,181,10.89,4.94,4.07,7.5903,10.38,10:30
BBAI,Long,PULLBACK,T1-STRONG_LONG,100,5.4,3.51,3.2592,4.875,7.4,MEGA,470.66,0.07,1.5,0.0,18.7,28.6,B,63,,1.1639,0.815,0.676,0.704,0.713,3.36,3.51,3.5451,992,398,349,15.03,5.44,4.65,3.2592,4.875,10:30
ABAT,Long,PULLBACK,T1-STRONG_LONG,77,3.4,3.2,2.9391,4.09,4.4,HIGH,127.03,0.03,1.5,0.0,18.1,27.8,C,52,,1.1574,0.704,0.269,0.12,0.454,3.03,3.2,3.232,1100,383,341,11.66,3.41,2.93,2.9391,4.09,10:30
SOFI,Long,PULLBACK,T1-STRONG_LONG,100,4.4,17.4,16.5482,21.18,7.4,MEGA,1255.82,0.05,1.2,0.0,18.3,12.7,A,327,,1.1528,0.778,0.676,0.704,0.583,17.06,17.4,17.574,195,117,97,8.05,4.44,3.52,16.5482,21.18,10:30
CTNT,Long,PULLBACK,T2-LONG,71,2.4,0.159,0.1078,0.2825,6.9,MED,36.03,3.46,19.6,1.0,1116.0,65.5,D,0,,1.087,0.611,0.63,0.056,0.981,0.1578,0.159,0.179,2000,1953,1404,2.49,2.41,1.45,0.1078,0.2825,10:30
QS,Long,PULLBACK,T1-STRONG_LONG,100,2.9,6.6,6.2662,7.58,7.9,MEGA,483.24,0.03,1.9,0.0,17.6,5.7,B,208,,1.0824,0.648,0.787,0.704,0.454,6.46,6.6,6.666,515,299,250,5.78,2.94,2.29,6.2662,7.58,10:30
