ticker,side,stage,conviction,fem,entry,stop,t1,rr,last_px,high,low,volume,chg_pct,outcome,result_r,n_bearish_total,n_bearish_consumed,fresh_bull_5m_below,entry_ready,ath_pct,ath_bucket,checked_at,scan_date
SPCE,LONG,BOUNCED_CLEAN,0,3.26,3.59,3.4581,4.02,3.26,4.53000020980835,4.539999961853027,3.549999952316284,36643767.0,26.18,TARGET_HIT,1.5,0,0,0,False,31.4,DEEP_BELOW,2026-05-28_1504,2026-05-28
EVTV,LONG,BOUNCED_CLEAN,0,,2.5497,2.1357,2.33,,2.359999895095825,2.680000066757202,2.3399999141693115,846977.0,-7.44,TARGET_HIT,1.5,0,0,0,False,49.7,DEEP_BELOW,2026-05-28_1504,2026-05-28
ASTI,LONG,BOUNCED_CLEAN,0,,6.6513,5.3493,6.17,,7.869999885559082,8.350000381469727,6.150000095367432,3845546.0,18.32,TARGET_HIT,1.5,0,0,0,False,32.6,DEEP_BELOW,2026-05-28_1504,2026-05-28
NNBR,LONG,BOUNCED_CLEAN,0,,3.1006,2.3952,3.0,,3.0799999237060547,3.1500000953674316,3.0199999809265137,1188071.0,-0.66,TARGET_HIT,1.5,0,0,0,False,1.9,BLUE_SKY,2026-05-28_1504,2026-05-28
AEVA,LONG,BOUNCED_CLEAN,1,1.35,28.95,27.7993,30.5,1.35,25.84000015258789,29.42799949645996,25.219999313354492,4168256.0,-10.74,STOPPED,-1.0,0,0,0,False,25.4,BELOW,2026-05-28_1504,2026-05-28
NHIC,LONG,BOUNCED_WAITING,0,1.3,11.1,10.8692,11.4,1.3,11.119999885559082,11.220000267028809,11.050000190734863,643954.0,0.18,WINNING,0.09,3,0,0,False,1.3,BLUE_SKY,2026-05-28_1504,2026-05-28
SMTC,LONG,BOUNCED_WAITING,4,2.45,161.0,153.9904,178.18,2.45,166.3300018310547,169.89999389648438,156.00999450683594,4815486.0,3.31,WINNING,0.76,2,0,0,False,6.6,NEAR_HIGH,2026-05-28_1504,2026-05-28
FJET,LONG,BOUNCED_WAITING,0,5.07,6.7,6.3922,8.26,5.07,6.840000152587891,7.03000020980835,6.449999809265137,2093231.0,2.09,WINNING,0.45,40,0,0,False,78.7,DEEP_BELOW,2026-05-28_1504,2026-05-28
VOYG,LONG,BOUNCED_CLEAN,0,1.53,47.5,45.8781,49.98,1.53,51.77000045776367,52.400001525878906,46.80870056152344,3997232.0,8.99,TARGET_HIT,1.5,0,0,0,False,35.8,DEEP_BELOW,2026-05-28_1504,2026-05-28
VNET,LONG,BOUNCED_WAITING,0,1.29,10.41,9.1816,12.0,1.29,10.619999885559082,10.899999618530273,10.484999656677246,8591413.0,2.02,NO_FILL,0.0,4,0,0,False,28.1,BELOW,2026-05-28_1504,2026-05-28
ENHA,LONG,BOUNCED_WAITING,1,11.07,2.95,2.3952,9.09,11.07,2.890000104904175,3.049999952316284,2.634999990463257,2607358.0,-2.03,LOSING,-0.11,81,0,0,False,71.0,DEEP_BELOW,2026-05-28_1504,2026-05-28
ENHA,LONG,BOUNCED_WAITING,1,9.1,2.95,2.3952,8.0,9.1,2.890000104904175,3.049999952316284,2.634999990463257,2607358.0,-2.03,LOSING,-0.11,72,0,0,False,71.0,DEEP_BELOW,2026-05-28_1504,2026-05-28
ENHA,LONG,BOUNCED_WAITING,1,7.86,2.95,2.3952,7.31,7.86,2.890000104904175,3.049999952316284,2.634999990463257,2607358.0,-2.03,LOSING,-0.11,66,0,0,False,71.0,DEEP_BELOW,2026-05-28_1504,2026-05-28
ENHA,LONG,BOUNCED_WAITING,1,6.42,2.95,2.3952,6.51,6.42,2.890000104904175,3.049999952316284,2.634999990463257,2607358.0,-2.03,LOSING,-0.11,66,0,0,False,71.0,DEEP_BELOW,2026-05-28_1504,2026-05-28
ENHA,LONG,BOUNCED_WAITING,1,3.8,2.95,2.3952,5.06,3.8,2.890000104904175,3.049999952316284,2.634999990463257,2607358.0,-2.03,LOSING,-0.11,40,0,0,False,71.0,DEEP_BELOW,2026-05-28_1504,2026-05-28
WOLF,LONG,BOUNCED_WAITING,1,1.85,62.0,53.872,77.0,1.85,65.05000305175781,69.2699966430664,58.5,6849017.0,4.92,WINNING,0.38,24,0,0,False,23.3,BELOW,2026-05-28_1504,2026-05-28
MDA,LONG,BOUNCED_WAITING,0,3.01,45.5232,44.7004,48.0,3.01,48.68000030517578,49.36949920654297,45.91999816894531,1639637.0,6.93,NO_FILL,0.0,4,0,0,False,7.8,NEAR_HIGH,2026-05-28_1504,2026-05-28
NP,LONG,BOUNCED_WAITING,0,4.98,28.33,27.8043,30.95,4.98,27.90999984741211,29.030000686645508,27.84000015258789,314133.0,-1.48,LOSING,-0.8,6,0,0,False,14.8,BELOW,2026-05-28_1504,2026-05-28
NP,LONG,BOUNCED_WAITING,0,3.37,28.33,27.8043,30.1,3.37,27.90999984741211,29.030000686645508,27.84000015258789,314133.0,-1.48,LOSING,-0.8,4,0,0,False,14.8,BELOW,2026-05-28_1504,2026-05-28
GILT,LONG,BOUNCED_WAITING,0,2.4,17.49,16.2674,20.42,2.4,17.829999923706055,18.030000686645508,17.420000076293945,1037579.0,1.94,WINNING,0.28,28,0,0,False,16.4,BELOW,2026-05-28_1504,2026-05-28
GILT,LONG,BOUNCED_WAITING,0,1.66,17.49,16.2674,19.52,1.66,17.829999923706055,18.030000686645508,17.420000076293945,1037579.0,1.94,WINNING,0.28,17,0,0,False,16.4,BELOW,2026-05-28_1504,2026-05-28
