ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
AIM,Long,T2-LONG,89,PULLBACK,0.3977,0.3464,0.5003,0.4078,0.4267,0.3804,12133011,2.54,STOPPED,-1.0,True,2026-05-29_1734,2026-05-29_0512
ASTC,Long,T3-LONG_WATCH,100,PULLBACK,26.6,25.7437,29.13,49.8,68.85,33.95,29792466,87.22,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
ASTS,Long,T1-STRONG_LONG,100,PULLBACK,124.0,116.109,139.782,113.41,115.5,105.37,54954752,-8.54,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
BBAI,Long,T3-LONG_WATCH,67,PULLBACK,4.45,4.2583,5.41,5.04,5.1599,4.71,106665698,13.26,STOPPED,-1.0,True,2026-05-29_1734,2026-05-29_0512
BBAR,Long,T1-STRONG_LONG,100,BOUNCE,17.62,16.1505,20.559,18.35,18.47,17.4,781861,4.14,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
CRI,Long,T1-STRONG_LONG,100,BOUNCE,40.12,37.248,45.864,38.59,39.88,38.425,1128633,-3.81,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
DELL,Long,T1-STRONG_LONG,100,PULLBACK,299.11,288.09,321.15,420.91,429.151,402.27,42366555,40.72,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
FQVLF,Long,T1-STRONG_LONG,100,PULLBACK,28.27,25.6803,33.4495,30.81,31.0,30.16,537464,8.98,CLOSED,1.08,True,2026-05-29_1734,2026-05-29_0512
FUN,Long,T3-LONG_WATCH,89,BOUNCE,20.3,19.2351,25.75,21.01,21.05,19.99,1718323,3.5,STOPPED,-1.0,True,2026-05-29_1734,2026-05-29_0512
GH,Long,T1-STRONG_LONG,100,PULLBACK,123.955,116.2545,139.356,129.69,133.9699,128.31,3513787,4.63,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
GNS,Long,T2-LONG,69,PULLBACK,0.2507,0.175,0.4021,0.2544,0.261,0.23,20841632,1.48,CLOSED,0.05,False,2026-05-29_1734,2026-05-29_0512
GRAL,Long,T2-LONG,98,BOUNCE,73.92,69.2774,83.2052,71.68,74.49,70.74,1247745,-3.03,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
HPP,Long,T1-STRONG_LONG,88,BOUNCE,12.06,11.3102,13.5596,11.98,12.585,11.93,2650366,-0.66,CLOSED_LOSS,-0.11,False,2026-05-29_1734,2026-05-29_0512
HUBC,Long,T2-LONG,100,BREAKOUT,0.111,0.0554,0.2222,0.2611,0.6307,0.2456,1368715508,135.23,TARGET_HIT,0.15,True,2026-05-29_1734,2026-05-29_0512
NOK,Long,T2-LONG,46,PULLBACK,15.28,13.7934,18.2532,14.84,15.26,14.53,113012660,-2.88,CLOSED_LOSS,-0.3,False,2026-05-29_1734,2026-05-29_0512
PGNY,Long,T3-LONG_WATCH,73,BOUNCE,25.69,24.2985,28.473,25.56,25.905,25.275,1307861,-0.51,CLOSED_LOSS,-0.09,False,2026-05-29_1734,2026-05-29_0512
PRIM,Long,T2-LONG,57,PULLBACK,119.25,114.0235,129.703,125.78,128.45,120.07,1850069,5.48,NO_FILL,0.0,False,2026-05-29_1734,2026-05-29_0512
RCAT,Long,T3-LONG_WATCH,93,PULLBACK,12.86,9.77,19.04,14.5,14.7,12.35,36846399,12.75,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
RDW,Long,T1-STRONG_LONG,100,PULLBACK,24.0,21.06,29.88,24.57,24.79,21.665,64617457,2.38,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
TVTX,Long,T1-STRONG_LONG,97,PULLBACK,45.07,43.0971,49.0158,47.18,48.58,46.5,2177220,4.68,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
UMAC,Long,T3-LONG_WATCH,97,PULLBACK,27.07,14.908,51.394,31.78,32.36,24.28,26233600,17.4,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
WOK,Long,T2-LONG,100,PULLBACK,0.101,0.046,0.211,0.0944,0.107,0.0938,75028262,-6.53,TARGET_HIT,0.06,True,2026-05-29_1734,2026-05-29_0512
ATRC,Long,T2-LONG,100,BOUNCE,28.09,26.4665,31.3371,27.67,28.46,27.63,722215,-1.5,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
RGTI,Long,T1-STRONG_LONG,100,PULLBACK,24.96,23.8814,32.18,25.54,26.56,24.435,61186073,2.32,TARGET_HIT,1.5,True,2026-05-29_1734,2026-05-29_0512
