ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score,gap_tier,stop_source,stop_dist,atr_14,atr_ratio,atr_ok,float_m,float_rotation_pct,borrow_risk
IMRX,LONG,HOLDING-LONG,5.99,6.56,6.65,5.85,6.65,5.85,6.2476,14.75,25.67,1048918,6.19,5.22,6.56,5.5,8.68,94,102.8444,IN_BAND,PM low,1.06,0.3476,5.08,True,64.7,1.6,N/A
RYOJ,LONG,HOLDING-LONG,2.43,2.66,2.7993,2.43,2.7993,2.43,2.6438,20.9,32.34,374388,4.14,2.01,2.66,2.21,3.56,222,79.7823,STRETCHED,PM low,0.45,0.2631,2.85,True,11.55,3.2,N/A
