ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
KNSA,Long,BOUNCE,T3-LONG_WATCH,100,64.76,62.5262,69.2276,,2.0,2.2338,64.76,0.2,CLOSE,2,2,"1m,5m",64.62,64.46,OPEN_ROAD,EXCITED,5.51,1836406.0,1.0,0.8,0.0,0.0,8.9,59.0,8.0,42.2,MED,0.03,67.255,67.29,67.22,-0.1,FLAT,FLAT,4148,11,2023,3.0,C,,,,False,2.991564285714286,0.75,N/A,
TYRA,Long,BOUNCE,T2-LONG,94,32.57,30.6423,36.4254,,2.0,1.9277,32.57,2.8,CLOSE,3,3,"10m,15m,30m",31.66,31.59,OPEN_ROAD,EXCITED,0.9,459109.0,0.6,0.6,0.0,0.0,12.2,35.0,8.0,30.88,MED,0.02,31.92,31.94,31.9,-0.1,FLAT,FLAT,627,9,547,7.7,B,,,,False,1.849642857142857,1.04,N/A,
SWBI,Long,BOUNCE,T2-LONG,94,15.37,14.5597,16.9906,15.375,2.0,0.8103,15.37,1.5,CLOSE,1,1,1d,15.14,15.01,OPEN_ROAD,EXCITED,0.64,9450195.0,0.4,0.5,0.0,0.0,4.9,15.0,8.0,43.34,MED,0.01,15.375,15.44,15.31,-0.8,MID,DISCOUNT,183,5,114,4.6,B,,,,True,0.9868928571428571,0.82,N/A,
EDBL,Long,BREAKOUT,T2-LONG,100,0.121,0.0372,0.2886,,2.0,0.0838,0.116,0.0,INSIDE,5,5,,,,OPEN_ROAD,EXCITED,161.73,,,,,,,,,,LOW,87.17,0.1095,0.0877,0.1312,49.6,PREMIUM,MID,1,3,1,10.9,D,False,10.8,True,False,0.03922857142857143,2.14,N/A,
BATL,Long,PULLBACK,T2-LONG,94,1.64,1.525,1.885,,2.1,0.115,1.64,3.1,APPROACH,2,1,1m,1.589,1.575,HIGHWAY,EXCITED,1.17,0.0,5.2,2.2,2198849.0,1.0,96.7,62.0,8.0,16.17,MED,8.68,2.055,1.78,2.33,30.9,DISCOUNT,DISCOUNT,28,8,18,14.9,D,,,,True,0.2060714285714286,0.56,N/A,
ONFO,Long,BOUNCE,T2-LONG,91,0.2805,0.2199,0.4017,,2.0,0.0606,0.2805,2.2,CLOSE,1,1,1m,0.2744,0.2699,OPEN_ROAD,EXCITED,1.61,0.0,18.9,6.3,1655619.0,1.0,164.1,28.0,8.0,5.15,LOW,27.78,0.4655,0.394,0.5369,36.3,DISCOUNT,DISCOUNT,0,2,0,6.3,D,,,,False,0.07497857142857142,0.81,N/A,
GH,Long,BOUNCE,T2-LONG,96,156.17,148.1336,172.2429,161.105,2.0,8.0364,156.17,0.0,CLOSE,1,1,1d,156.16,152.715,OPEN_ROAD,EXCITED,2.12,2308001179.0,1.0,0.8,0.0,0.0,11.8,52.0,8.0,127.84,HIGH,0.03,161.105,162.92,159.29,-2.2,DISCOUNT,DISCOUNT,8878,11,4723,2.1,C,,,,False,8.139999999999995,0.99,N/A,
EVC,Long,BOUNCE,T3-LONG_WATCH,56,11.71,11.1744,12.7812,,2.0,0.5356,11.71,1.4,CLOSE,1,1,1m,11.55,11.52,OPEN_ROAD,EXCITED,1.26,4962.0,0.9,0.9,0.0,0.0,24.3,40.0,8.0,69.74,HIGH,0.03,11.9,11.9,11.9,0.0,FLAT,FLAT,630,16,86,5.3,B,,,,True,0.9107142857142857,0.59,N/A,
VIR,Long,BOUNCE,T2-LONG,77,10.43,9.7194,11.8512,,2.0,0.7106,10.43,2.5,CLOSE,1,1,1d,10.17,10.02,OPEN_ROAD,EXCITED,0.67,23548221.0,0.8,0.7,0.0,0.0,10.7,29.0,8.0,128.76,HIGH,0.02,10.195,10.25,10.14,-1.1,PREMIUM,DISCOUNT,440,7,216,2.5,C,,,,True,0.5476642857142859,1.3,N/A,
STGW,Long,PULLBACK,T2-LONG,49,7.67,7.178,8.654,,2.0,0.492,7.67,3.2,APPROACH,1,1,4h,7.425,7.4,HIGHWAY,WAITING,0.47,435618.0,0.9,0.9,0.0,1.0,10.2,16.0,8.0,104.05,HIGH,0.01,7.665,7.7,7.63,-0.9,MID,DISCOUNT,130,5,28,99.9,B,,,,True,0.3607071428571427,1.36,N/A,
