ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
TQQQ,Long,PULLBACK,T3-LONG_WATCH,55,77.84,74.6415,84.237,,2.0,3.1985,83.68,7.0,APPROACH,1,1,1d,77.84,76.95,HIGHWAY,EXCITED,6582542043,0.8,0.9,2333952,0,12.9,51,8,,UNKNOWN,,81.705,81.67,81.74,0.1,FLAT,FLAT,5617,13,4045,99.9,A,False,3.6143709999999993,0.88,N/A,
SOXL,Long,PULLBACK,T3-LONG_WATCH,70,209.89,187.96,253.75,,2.0,21.93,224.63,6.6,APPROACH,1,1,1d,209.89,195.27,HIGHWAY,EXCITED,76803176263,0.8,1.0,1850523,0,44.2,56,8,,UNKNOWN,,218.49,217.98,219.0,0.5,FLAT,FLAT,28375,23,17054,99.9,A,False,24.35787142857143,0.9,N/A,
AIM,Long,PULLBACK,T2-LONG,89,0.3977,0.3464,0.5003,,2.0,0.0513,0.436,8.8,WAITING,3,3,"10m,1h,30m",0.3977,0.3964,HIGHWAY,EXCITED,0,1.5,3.5,1338013,1,166.1,35,8,7.99,LOW,10.76,0.3711,0.4011,0.3411,-15.0,PREMIUM,PREMIUM,9,8,5,4.0,D,False,0.12672135714285712,0.4,N/A,
ASTC,Long,PULLBACK,T3-LONG_WATCH,100,26.6,25.7437,29.13,,3.0,0.8563,29.43,9.6,WAITING,1,1,1m,26.6,26.5399,HIGHWAY,EXCITED,970433,5.0,6.6,1604960,2,1498.2,47,8,1.31,NANO,37.39,17.75,13.81,21.69,57.1,PREMIUM,PREMIUM,7442,15,2091,99.9,A,False,2.9509499999999997,0.29,N/A,
ASTS,Long,PULLBACK,T1-STRONG_LONG,100,124.0,116.109,139.782,128.2325,2.0,7.891,133.09,6.8,APPROACH,3,3,"1d,1h,4h",124.0,119.7,HIGHWAY,EXCITED,24085031304,0.9,1.5,3202816,0,50.7,41,8,265.77,MEGA,0.08,128.2325,129.6,126.865,-2.1,PREMIUM,DISCOUNT,11379,17,4331,99.9,A,False,10.756135714285715,0.73,N/A,
ATRC,Long,BOUNCE,T2-LONG,100,28.09,26.4665,31.3371,,2.0,1.6235,28.09,0.5,CLOSE,5,4,"10m,1h,4h,5m",27.96,27.285,OPEN_ROAD,EXCITED,15463648,1.2,1.2,0,0,8.3,17,8,48.55,MED,0.02,27.305,27.45,27.16,-1.1,PREMIUM,PREMIUM,422,1,163,2.0,D,False,1.2810357142857143,1.27,N/A,
BBAI,Long,PULLBACK,T3-LONG_WATCH,67,4.45,4.2583,5.41,,5.0,0.1917,4.94,9.9,WAITING,2,2,"1h,4h",4.45,4.39,HIGHWAY,EXCITED,182060628,1.6,1.3,6231615,0,25.7,24,8,475.27,MEGA,0.15,4.325,4.37,4.28,-2.1,PREMIUM,PREMIUM,135,7,77,9.5,B,True,0.329642857142857,0.58,N/A,
BBAR,Long,BOUNCE,T1-STRONG_LONG,100,17.62,16.1505,20.559,,2.0,1.4695,17.62,1.8,CLOSE,4,4,"1d,1h,30m,4h",17.3046,16.65,HIGHWAY,EXCITED,102990928,1.4,1.9,0,1,23.3,42,8,161.36,HIGH,0.01,17.51,17.5,17.52,0.1,FLAT,FLAT,976,6,309,11.8,A,True,1.013007142857143,1.45,N/A,
CRI,Long,BOUNCE,T1-STRONG_LONG,100,40.12,37.248,45.864,,2.0,2.872,40.12,0.2,CLOSE,5,5,"1d,1h,30m,4h,5m",40.02,38.4,HIGHWAY,EXCITED,186766022,0.6,0.7,0,0,13.9,32,8,35.08,MED,0.02,39.26,39.36,39.16,-0.5,PREMIUM,DISCOUNT,1649,8,337,99.9,A,False,1.7471714285714286,1.64,N/A,
DELL,Long,PULLBACK,T1-STRONG_LONG,100,299.11,288.09,321.15,311.175,2.0,11.02,317.05,5.7,APPROACH,2,2,"1d,4h",299.11,297.0,HIGHWAY,EXCITED,1618442256,3.4,1.9,2505209,1,36.4,59,8,300.02,MEGA,0.09,311.175,305.32,317.03,3.8,PREMIUM,DISCOUNT,30909,15,19640,99.9,A,False,18.40777857142857,0.6,N/A,
FQVLF,Long,PULLBACK,T1-STRONG_LONG,100,28.27,25.6803,33.4495,,2.0,2.5897,30.17,6.3,APPROACH,3,3,"1d,1h,4h",28.27,26.5435,HIGHWAY,EXCITED,203661172,2.2,1.6,0,1,29.6,98,8,672.55,MEGA,0.0,28.1322,28.7295,27.535,-4.2,PREMIUM,DISCOUNT,2399,9,700,99.9,A,False,1.7555071428571434,1.48,N/A,
FUN,Long,BOUNCE,T3-LONG_WATCH,89,20.3,19.2351,25.75,,5.1,1.0649,20.3,1.5,CLOSE,1,1,4h,19.99,19.83,HIGHWAY,EXCITED,2893116,1.7,1.3,0,0,15.3,29,8,90.81,HIGH,0.04,20.48,20.5,20.46,-0.2,FLAT,FLAT,631,7,231,26.8,A,False,1.4267785714285712,0.75,N/A,
GH,Long,PULLBACK,T1-STRONG_LONG,100,123.955,116.2545,139.356,127.97,2.0,7.7005,133.22,7.0,APPROACH,4,4,"1d,1h,30m,4h",123.955,119.85,HIGHWAY,EXCITED,1780235015,1.3,1.2,0,1,20.2,28,8,127.8,HIGH,0.02,127.97,127.51,128.43,0.7,PREMIUM,DISCOUNT,5747,11,4208,99.9,A,False,6.8197285714285725,1.13,N/A,
NOK,Long,PULLBACK,T2-LONG,46,15.28,13.7934,18.2532,15.75,2.0,1.4866,15.28,4.6,APPROACH,1,1,1d,14.575,14.22,OPEN_ROAD,EXCITED,4470353069,1.0,1.2,3697553,0,22.1,56,8,4441.96,MEGA,0.03,15.75,15.68,15.82,0.9,DISCOUNT,DISCOUNT,871,22,547,2.1,C,True,1.008571428571429,1.47,N/A,
RDW,Long,PULLBACK,T1-STRONG_LONG,100,24.0,21.06,29.88,,2.0,2.94,25.9,7.3,WAITING,3,3,"1d,1h,4h",24.0,22.04,HIGHWAY,EXCITED,28871452672,1.7,2.1,3312072,2,96.7,44,8,195.23,HIGH,0.44,23.47,24.0,22.94,-4.4,PREMIUM,DISCOUNT,3261,13,2548,99.9,A,False,2.3874714285714282,1.23,N/A,
RGTI,Long,PULLBACK,T1-STRONG_LONG,100,24.96,23.8814,32.18,,6.7,1.0786,27.03,7.7,WAITING,3,3,"1d,1h,4h",24.96,24.62,HIGHWAY,EXCITED,3942934352,1.7,1.5,1607052,2,51.0,29,8,327.25,MEGA,0.26,24.755,24.62,24.89,1.1,PREMIUM,MID,2489,7,1698,19.1,A,False,2.543935714285715,0.42,N/A,
